hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 189.925, -110.415, -191.024, -109.328, 0.730656, 220.375, 0.000102426, -0.000804645, -0.257499, 0.289687, 0.378985, 0.0777161, -0.121862, -0.366657, 0.000376536, -0.000745714
2, 0.00000, 190.57, -110.775, -191.6, -109.701, 0.707314, 221.023, 8.30032E-005, -0.00067402, -0.217496, 0.244657, 0.320154, 0.0657084, -0.102932, -0.309817, 0.000273054, -0.000548761
3, 0.00000, 190.954, -110.943, -191.905, -109.946, 0.655349, 221.389, 7.43727E-005, -0.00061354, -0.198836, 0.223571, 0.292638, 0.0601445, -0.0940306, -0.28325, 0.000228978, -0.000465205
4, 0.00000, 191.037, -111.001, -191.988, -109.987, 0.661893, 221.477, 7.13636E-005, -0.000592589, -0.192396, 0.216345, 0.283185, 0.0581957, -0.0910031, -0.274107, 0.000214353, -0.000434258
5, 0.00000, 190.881, -110.928, -191.861, -109.891, 0.67888, 221.327, 7.49513E-005, -0.000618431, -0.200484, 0.225471, 0.295104, 0.0606168, -0.0948507, -0.285622, 0.000231381, -0.000465436
6, 0.00000, 190.408, -110.645, -191.423, -109.626, 0.681834, 220.843, 8.95074E-005, -0.000719179, -0.231869, 0.260751, 0.341236, 0.070072, -0.109671, -0.330227, 0.000303643, -0.000596167
7, 0.00000, 189.236, -110.07, -190.444, -108.911, 0.787763, 219.703, 0.000122683, -0.000932316, -0.295562, 0.332658, 0.435025, 0.0890548, -0.139961, -0.420733, 0.000499106, -0.000979462
8, 0.00000, 188.841, -109.783, -190.037, -108.71, 0.754271, 219.275, 0.000144116, -0.00104129, -0.330529, 0.371844, 0.486288, 0.0996113, -0.156375, -0.470297, 0.000615108, -0.00115863
9, 0.00000, 191.968, -109.982, -191.545, -111.207, -0.546664, 221.696, 0.000165326, -0.000961806, -0.336633, 0.37392, 0.491682, 0.104003, -0.155598, -0.477364, 0.000548692, -0.00055876
10, 0.00000, 193.25, -109.998, -192.113, -112.262, -1.13275, 222.664, 0.000177561, -0.000947579, -0.345705, 0.381839, 0.503292, 0.107942, -0.158123, -0.48946, 0.000536665, -0.000321038
11, 0.00000, 198.628, -110.274, -194.692, -116.607, -3.44177, 226.856, 0.000202809, -0.000790657, -0.344748, 0.372722, 0.495762, 0.11194, -0.151395, -0.485309, 0.000380346, 0.000646821
12, 0.00000, 198.948, -110.306, -194.859, -116.86, -3.56791, 227.114, 0.000201697, -0.000775053, -0.341815, 0.369136, 0.491242, 0.111216, -0.149782, -0.481049, 0.000355536, 0.000696609
13, 0.00000, 196.872, -110.204, -193.862, -115.177, -2.66941, 225.49, 0.000193366, -0.000837993, -0.344585, 0.375177, 0.497571, 0.110494, -0.1534, -0.486032, 0.000413465, 0.000361664
14, 0.00000, 191.987, -109.842, -191.437, -111.285, -0.66287, 221.646, 0.000176285, -0.00101039, -0.354747, 0.393572, 0.517755, 0.109815, -0.163602, -0.502813, 0.000593262, -0.000574349
15, 0.00000, 189.227, -109.501, -189.968, -109.155, 0.358663, 219.43, 0.000173997, -0.00114712, -0.371803, 0.416588, 0.545639, 0.112862, -0.174578, -0.528236, 0.000742557, -0.00121434
16, 0.00000, 187.032, -109.017, -188.633, -107.557, 1.0072, 217.582, 0.000192206, -0.00133664, -0.411121, 0.463569, 0.60535, 0.123118, -0.195206, -0.584766, 0.000977668, -0.00192051
17, 0.00000, 185.631, -108.372, -187.507, -106.686, 1.16422, 216.252, 0.000241288, -0.00159591, -0.481051, 0.543175, 0.708569, 0.143431, -0.228877, -0.683913, 0.00135983, -0.0026924
18, 0.00000, 184.571, -107.84, -186.624, -106.05, 1.24687, 215.231, 0.000285349, -0.00181417, -0.538468, 0.608437, 0.793156, 0.160108, -0.256408, -0.765137, 0.00171996, -0.00340716
19, 0.00000, 184.157, -107.629, -186.276, -105.803, 1.27607, 214.831, 0.000304122, -0.001903, -0.561246, 0.634333, 0.826688, 0.166704, -0.267321, -0.797314, 0.00187909, -0.00372312
20, 0.00000, 183.925, -107.507, -186.076, -105.665, 1.29134, 214.603, 0.000314721, -0.00195299, -0.574381, 0.649264, 0.846035, 0.170512, -0.273623, -0.815888, 0.00196877, -0.00388799
21, 0.00000, 184.326, -107.655, -186.368, -105.932, 1.21637, 214.967, 0.000302036, -0.00189072, -0.558886, 0.631294, 0.822941, 0.166212, -0.265911, -0.793851, 0.00185694, -0.00365473
22, 0.00000, 185.281, -108.117, -187.151, -106.513, 1.12848, 215.879, 0.000262703, -0.00169878, -0.509075, 0.574583, 0.749509, 0.151811, -0.241964, -0.723394, 0.00152946, -0.00299946
23, 0.00000, 186.755, -108.854, -188.381, -107.401, 1.01034, 217.303, 0.000204895, -0.00140181, -0.428996, 0.483721, 0.631576, 0.128417, -0.203655, -0.610032, 0.00107466, -0.00210671
24, 0.00000, 188.373, -109.711, -189.777, -108.355, 0.916697, 218.895, 0.000145553, -0.00107033, -0.335044, 0.377525, 0.493345, 0.100636, -0.158954, -0.476865, 0.000652706, -0.00129546
25, 0.00000, 189.435, -110.411, -190.811, -108.918, 0.964135, 220.006, 0.000103505, -0.000811692, -0.25769, 0.290553, 0.379755, 0.0774226, -0.122462, -0.367151, 0.000396714, -0.000823821
26, 0.00000, 190.448, -110.775, -191.548, -109.598, 0.765768, 220.931, 8.34811E-005, -0.000675601, -0.217537, 0.244841, 0.320313, 0.0656459, -0.103057, -0.30992, 0.000280651, -0.000566831
27, 0.00000, 190.742, -110.943, -191.813, -109.766, 0.758363, 221.228, 7.44933E-005, -0.000615107, -0.198875, 0.223832, 0.292866, 0.0600402, -0.0942237, -0.283391, 0.000233111, -0.000481147
28, 0.00000, 190.955, -111.001, -191.953, -109.919, 0.701532, 221.415, 7.14598E-005, -0.000593331, -0.192415, 0.216448, 0.283275, 0.0581577, -0.0910767, -0.274164, 0.000216466, -0.000442243
29, 0.00000, 190.702, -110.928, -191.783, -109.74, 0.76584, 221.192, 7.50672E-005, -0.000620331, -0.200538, 0.225718, 0.295328, 0.0605335, -0.0950241, -0.285766, 0.000234615, -0.000485932
30, 0.00000, 190.067, -110.645, -191.275, -109.339, 0.846, 220.585, 8.9916E-005, -0.000723659, -0.232001, 0.261307, 0.341743, 0.0698931, -0.110055, -0.330555, 0.000312557, -0.000645127
31, 0.00000, 188.705, -110.065, -190.212, -108.467, 1.03953, 219.302, 0.000123275, -0.000940352, -0.295786, 0.333716, 0.435975, 0.0886892, -0.140704, -0.421339, 0.000514524, -0.00106627
32, 0.00000, 188.416, -109.777, -189.85, -108.356, 0.954202, 218.954, 0.000145013, -0.00104936, -0.330768, 0.372829, 0.487181, 0.0992969, -0.157047, -0.470879, 0.00063336, -0.00124682
33, 0.00000, 190.688, -109.894, -190.92, -110.185, -0.0158978, 220.698, 0.000160143, -0.00100102, -0.337437, 0.376736, 0.494297, 0.103221, -0.157449, -0.479146, 0.000589586, -0.000809874
34, 0.00000, 192.161, -109.946, -191.599, -111.379, -0.659156, 221.822, 0.000174941, -0.000977727, -0.346373, 0.384295, 0.505561, 0.107229, -0.159765, -0.490991, 0.000577713, -0.000532269
35, 0.00000, 194.478, -110.092, -192.724, -113.234, -1.62781, 223.628, 0.000187527, -0.000909244, -0.34732, 0.381813, 0.504285, 0.109407, -0.157477, -0.491138, 0.000512057, -8.13813E-005
36, 0.00000, 194.905, -110.135, -192.946, -113.57, -1.79516, 223.97, 0.000186625, -0.000888925, -0.344271, 0.377874, 0.499433, 0.10877, -0.155643, -0.486651, 0.00048141, 7.66105E-006
37, 0.00000, 193.425, -110.033, -192.217, -112.386, -1.18002, 222.808, 0.00018062, -0.000937573, -0.346725, 0.382771, 0.50467, 0.108367, -0.158468, -0.490879, 0.000523675, -0.00025979
38, 0.00000, 190.861, -109.787, -190.905, -110.373, -0.174485, 220.775, 0.000173818, -0.00104154, -0.355448, 0.396193, 0.52017, 0.109042, -0.165358, -0.504434, 0.000635299, -0.000801584
39, 0.00000, 188.176, -109.431, -189.461, -108.314, 0.797856, 218.616, 0.000170856, -0.00117817, -0.372489, 0.419159, 0.548, 0.112103, -0.176288, -0.529824, 0.000777715, -0.00143746
