hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.148301, -0.0487431, -0.148302, -0.0487441, -0.1483, -0.0487434, -3.54775E-010, -4.5831E-011
2, 0.00000, -0.125675, -0.0413073, -0.125675, -0.0413072, -0.125674, -0.0413072, -2.50734E-010, -2.83838E-011
3, 0.00000, -0.115083, -0.0378268, -0.115082, -0.0378262, -0.115079, -0.0378253, -2.08291E-010, -2.17464E-011
4, 0.00000, -0.11141, -0.0366188, -0.11141, -0.0366186, -0.111409, -0.0366185, -1.94788E-010, -1.97918E-011
5, 0.00000, -0.116012, -0.0381311, -0.116013, -0.0381314, -0.116014, -0.0381317, -2.12003E-010, -2.22311E-011
6, 0.00000, -0.133832, -0.0439886, -0.133835, -0.0439895, -0.133838, -0.0439905, -2.85485E-010, -3.29925E-011
7, 0.00000, -0.169668, -0.0557671, -0.169669, -0.0557675, -0.169669, -0.0557676, -4.72518E-010, -6.93055E-011
8, 0.00000, -0.154711, -0.0622098, -0.154716, -0.0622112, -0.154719, -0.0622124, -4.18179E-010, -6.53807E-011
9, 0.00000, 0.161038, -0.063723, 0.161033, -0.0637212, 0.161034, -0.0637213, -4.26012E-010, -3.7242E-011
10, 0.00000, 0.298815, -0.0655682, 0.298808, -0.0655652, 0.298807, -0.0655669, -1.29724E-009, -7.79403E-011
11, 0.00000, 0.855208, -0.0660214, 0.855171, -0.0660058, 0.855176, -0.066029, -9.33927E-009, 4.1562E-010
12, 0.00000, 0.883229, -0.0655072, 0.883214, -0.0654999, 0.88321, -0.0655071, -9.89961E-009, 5.00567E-010
13, 0.00000, 0.670921, -0.0657937, 0.670934, -0.0658, 0.670934, -0.0657929, -5.92799E-009, 7.88953E-011
14, 0.00000, 0.178878, -0.0670896, 0.178882, -0.0670912, 0.178882, -0.0670908, -5.18573E-010, -4.44837E-011
15, 0.00000, -0.0758579, -0.0698822, -0.0758585, -0.0698835, -0.0758579, -0.069883, -1.63263E-010, -2.40711E-011
16, 0.00000, -0.233621, -0.0767838, -0.233625, -0.076786, -0.233626, -0.0767873, -9.46744E-010, -1.94189E-010
17, 0.00000, -0.271629, -0.0892784, -0.271634, -0.0892798, -0.271636, -0.0892816, -1.32597E-009, -3.24398E-010
18, 0.00000, -0.302497, -0.0994246, -0.302502, -0.0994258, -0.302504, -0.0994278, -1.68993E-009, -4.6512E-010
19, 0.00000, -0.314652, -0.103421, -0.314655, -0.103421, -0.314655, -0.103422, -1.8484E-009, -5.3196E-010
20, 0.00000, -0.321112, -0.10555, -0.321643, -0.105722, -0.321651, -0.105724, -1.88197E-009, -4.45768E-010
21, 0.00000, -0.313459, -0.10303, -0.313458, -0.10303, -0.313457, -0.103029, -1.82726E-009, -5.16758E-010
22, 0.00000, -0.286812, -0.0942716, -0.286808, -0.0942707, -0.286807, -0.0942693, -1.49288E-009, -3.81102E-010
23, 0.00000, -0.243413, -0.0800072, -0.24341, -0.0800063, -0.243408, -0.080005, -1.03549E-009, -2.21519E-010
24, 0.00000, -0.19164, -0.0629897, -0.191638, -0.0629891, -0.191637, -0.0629884, -6.15847E-010, -1.04925E-010
25, 0.00000, -0.148312, -0.0487479, -0.148308, -0.0487467, -0.148307, -0.0487462, -3.58882E-010, -5.17919E-011
26, 0.00000, -0.12568, -0.0413093, -0.125675, -0.0413076, -0.125676, -0.0413077, -2.51624E-010, -2.9659E-011
27, 0.00000, -0.115073, -0.0378228, -0.115072, -0.0378223, -0.115071, -0.0378221, -2.09249E-010, -2.29669E-011
28, 0.00000, -0.11141, -0.0366187, -0.111409, -0.0366183, -0.111409, -0.0366183, -1.9516E-010, -2.03069E-011
29, 0.00000, -0.116015, -0.0381321, -0.116016, -0.0381326, -0.116016, -0.0381327, -2.12783E-010, -2.33436E-011
30, 0.00000, -0.133843, -0.0439919, -0.133847, -0.0439932, -0.133848, -0.0439937, -2.87564E-010, -3.60125E-011
31, 0.00000, -0.169666, -0.0557664, -0.16967, -0.0557676, -0.169669, -0.0557677, -4.77854E-010, -7.72049E-011
32, 0.00000, -0.155193, -0.0622153, -0.155196, -0.0622166, -0.155197, -0.0622172, -4.24373E-010, -7.18233E-011
33, 0.00000, 0.0488384, -0.0637215, 0.0488375, -0.0637203, 0.0488376, -0.0637205, -9.63275E-011, -1.10446E-011
34, 0.00000, 0.221144, -0.0655699, 0.221137, -0.0655652, 0.221137, -0.0655682, -7.53185E-010, -6.38141E-011
35, 0.00000, 0.464742, -0.0660314, 0.464725, -0.0660227, 0.464725, -0.0660328, -2.9964E-009, -1.08391E-010
36, 0.00000, 0.500216, -0.0655114, 0.500213, -0.0655098, 0.500213, -0.0655118, -3.43331E-009, -9.14924E-011
37, 0.00000, 0.356827, -0.0657909, 0.356837, -0.0657964, 0.356838, -0.0657914, -1.82054E-009, -1.02939E-010
38, 0.00000, 0.106238, -0.0670899, 0.106239, -0.0670913, 0.106239, -0.0670907, -2.31023E-010, -2.59609E-011
39, 0.00000, -0.145052, -0.069873, -0.14506, -0.0698773, -0.145063, -0.069879, -3.98461E-010, -6.92507E-011
40, 0.00000, -0.23362, -0.076786, -0.233624, -0.0767874, -0.233626, -0.0767886, -9.52819E-010, -2.03937E-010
41, 0.00000, -0.271626, -0.0892788, -0.271632, -0.0892801, -0.271634, -0.089282, -1.32965E-009, -3.30492E-010
42, 0.00000, -0.302489, -0.0994225, -0.302497, -0.0994246, -0.3025, -0.099427, -1.69994E-009, -4.82295E-010
43, 0.00000, -0.313271, -0.102967, -0.314649, -0.10342, -0.314652, -0.10342, -1.7022E-009, -2.41423E-010
44, 0.00000, -0.318826, -0.104792, -0.321678, -0.10573, -0.321679, -0.105731, -1.6079E-009, 4.53636E-011
45, 0.00000, -0.312051, -0.102567, -0.31346, -0.103029, -0.313459, -0.103029, -1.6846E-009, -2.32645E-010
46, 0.00000, -0.286814, -0.0942719, -0.286813, -0.0942714, -0.28681, -0.0942699, -1.50996E-009, -4.10251E-010
47, 0.00000, -0.243419, -0.0800081, -0.243413, -0.0800068, -0.243411, -0.0800052, -1.04906E-009, -2.4365E-010
