hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 188.223, -108.952, -189.118, -108.606, 0.353982, 218.479, -4.25391E-006, -1.94001E-006, -0.528658, 0.806238, 0.960025, 0.0532515, -0.432508, -0.856823, 0.0123536, 0.0129594
2, 0.00000, 188.971, -109.48, -189.869, -108.987, 0.413266, 219.271, -4.38578E-006, -6.19068E-006, -0.649047, 0.798626, 1.01384, 0.161359, -0.366003, -0.957408, 0.0115176, 0.0150337
3, 0.00000, 189.478, -109.754, -190.312, -109.284, 0.38969, 219.774, -3.98554E-006, -5.99258E-006, -0.612971, 0.740665, 0.945998, 0.159244, -0.334109, -0.89782, 0.0104782, 0.0142461
4, 0.00000, 189.558, -109.832, -190.409, -109.315, 0.412046, 219.867, -4.14502E-006, -7.21782E-006, -0.655796, 0.753423, 0.978414, 0.189931, -0.323731, -0.941152, 0.0105096, 0.0150133
5, 0.00000, 189.36, -109.716, -190.23, -109.203, 0.415328, 219.668, -4.26655E-006, -7.03361E-006, -0.658816, 0.771148, 0.995136, 0.183644, -0.33747, -0.952412, 0.0108848, 0.0151055
6, 0.00000, 188.834, -109.313, -189.675, -108.949, 0.349417, 219.096, -4.14905E-006, -3.05521E-006, -0.529123, 0.756884, 0.917779, 0.0786213, -0.389643, -0.832961, 0.0113867, 0.0126755
7, 0.00000, 187.37, -108.422, -188.321, -108.139, 0.341004, 217.608, -4.73662E-006, 1.88182E-007, -0.495122, 0.861906, 0.990847, -0.00352793, -0.496791, -0.854951, 0.013781, 0.0123488
8, 0.00000, 186.839, -107.97, -187.725, -107.902, 0.240669, 217.01, -5.6498E-006, -1.96452E-006, -0.644815, 1.01652, 1.19869, 0.0481453, -0.555549, -1.0602, 0.0162513, 0.01558
9, 0.00000, 191.031, -108.553, -189.992, -111.084, -1.22658, 220.379, -6.49899E-006, -1.19113E-005, -1.12055, 1.28165, 1.66777, 0.326719, -0.550097, -1.60555, 0.0178167, 0.0263736
10, 0.00000, 192.774, -108.708, -190.869, -112.447, -1.90488, 221.75, -6.78007E-006, -1.50079E-005, -1.29705, 1.389, 1.85002, 0.425828, -0.556087, -1.81309, 0.0182655, 0.0305485
11, 0.00000, 199.963, -109.616, -194.743, -117.971, -4.51718, 227.571, -7.2979E-006, -2.81358E-005, -2.06887, 1.77246, 2.57395, 0.903916, -0.507726, -2.68135, 0.0173074, 0.0485772
12, 0.00000, 200.397, -109.695, -194.999, -118.294, -4.65674, 227.937, -7.35722E-006, -2.81277E-005, -2.08026, 1.77071, 2.57871, 0.914922, -0.500655, -2.69107, 0.0168221, 0.0487824
13, 0.00000, 197.61, -109.345, -193.489, -116.148, -3.63838, 225.669, -7.40252E-006, -2.40939E-005, -1.82934, 1.65595, 2.3516, 0.754143, -0.524749, -2.41287, 0.0175627, 0.0428173
