hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.0683091, -0.0224515, -0.0683095, -0.0224521, -0.0683081, -0.0224515, 3.49476E-010, -9.96934E-011
2, 0.00000, -0.0578866, -0.0190263, -0.0578864, -0.0190264, -0.0578863, -0.0190263, 2.15315E-010, -6.0637E-011
3, 0.00000, -0.0530066, -0.0174228, -0.0530062, -0.0174227, -0.053005, -0.0174222, 1.64158E-010, -4.5511E-011
4, 0.00000, -0.0513159, -0.0168667, -0.0513158, -0.0168668, -0.0513156, -0.0168666, 1.4953E-010, -4.17748E-011
5, 0.00000, -0.0534366, -0.0175636, -0.0534366, -0.0175637, -0.053437, -0.0175638, 1.68216E-010, -4.75382E-011
6, 0.00000, -0.0616458, -0.020262, -0.0616466, -0.0202624, -0.0616478, -0.0202626, 2.49291E-010, -7.34187E-011
7, 0.00000, -0.0781505, -0.0256867, -0.0781508, -0.025687, -0.0781507, -0.0256868, 5.30638E-010, -1.5331E-010
8, 0.00000, -0.0871801, -0.0286552, -0.0871816, -0.0286559, -0.0871829, -0.0286561, 7.18062E-010, -2.1625E-010
9, 0.00000, -0.0892994, -0.0293512, -0.0892966, -0.0293506, -0.0892966, -0.0293503, 3.57767E-010, -2.27626E-010
10, 0.00000, -0.0918856, -0.0302012, -0.0918824, -0.0302006, -0.0918822, -0.0302001, 2.32957E-010, -2.44438E-010
11, 0.00000, -0.0925377, -0.0304156, -0.0925306, -0.0304137, -0.0925313, -0.0304135, -2.32236E-010, -2.37648E-010
12, 0.00000, -0.0918156, -0.0301783, -0.0918125, -0.0301776, -0.0918115, -0.030177, -2.53902E-010, -2.26066E-010
13, 0.00000, -0.0921979, -0.0303038, -0.0922009, -0.0303051, -0.0922006, -0.0303049, -1.14776E-010, -2.29828E-010
14, 0.00000, -0.0940171, -0.0309018, -0.094019, -0.0309027, -0.0940185, -0.0309024, 3.8409E-010, -2.60146E-010
15, 0.00000, -0.0979341, -0.0321879, -0.0979344, -0.032189, -0.0979328, -0.0321882, 8.47946E-010, -3.05907E-010
16, 0.00000, -0.107607, -0.035368, -0.107608, -0.0353692, -0.107609, -0.035369, 1.53234E-009, -4.23259E-010
17, 0.00000, -0.125114, -0.0411224, -0.125115, -0.0411237, -0.125116, -0.0411235, 2.61828E-009, -6.91738E-010
18, 0.00000, -0.139331, -0.0457956, -0.139333, -0.045797, -0.139334, -0.0457968, 3.81167E-009, -9.83828E-010
19, 0.00000, -0.144931, -0.047636, -0.144931, -0.0476372, -0.144931, -0.0476365, 4.38869E-009, -1.12156E-009
20, 0.00000, -0.148149, -0.0486962, -0.148148, -0.0486964, -0.148152, -0.0486964, 4.72188E-009, -1.20841E-009
21, 0.00000, -0.144382, -0.0474558, -0.144381, -0.0474564, -0.14438, -0.0474553, 4.24354E-009, -1.1037E-009
22, 0.00000, -0.132108, -0.0434216, -0.132106, -0.0434219, -0.132105, -0.0434206, 3.08612E-009, -8.24378E-010
23, 0.00000, -0.112119, -0.0368514, -0.112117, -0.0368514, -0.112115, -0.0368505, 1.75751E-009, -4.84312E-010
24, 0.00000, -0.0882711, -0.0290132, -0.0882701, -0.0290132, -0.0882693, -0.0290127, 8.17944E-010, -2.26816E-010
25, 0.00000, -0.0683135, -0.0224535, -0.0683116, -0.0224531, -0.068311, -0.0224527, 4.04835E-010, -1.04057E-010
26, 0.00000, -0.0578892, -0.0190273, -0.0578867, -0.0190266, -0.0578871, -0.0190265, 2.26616E-010, -6.27726E-011
27, 0.00000, -0.0530035, -0.0174214, -0.0530027, -0.0174212, -0.0530025, -0.0174211, 1.75752E-010, -4.69242E-011
28, 0.00000, -0.0513161, -0.0168668, -0.0513155, -0.0168667, -0.0513154, -0.0168666, 1.54312E-010, -4.22547E-011
29, 0.00000, -0.0534371, -0.0175638, -0.0534377, -0.0175642, -0.0534377, -0.0175641, 1.78672E-010, -4.73835E-011
30, 0.00000, -0.0616491, -0.0202629, -0.061651, -0.0202636, -0.0616511, -0.0202637, 2.77563E-010, -7.33373E-011
31, 0.00000, -0.0781494, -0.0256863, -0.0781509, -0.0256871, -0.0781506, -0.0256869, 6.07847E-010, -1.553E-010
32, 0.00000, -0.0871866, -0.0286567, -0.0871883, -0.0286575, -0.0871887, -0.0286575, 8.00615E-010, -2.19019E-010
33, 0.00000, -0.0892972, -0.0293504, -0.0892954, -0.0293502, -0.0892955, -0.0293499, 5.16126E-010, -2.31198E-010
34, 0.00000, -0.0918889, -0.0302023, -0.0918839, -0.0302011, -0.0918837, -0.0302006, 3.72588E-010, -2.51429E-010
35, 0.00000, -0.0925396, -0.0304163, -0.0925334, -0.0304146, -0.0925333, -0.0304141, 1.25921E-010, -2.51536E-010
36, 0.00000, -0.0918066, -0.0301752, -0.0918053, -0.0301752, -0.0918052, -0.0301748, 7.22745E-011, -2.39187E-010
37, 0.00000, -0.0921948, -0.0303027, -0.0921989, -0.0303044, -0.0921988, -0.0303043, 2.14975E-010, -2.41763E-010
38, 0.00000, -0.0940174, -0.0309019, -0.094019, -0.0309027, -0.0940186, -0.0309024, 5.51508E-010, -2.66981E-010
39, 0.00000, -0.0979233, -0.0321844, -0.097927, -0.0321865, -0.0979281, -0.0321867, 1.04282E-009, -3.11634E-010
40, 0.00000, -0.107607, -0.0353683, -0.107608, -0.0353694, -0.107609, -0.0353692, 1.63132E-009, -4.27899E-010
41, 0.00000, -0.125113, -0.0411224, -0.125115, -0.0411236, -0.125116, -0.0411236, 2.68311E-009, -6.94615E-010
42, 0.00000, -0.139329, -0.0457947, -0.139332, -0.0457965, -0.139333, -0.0457964, 3.99522E-009, -9.92222E-010
43, 0.00000, -0.144934, -0.0476367, -0.144929, -0.0476367, -0.14493, -0.0476358, 4.64341E-009, -1.1227E-009
44, 0.00000, -0.14813, -0.048687, -0.148167, -0.0487008, -0.148167, -0.0486999, 4.77837E-009, -1.10252E-009
45, 0.00000, -0.14438, -0.0474552, -0.144381, -0.0474564, -0.144381, -0.0474553, 4.59412E-009, -1.09596E-009
46, 0.00000, -0.132109, -0.0434218, -0.132108, -0.0434223, -0.132106, -0.043421, 3.38967E-009, -8.37081E-010
47, 0.00000, -0.112121, -0.0368519, -0.112118, -0.0368518, -0.112116, -0.0368507, 1.98183E-009, -4.95344E-010
48, 0.00000, -0.088272, -0.0290135, -0.088269, -0.0290129, -0.088269, -0.0290125, 9.35312E-010, -2.34419E-010
49, 0.00000, -0.0683112, -0.0224527, -0.0683095, -0.0224524, -0.0683097, -0.0224522, 3.90708E-010, -1.03835E-010
50, 0.00000, -0.0578914, -0.019028, -0.0578889, -0.0190273, -0.0578886, -0.019027, 2.36237E-010, -6.26099E-011
51, 0.00000, -0.0530044, -0.0174216, -0.0530031, -0.0174214, -0.053003, -0.0174212, 1.76327E-010, -4.71983E-011
52, 0.00000, -0.0513164, -0.0168668, -0.0513156, -0.0168667, -0.0513156, -0.0168666, 1.53074E-010, -4.22825E-011
53, 0.00000, -0.0534375, -0.017564, -0.0534379, -0.0175642, -0.0534379, -0.0175642, 1.73086E-010, -4.72869E-011
54, 0.00000, -0.0616446, -0.0202614, -0.0616486, -0.0202628, -0.0616488, -0.020263, 3.05156E-010, -7.30972E-011
55, 0.00000, -0.0781454, -0.0256839, -0.0781473, -0.0256853, -0.0781466, -0.0256849, 5.80006E-010, -1.53569E-010
56, 0.00000, -0.0871765, -0.0286532, -0.087183, -0.0286556, -0.0871838, -0.0286559, 8.70567E-010, -2.16843E-010
57, 0.00000, -0.0893082, -0.0293542, -0.0893016, -0.0293525, -0.0893011, -0.0293518, 7.57205E-010, -2.40632E-010
58, 0.00000, -0.0918878, -0.030202, -0.0918836, -0.0302011, -0.0918833, -0.0302005, 6.70387E-010, -2.5619E-010
59, 0.00000, -0.0925378, -0.0304157, -0.0925331, -0.0304146, -0.0925329, -0.030414, 5.38012E-010, -2.57465E-010
60, 0.00000, -0.0917952, -0.0301713, -0.0917996, -0.0301731, -0.0917997, -0.0301731, 6.47207E-010, -2.50263E-010
61, 0.00000, -0.0921974, -0.0303036, -0.0921998, -0.0303047, -0.0921998, -0.0303046, 7.33867E-010, -2.57658E-010
62, 0.00000, -0.094012, -0.0309, -0.0940154, -0.0309014, -0.0940156, -0.0309014, 8.62771E-010, -2.73851E-010
63, 0.00000, -0.0979256, -0.0321862, -0.0979304, -0.0321881, -0.0979308, -0.0321883, 1.08913E-009, -3.1564E-010
64, 0.00000, -0.107607, -0.0353682, -0.10761, -0.0353699, -0.10761, -0.0353697, 1.88338E-009, -4.35531E-010
