hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 188.19, -108.922, -189.077, -108.593, 0.344535, 218.438, 7.45291E-005, -0.00033857, -0.220173, 0.246736, 0.32295, 0.0667358, -0.103275, -0.312549, 0.000497564, -0.000922684
2, 0.00000, 188.943, -109.454, -189.834, -108.977, 0.405284, 219.237, 6.03892E-005, -0.000282502, -0.185714, 0.208283, 0.272625, 0.0562768, -0.0872721, -0.263874, 0.00036107, -0.000684988
3, 0.00000, 189.453, -109.731, -190.28, -109.274, 0.382404, 219.742, 5.39427E-005, -0.000256331, -0.16962, 0.190208, 0.249025, 0.0514462, -0.0797044, -0.241076, 0.000299073, -0.000577476
4, 0.00000, 189.533, -109.809, -190.378, -109.305, 0.404992, 219.837, 5.18841E-005, -0.000247552, -0.164106, 0.184069, 0.240977, 0.0497601, -0.0771532, -0.233284, 0.000282922, -0.000544738
5, 0.00000, 189.334, -109.693, -190.198, -109.193, 0.407975, 219.636, 5.45823E-005, -0.000258658, -0.171069, 0.191876, 0.251181, 0.0518586, -0.0804195, -0.243149, 0.000307338, -0.000585488
6, 0.00000, 188.804, -109.286, -189.638, -108.937, 0.34092, 219.059, 6.52172E-005, -0.000301377, -0.198036, 0.221947, 0.290569, 0.0600688, -0.0929362, -0.281276, 0.000403704, -0.000739813
7, 0.00000, 187.331, -108.387, -188.274, -108.125, 0.330146, 217.561, 8.92729E-005, -0.000393881, -0.253111, 0.283565, 0.371063, 0.0766649, -0.118612, -0.359033, 0.000660634, -0.00119747
8, 0.00000, 186.796, -107.931, -187.672, -107.886, 0.22854, 216.957, 0.000103202, -0.000443773, -0.283446, 0.31718, 0.415132, 0.0859525, -0.132505, -0.401705, 0.000819285, -0.00142756
9, 0.00000, 190.988, -108.514, -189.938, -111.067, -1.23842, 220.326, 0.000100675, -0.000418987, -0.287454, 0.317003, 0.417677, 0.08971, -0.130931, -0.406029, 0.000707597, -0.000683861
10, 0.00000, 192.729, -108.668, -190.815, -112.429, -1.91681, 221.695, 0.00010199, -0.000416764, -0.294712, 0.322873, 0.42666, 0.0931196, -0.132631, -0.4156, 0.000682435, -0.000391961
11, 0.00000, 199.919, -109.578, -194.69, -117.953, -4.52823, 227.517, 9.4094E-005, -0.000365806, -0.291817, 0.312089, 0.416893, 0.0963577, -0.125531, -0.409198, 0.000456172, 0.000752199
12, 0.00000, 200.354, -109.658, -194.946, -118.277, -4.66766, 227.883, 9.21104E-005, -0.000359847, -0.289196, 0.308908, 0.412895, 0.0957095, -0.124119, -0.40543, 0.000420094, 0.000813116
13, 0.00000, 197.566, -109.306, -193.436, -116.13, -3.64971, 225.615, 9.5256E-005, -0.00038019, -0.292325, 0.315119, 0.419504, 0.0951841, -0.127677, -0.41073, 0.000497631, 0.000426572
14, 0.00000, 191.076, -108.341, -189.834, -111.215, -1.40915, 220.313, 0.000106811, -0.000439895, -0.302947, 0.333497, 0.439719, 0.0948219, -0.137531, -0.42763, 0.000758659, -0.000688929
15, 0.00000, 187.425, -107.609, -187.675, -108.543, -0.301838, 217.275, 0.000118871, -0.00049303, -0.318824, 0.354788, 0.465364, 0.0976319, -0.147518, -0.450936, 0.000978264, -0.00148401
16, 0.00000, 184.51, -106.716, -185.712, -106.55, 0.344022, 214.728, 0.00014053, -0.000574177, -0.353938, 0.396395, 0.518145, 0.106829, -0.165518, -0.500876, 0.00131176, -0.00234771
17, 0.00000, 182.674, -105.67, -184.087, -105.511, 0.382076, 212.913, 0.000177154, -0.00069347, -0.415609, 0.465527, 0.607968, 0.125069, -0.194201, -0.587291, 0.00184183, -0.00330511
18, 0.00000, 181.34, -104.841, -182.856, -104.788, 0.35573, 211.571, 0.000210045, -0.000794423, -0.466431, 0.522205, 0.681655, 0.140178, -0.217568, -0.658204, 0.00234321, -0.00417849
19, 0.00000, 180.822, -104.514, -182.374, -104.51, 0.340834, 211.048, 0.000224047, -0.000835861, -0.486662, 0.544729, 0.71092, 0.14619, -0.226822, -0.686355, 0.00256488, -0.00456301
20, 0.00000, 180.535, -104.328, -182.099, -104.357, 0.330815, 210.754, 0.000232176, -0.000859116, -0.498324, 0.557703, 0.72779, 0.149662, -0.232161, -0.702597, 0.00269509, -0.00476786
21, 0.00000, 181.112, -104.596, -182.563, -104.711, 0.272284, 211.298, 0.000221987, -0.000828172, -0.484332, 0.541736, 0.707276, 0.14572, -0.225469, -0.683008, 0.00252475, -0.00444724
22, 0.00000, 182.339, -105.329, -183.671, -105.388, 0.275004, 212.519, 0.000192425, -0.000738629, -0.440103, 0.492366, 0.643157, 0.132623, -0.205118, -0.621349, 0.00206446, -0.00364035
23, 0.00000, 184.193, -106.479, -185.386, -106.396, 0.307855, 214.39, 0.000149551, -0.000603049, -0.36955, 0.4137, 0.540749, 0.111561, -0.172636, -0.522703, 0.00143744, -0.0025579
24, 0.00000, 186.159, -107.779, -187.277, -107.431, 0.402265, 216.418, 0.000106106, -0.000455792, -0.287553, 0.322334, 0.4215, 0.0868716, -0.134816, -0.407613, 0.000868337, -0.00159241
25, 0.00000, 187.267, -108.75, -188.541, -107.911, 0.635396, 217.671, 7.57684E-005, -0.000344829, -0.220726, 0.248081, 0.324257, 0.0664989, -0.104065, -0.313523, 0.000533951, -0.00105669
26, 0.00000, 188.713, -109.412, -189.702, -108.806, 0.478165, 219.046, 6.08846E-005, -0.000283974, -0.185833, 0.20857, 0.272896, 0.0562263, -0.0874374, -0.264078, 0.000374913, -0.000717635
27, 0.00000, 189.051, -109.659, -190.048, -108.975, 0.511037, 219.408, 5.43216E-005, -0.000258156, -0.169788, 0.190637, 0.249439, 0.0513632, -0.0799626, -0.241385, 0.000311241, -0.000615305
28, 0.00000, 189.379, -109.781, -190.289, -109.19, 0.454524, 219.708, 5.20418E-005, -0.000248322, -0.164173, 0.184233, 0.241136, 0.0497298, -0.0772509, -0.233402, 0.000287755, -0.000561111
29, 0.00000, 188.995, -109.632, -190.002, -108.941, 0.516717, 219.354, 5.47212E-005, -0.000260349, -0.171221, 0.192254, 0.251554, 0.0517906, -0.0806454, -0.243424, 0.000312442, -0.00062061
30, 0.00000, 188.162, -109.169, -189.265, -108.46, 0.546034, 218.524, 6.56118E-005, -0.000305194, -0.198381, 0.222787, 0.291399, 0.059924, -0.0934342, -0.281891, 0.000416564, -0.000819908
31, 0.00000, 186.331, -108.199, -187.691, -107.386, 0.643583, 216.729, 9.03311E-005, -0.000401457, -0.253788, 0.285224, 0.372686, 0.0763713, -0.11959, -0.360237, 0.000692468, -0.00135829
32, 0.00000, 185.998, -107.78, -187.207, -107.298, 0.477142, 216.294, 0.000104325, -0.000450831, -0.284081, 0.318685, 0.416613, 0.0857028, -0.133382, -0.402809, 0.000851176, -0.0015789
33, 0.00000, 189.197, -108.231, -188.939, -109.721, -0.635718, 218.865, 0.00010313, -0.000433824, -0.288745, 0.32031, 0.420887, 0.0890759, -0.132914, -0.408379, 0.000772118, -0.00100616
