hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.167175, -0.0549471, -0.167176, -0.0549479, -0.167176, -0.0549479, -9.13602E-011, -1.18538E-011
2, 0.00000, -0.14167, -0.0465646, -0.141669, -0.0465645, -0.141669, -0.0465645, -6.39133E-011, -7.22938E-012
3, 0.00000, -0.129729, -0.0426404, -0.129727, -0.0426396, -0.129725, -0.042639, -5.28734E-011, -5.53693E-012
4, 0.00000, -0.125589, -0.0412793, -0.125589, -0.0412791, -0.125589, -0.041279, -4.92969E-011, -4.99782E-012
5, 0.00000, -0.130778, -0.0429844, -0.130779, -0.0429847, -0.130779, -0.042985, -5.3726E-011, -5.61563E-012
6, 0.00000, -0.150867, -0.0495877, -0.150871, -0.0495888, -0.150873, -0.0495896, -7.28426E-011, -8.49572E-012
7, 0.00000, -0.191263, -0.062865, -0.191264, -0.0628653, -0.191264, -0.0628654, -1.23004E-010, -1.81828E-011
8, 0.00000, -0.213361, -0.070129, -0.213366, -0.0701303, -0.213369, -0.0701316, -1.5352E-010, -2.45276E-011
9, 0.00000, -0.218544, -0.0718318, -0.21854, -0.0718308, -0.21854, -0.0718307, -1.29288E-010, -1.59483E-011
10, 0.00000, -0.224871, -0.0739116, -0.224867, -0.0739104, -0.224867, -0.0739101, -1.24906E-010, -1.38266E-011
11, 0.00000, -0.226461, -0.0744343, -0.226453, -0.0744318, -0.226454, -0.0744318, -8.49216E-011, -5.68877E-012
12, 0.00000, -0.22469, -0.0738521, -0.224687, -0.0738512, -0.224686, -0.0738507, -8.13502E-011, -5.1001E-012
13, 0.00000, -0.225648, -0.074167, -0.225652, -0.0741681, -0.225652, -0.0741682, -9.5975E-011, -7.04409E-012
14, 0.00000, -0.230097, -0.0756291, -0.230099, -0.07563, -0.230099, -0.07563, -1.42828E-010, -1.78978E-011
15, 0.00000, -0.239674, -0.0787758, -0.239678, -0.0787775, -0.23968, -0.0787783, -1.862E-010, -3.05113E-011
16, 0.00000, -0.263353, -0.0865596, -0.263358, -0.0865611, -0.26336, -0.086562, -2.54376E-010, -5.14955E-011
17, 0.00000, -0.3062, -0.100643, -0.306205, -0.100644, -0.306207, -0.100645, -3.63379E-010, -8.62572E-011
18, 0.00000, -0.340997, -0.11208, -0.341002, -0.112082, -0.341004, -0.112083, -4.70098E-010, -1.24528E-010
19, 0.00000, -0.354699, -0.116584, -0.354702, -0.116585, -0.354702, -0.116585, -5.174E-010, -1.42946E-010
20, 0.00000, -0.36258, -0.119177, -0.362584, -0.119177, -0.362591, -0.119179, -5.45108E-010, -1.5359E-010
21, 0.00000, -0.353353, -0.116142, -0.353352, -0.116142, -0.353351, -0.116141, -5.10944E-010, -1.39854E-010
22, 0.00000, -0.323315, -0.106269, -0.323311, -0.106268, -0.32331, -0.106267, -4.12218E-010, -1.02987E-010
23, 0.00000, -0.274394, -0.0901889, -0.27439, -0.0901878, -0.274388, -0.090187, -2.80038E-010, -5.93874E-011
24, 0.00000, -0.216031, -0.0710061, -0.216029, -0.0710053, -0.216028, -0.0710049, -1.625E-010, -2.7525E-011
25, 0.00000, -0.167184, -0.0549508, -0.167182, -0.05495, -0.167181, -0.0549497, -9.29666E-011, -1.289E-011
26, 0.00000, -0.141673, -0.0465657, -0.14167, -0.0465647, -0.14167, -0.0465647, -6.42379E-011, -7.46886E-012
27, 0.00000, -0.129717, -0.042636, -0.129716, -0.0426357, -0.129716, -0.0426356, -5.31466E-011, -5.6942E-012
28, 0.00000, -0.125588, -0.0412788, -0.125587, -0.0412786, -0.125587, -0.0412786, -4.94229E-011, -5.07343E-012
29, 0.00000, -0.130782, -0.0429858, -0.130783, -0.0429861, -0.130783, -0.0429862, -5.40492E-011, -5.78845E-012
30, 0.00000, -0.150883, -0.0495925, -0.150885, -0.0495932, -0.150885, -0.0495936, -7.37339E-011, -9.0043E-012
31, 0.00000, -0.191262, -0.0628648, -0.191264, -0.0628655, -0.191264, -0.0628656, -1.2504E-010, -1.94006E-011
32, 0.00000, -0.213382, -0.0701354, -0.213385, -0.0701362, -0.213386, -0.0701365, -1.55821E-010, -2.59754E-011
33, 0.00000, -0.218541, -0.0718309, -0.218539, -0.0718302, -0.218539, -0.0718302, -1.4072E-010, -1.95951E-011
