"Hour", kWh, kvarh, "Peak kW", "peak kVA", "Losses kWh", "Losses kvarh", "Peak Losses kW"
1, 63.4740668603869, 28.4041801318573, 63.4740668603869, 69.5395902544721, 1.86206938108131, 6.39332076561747, 1.86206938108131
2, 56.5935600567299, 24.9042965880006, 63.4740668603869, 69.5395902544721, 1.61059146954612, 6.24818495363993, 1.86206938108131
3, 52.0828540049083, 23.245586206478, 63.4740668603869, 69.5395902544721, 1.46151404936659, 6.16495658689828, 1.86206938108131
4, 51.3040791502418, 22.6888757535396, 63.4740668603869, 69.5395902544721, 1.43756922466062, 6.15044632310643, 1.86206938108131
5, 53.0831900720106, 23.4050175861081, 63.4740668603869, 69.5395902544721, 1.49385785033116, 6.18209684883545, 1.86206938108131
6, 57.9951227268258, 26.1480188002956, 63.4740668603869, 69.5395902544721, 1.65904593357657, 6.2784489803427, 1.86206938108131
7, 71.1490371413846, 31.7604773940264, 71.1490371413846, 77.9160664461611, 2.17885619438084, 6.57358132478302, 2.17885619438084
8, 75.8306825208593, 34.8028727001683, 75.8306825208593, 83.4357978314073, 2.40594815100074, 6.70285126460237, 2.40594815100074
9, 39.0795157067616, 34.845628548769, 75.8306825208593, 83.4357978314073, 1.27447532435891, 6.06661141330236, 2.40594815100074
10, 23.7749503933147, 35.5483802527464, 75.8306825208593, 83.4357978314073, 1.06393338490706, 5.936468802789, 2.40594815100074
11, -40.2793261404986, 36.0007678324775, 75.8306825208593, 83.4357978314073, 1.69456937234182, 6.18253990083234, 2.40594815100074
12, -44.1639148861427, 35.8227679017505, 75.8306825208593, 83.4357978314073, 1.80631874173501, 6.2371866206311, 2.40594815100074
13, -19.2219271191449, 35.6717611206037, 75.8306825208593, 83.4357978314073, 1.20905846628858, 5.95540477814651, 2.40594815100074
14, 38.4674624137718, 36.3748318794565, 75.8306825208593, 83.4357978314073, 1.28775108707857, 6.07367042256849, 2.40594815100074
15, 70.6011594184121, 38.1691481531921, 75.8306825208593, 83.4357978314073, 2.23242859485338, 6.61424999603497, 2.40594815100074
16, 96.0238753434124, 41.9807361009756, 96.0238753434124, 104.799650951456, 3.46150747706325, 7.30065679006722, 3.46150747706325
17, 111.969866179024, 48.2045627288151, 111.969866179024, 121.905417435095, 4.48993288575759, 7.88130601142763, 4.48993288575759
18, 123.598743032487, 53.2739633101425, 123.598743032487, 134.591100916744, 5.34636985983996, 8.36819114413081, 5.34636985983996
19, 128.103605740045, 55.2805399773691, 128.103605740045, 139.522298948198, 5.70229349248007, 8.57073498469161, 5.70229349248007
20, 130.632368539747, 56.4390410161689, 130.632368539747, 142.303130890115, 5.90805890025623, 8.68809705593506, 5.90805890025623
21, 125.755983623799, 55.0054795304542, 130.632368539747, 142.303130890115, 5.52178163259768, 8.47327533311752, 5.90805890025623
22, 115.134612336539, 50.5955437839349, 130.632368539747, 142.303130890115, 4.72154100994533, 8.01950706482248, 5.90805890025623
23, 98.8877950735091, 43.5357685335658, 130.632368539747, 142.303130890115, 3.63662244025245, 7.40206992080339, 5.90805890025623
24, 81.3628621868348, 35.288932615919, 130.632368539747, 142.303130890115, 2.65632135268966, 6.84064524285836, 5.90805890025623
25, 70.9558076067807, 28.5693956818459, 130.632368539747, 142.303130890115, 2.17470514507316, 6.55378056150599, 5.90805890025623
26, 58.4580677133079, 24.9381737097551, 130.632368539747, 142.303130890115, 1.6772795575153, 6.28227586678903, 5.90805890025623
27, 55.3505130835735, 23.3026214238113, 130.632368539747, 142.303130890115, 1.57130521308859, 6.22077053872151, 5.90805890025623
28, 52.5603017045788, 22.7092823759071, 130.632368539747, 142.303130890115, 1.4783115161483, 6.17115858941674, 5.90805890025623
29, 55.8393785773516, 23.4524755453406, 130.632368539747, 142.303130890115, 1.58794038057439, 6.22987068803033, 5.90805890025623
30, 63.2217590969786, 26.2491506555825, 130.632368539747, 142.303130890115, 1.85536628291817, 6.37916500313089, 5.90805890025623
31, 79.2513903964442, 31.9551791438746, 130.632368539747, 142.303130890115, 2.55511707421562, 6.76802922143096, 5.90805890025623
32, 82.280653600659, 34.9658179086972, 130.632368539747, 142.303130890115, 2.71899425204106, 6.86547195631761, 5.90805890025623
33, 54.6525373427767, 35.0647928603718, 130.632368539747, 142.303130890115, 1.65974228946369, 6.28597850666032, 5.90805890025623
34, 37.7501625055904, 35.6727803243324, 130.632368539747, 142.303130890115, 1.27301384352727, 6.06082433912763, 5.90805890025623
35, 10.5990844790838, 35.702067327819, 130.632368539747, 142.303130890115, 0.998809624257616, 5.88147601424666, 5.90805890025623
36, 5.38939051560478, 35.4587068887637, 130.632368539747, 142.303130890115, 0.99055975227294, 5.871324559107, 5.90805890025623
37, 23.1013408507108, 35.650321757285, 130.632368539747, 142.303130890115, 1.06957212385623, 5.93456283532752, 5.90805890025623
38, 53.1107553271068, 36.577101246725, 130.632368539747, 142.303130890115, 1.64656177436873, 6.27591830435578, 5.90805890025623
39, 84.0358665970289, 38.4925351681869, 130.632368539747, 142.303130890115, 2.82692289567845, 6.93788052987776, 5.90805890025623
40, 100.430899819643, 42.1197347619332, 130.632368539747, 142.303130890115, 3.72455345266611, 7.4388928446943, 5.90805890025623
41, 113.901234047702, 48.2746947668734, 130.632368539747, 142.303130890115, 4.62225050608714, 7.95112944572728, 5.90805890025623
42, 127.589156682005, 53.4344767196121, 130.632368539747, 142.303130890115, 5.65096834318773, 8.52907593410621, 5.90805890025623
43, 133.397041164951, 55.4995845458529, 133.397041164951, 144.481744439655, 6.12292674126394, 8.79306442411355, 6.12292674126394
44, 136.65883283106, 56.6921796244191, 136.65883283106, 147.951477928796, 6.39715343828863, 8.94684114950549, 6.39715343828863
45, 133.560846650044, 55.3268763943521, 136.65883283106, 147.951477928796, 6.13570044096264, 8.79813303131223, 6.39715343828863
46, 122.726395350403, 50.8849736721367, 136.65883283106, 147.951477928796, 5.26929751677788, 8.30885405361628, 6.39715343828863
47, 107.52315780534, 43.821035453544, 136.65883283106, 147.951477928796, 4.18074624066928, 7.68737256417683, 6.39715343828863
48, 89.7628456798611, 35.5189893878104, 136.65883283106, 147.951477928796, 3.10277571214788, 7.07107961978983, 6.39715343828863
49, 69.2004927328711, 28.5295372340243, 136.65883283106, 147.951477928796, 2.09694715744132, 6.51428364549516, 6.39715343828863
50, 60.3094927616817, 24.9734520412161, 136.65883283106, 147.951477928796, 1.74652029897765, 6.31740042336174, 6.39715343828863
51, 55.3431548966795, 23.3024333832211, 136.65883283106, 147.951477928796, 1.57105102005136, 6.22064061001344, 6.39715343828863
52, 52.1598160168308, 22.7025941055993, 136.65883283106, 147.951477928796, 1.46517389127883, 6.16449203060472, 6.39715343828863
53, 54.3277493565728, 23.4258978356827, 136.65883283106, 147.951477928796, 1.53551084390221, 6.20332092835837, 6.39715343828863
54, 68.7749544127852, 26.3671784048527, 136.65883283106, 147.951477928796, 2.09027495817256, 6.49722034727301, 6.39715343828863
55, 76.554003178937, 31.8786116951968, 136.65883283106, 147.951477928796, 2.42323992901487, 6.70050727809084, 6.39715343828863
56, 88.5884137981911, 35.1351999041276, 136.65883283106, 147.951477928796, 3.03792570242792, 7.03536159264953, 6.39715343828863
57, 74.0865475360913, 35.450237525079, 136.65883283106, 147.951477928796, 2.35622770895563, 6.67088535225175, 6.39715343828863
58, 64.3319972592584, 36.0801332597951, 136.65883283106, 147.951477928796, 1.9801685326592, 6.46813920893441, 6.39715343828863
59, 52.5108015440125, 36.0797090576515, 136.65883283106, 147.951477928796, 1.60287574741897, 6.25864798677752, 6.39715343828863
60, 64.0795352666989, 36.0550043757396, 136.65883283106, 147.951477928796, 1.99992047382786, 6.46797661081178, 6.39715343828863
61, 70.0172213768325, 36.3082659387777, 136.65883283106, 147.951477928796, 2.22910828151674, 6.59276006915939, 6.39715343828863
62, 77.2858151055308, 37.0622241369879, 136.65883283106, 147.951477928796, 2.52463092669426, 6.76134961001604, 6.39715343828863
63, 86.6168085878097, 38.578668224577, 136.65883283106, 147.951477928796, 3.00493481766114, 7.01587760411426, 6.39715343828863
64, 111.133355138259, 42.4862267595902, 136.65883283106, 147.951477928796, 4.43519183593919, 7.80470047494679, 6.39715343828863
65, 126.458593058189, 48.763283430818, 136.65883283106, 147.951477928796, 5.56373044063682, 8.43909636449003, 6.39715343828863
