"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage", "Min Bus", "Max Bus", "LV Undervoltages", "Min LV Voltage", "LV Overvoltage", "Max LV Voltage", "Min LV Bus", "Max LV Bus"
1, 0, 0.999709713950358, 0, 0.999713383937887, mv, mv, 0, 0.940019081741036, 0, 0.971978727740294, o4zk34, lv
2, 0, 0.999742613107281, 0, 0.999745689030277, mv, mv, 0, 0.944289927110589, 0, 0.97254172039517, o4zk34, lv
3, 0, 0.999762133064949, 0, 0.999764919604028, mv, mv, 0, 0.946913808546815, 0, 0.972843371366768, o4zk34, lv
4, 0, 0.99976637117507, 0, 0.999769068376001, mv, mv, 0, 0.94742234541174, 0, 0.972924263779061, o4zk42, lv
5, 0, 0.999758474209017, 0, 0.99976129337719, mv, mv, 0, 0.946382273338283, 0, 0.972798631052713, o4zk42, lv
6, 0, 0.999734209332169, 0, 0.999737482376313, mv, mv, 0, 0.943281041958213, 0, 0.972370544232963, o4zk34, lv
7, 0, 0.999674767670378, 0, 0.999679035342312, mv, mv, 0, 0.935383142248036, 0, 0.971410323072356, o4zk34, lv
8, 0, 0.999650399673896, 0, 0.999654920022, mv, mv, 0, 0.932381074097078, 0, 0.97095449345386, o4zk34, lv
9, 0, 0.999767327429747, 0, 0.999769023202409, mv, mv, 0, 0.950570222813324, 0, 0.971938066431041, o4zk37, lv
10, 0, 0.999813104074807, 0, 0.999814434920706, mv, mv, 0, 0.957838350588592, 0, 0.972280658958817, o4zk37, lv
11, 0, 1.00001212174739, 0, 1.00001568721276, mv, mv, 0, 0.970777216794146, 0, 0.996120517633113, o1zk7, o3zk7
12, 0, 1.000024847752, 0, 1.00002853812746, mv, mv, 0, 0.97114809436221, 0, 0.99792084982813, o1zk7, o3zk7
13, 0, 0.99994725971496, 0, 0.999949953681332, mv, mv, 0, 0.969186850757313, 0, 0.986532759189085, o1zk7, o3zk7
14, 0, 0.999764462760935, 0, 0.999766165549661, mv, mv, 0, 0.950496834589727, 0, 0.971789941417573, o4zk37, lv
15, 0, 0.999656500105336, 0, 0.99966066818107, mv, mv, 0, 0.934324756620823, 0, 0.970729591828423, o4zk37, lv
16, 0, 0.999563527422286, 0, 0.999569742054462, mv, mv, 0, 0.920422127355601, 0, 0.969643314146596, o4zk34, lv
17, 0, 0.999493201263539, 0, 0.999500708422996, mv, mv, 0, 0.910825225058706, 0, 0.968550598938283, o4zk34, lv
18, 0, 0.999440172074912, 0, 0.999448754626959, mv, mv, 0, 0.903628172892114, 0, 0.967699871772442, o4zk34, lv
19, 0, 0.999419482128992, 0, 0.999428501964099, mv, mv, 0, 0.900814629576786, 0, 0.967366412680164, o4zk34, lv
20, 0, 0.999407772227647, 0, 0.999417026862785, mv, mv, 7, 0.899248020373806, 0, 0.967175567247639, o4zk34, lv
21, 0, 0.999427785117277, 0, 0.999436700004119, mv, mv, 0, 0.902062367140455, 0, 0.967458288597321, o4zk34, lv
22, 0, 0.999475518784276, 0, 0.999483476025237, mv, mv, 0, 0.908585598464853, 0, 0.96821145239448, o4zk34, lv
23, 0, 0.999549494252428, 0, 0.999556006391534, mv, mv, 0, 0.918581131778659, 0, 0.96940043765587, o4zk34, lv
24, 0, 0.999631252535541, 0, 0.999636200380898, mv, mv, 0, 0.929441309309677, 0, 0.970754785156492, o4zk34, lv
25, 0, 0.999685621664839, 0, 0.999689415944935, mv, mv, 0, 0.936234766486675, 0, 0.971755167133126, o4zk42, lv
26, 0, 0.999736632733331, 0, 0.999739739746811, mv, mv, 0, 0.943339735371802, 0, 0.972486449651818, o4zk42, lv
27, 0, 0.999751666286885, 0, 0.999754495192722, mv, mv, 0, 0.945227209789467, 0, 0.972746584644386, o4zk42, lv
28, 0, 0.999762352049037, 0, 0.999765065510407, mv, mv, 0, 0.946769769986746, 0, 0.972887173178257, o4zk42, lv
29, 0, 0.99974964830721, 0, 0.999752501259455, mv, mv, 0, 0.944951337396272, 0, 0.972717027156473, o4zk42, lv
30, 0, 0.999717431846221, 0, 0.999720776842779, mv, mv, 0, 0.940653629517943, 0, 0.972215093542604, o4zk42, lv
31, 0, 0.999648615503712, 0, 0.999653028447868, mv, mv, 0, 0.931330699603213, 0, 0.971167159128661, o4zk42, lv
32, 0, 0.999629548957784, 0, 0.999634195277638, mv, mv, 0, 0.929118682272366, 0, 0.970760435539024, o4zk42, lv
33, 0, 0.999717150165623, 0, 0.999719857054245, mv, mv, 0, 0.942834880982057, 0, 0.971490880548165, o4zk42, lv
34, 0, 0.999768942244494, 0, 0.999770447694102, mv, mv, 0, 0.950923109054547, 0, 0.971881008091682, o4zk42, lv
35, 0, 0.99985378660907, 0, 0.99985540532353, mv, mv, 0, 0.963788075743432, 0, 0.972819005692467, o4l35, o2zk8
36, 0, 0.99987086559702, 0, 0.999872689475921, mv, mv, 0, 0.966265895498436, 0, 0.974534941347209, o4l35, o3zk19
37, 0, 0.999814833397386, 0, 0.999816044673202, mv, mv, 0, 0.958059159931363, 0, 0.972282995433212, o4zk42, lv
38, 0, 0.99971743956762, 0, 0.999719837259216, mv, mv, 0, 0.943168242606168, 0, 0.971366200009376, o4zk42, lv
39, 0, 0.999612830044914, 0, 0.99961777600987, mv, mv, 0, 0.927466010346491, 0, 0.970333553860972, o4zk34, lv
40, 0, 0.999549178027115, 0, 0.999555501209985, mv, mv, 0, 0.918213602748969, 0, 0.96950912492481, o4zk34, lv
41, 0, 0.999486877733926, 0, 0.999494440861728, mv, mv, 0, 0.909848995200013, 0, 0.968491257023383, o4zk34, lv
42, 0, 0.999427045845159, 0, 0.999435760524715, mv, mv, 0, 0.901595932999582, 0, 0.967576398561252, o4zk34, lv
43, 0, 0.999402085129607, 0, 0.999411200660415, mv, mv, 11, 0.89822592547153, 0, 0.967200655874553, o4zk34, lv
44, 0, 0.999387996494052, 0, 0.999397263189276, mv, mv, 12, 0.896419382806965, 0, 0.966984704869291, o4zk34, lv
45, 0, 0.999402124638685, 0, 0.999411213111108, mv, mv, 11, 0.898197280730297, 0, 0.967214621766183, o4zk34, lv
46, 0, 0.99945060703234, 0, 0.999458800364366, mv, mv, 0, 0.904733065038832, 0, 0.967977449802005, o4zk34, lv
47, 0, 0.999521325190209, 0, 0.999528065174497, mv, mv, 0, 0.91424194557323, 0, 0.969136793710291, o4zk34, lv
48, 0, 0.999604029446019, 0, 0.99960915954765, mv, mv, 0, 0.925207796021286, 0, 0.97050112018941, o4zk42, lv
49, 0, 0.99969127885049, 0, 0.999695043440004, mv, mv, 0, 0.937153572997993, 0, 0.971807685568507, o4zk42, lv
50, 0, 0.999730691193838, 0, 0.999733823277184, mv, mv, 0, 0.942374307103771, 0, 0.972431499289963, o4zk42, lv
51, 0, 0.999751689447437, 0, 0.999754519363318, mv, mv, 0, 0.945230475405642, 0, 0.972746824416098, o4zk42, lv
52, 0, 0.999763633637197, 0, 0.999766342443839, mv, mv, 0, 0.946977482274109, 0, 0.972899020441823, o4zk42, lv
53, 0, 0.999754490868443, 0, 0.999757324774217, mv, mv, 0, 0.945736510538293, 0, 0.972761815988302, o4zk42, lv
54, 0, 0.999699567148814, 0, 0.999702995812905, mv, mv, 0, 0.93775788708467, 0, 0.972049290681961, o4zk42, lv
55, 0, 0.999657356961911, 0, 0.999661717736814, mv, mv, 0, 0.93271749785268, 0, 0.971248831892179, o4zk34, lv
56, 0, 0.999608975618324, 0, 0.999614007908698, mv, mv, 0, 0.925902662420391, 0, 0.970573563113345, o4zk42, lv
57, 0, 0.999654098723225, 0, 0.999658191422768, mv, mv, 0, 0.933094093789618, 0, 0.970927043829334, o4zk42, lv
58, 0, 0.999683097335314, 0, 0.999686628262966, mv, mv, 0, 0.937859585960935, 0, 0.971122002944171, o4zk42, lv
59, 0, 0.999720607193181, 0, 0.99972348483562, mv, mv, 0, 0.943706524274923, 0, 0.971443179554861, o4zk37, lv
60, 0, 0.999684280786666, 0, 0.999687261059691, mv, mv, 0, 0.937784679844542, 0, 0.971124426791448, o4zk42, lv
61, 0, 0.99966461557656, 0, 0.999667977851339, mv, mv, 0, 0.934756399566932, 0, 0.970937135444069, o4zk42, lv
62, 0, 0.999638997251761, 0, 0.999643100106555, mv, mv, 0, 0.931050738160216, 0, 0.970663976167705, o4zk42, lv
63, 0, 0.999604716695652, 0, 0.999609194410391, mv, mv, 0, 0.925907563279329, 0, 0.97024731350789, o4zk42, lv
64, 0, 0.999514218132816, 0, 0.999520833225827, mv, mv, 0, 0.912734593535165, 0, 0.96918160997819, o4zk42, lv
