"Hour", 20kV_Phs_1_Max, 20kV_Phs_2_Max, 20kV_Phs_3_Max, 20kV_Phs_1_Min, 20kV_Phs_2_Min, 20kV_Phs_3_Min, 20kV_Phs_1_Avg, 20kV_Phs_2_Avg, 20kV_Phs_3_Avg, 0.4kV_Phs_1_Max, 0.4kV_Phs_2_Max, 0.4kV_Phs_3_Max, 0.4kV_Phs_1_Min, 0.4kV_Phs_2_Min, 0.4kV_Phs_3_Min, 0.4kV_Phs_1_Avg, 0.4kV_Phs_2_Avg, 0.4kV_Phs_3_Avg
1, 0.999709713950358, 0.999713383937887, 0.999711551337509, 0.999709713950358, 0.999713383937887, 0.999711551337509, 0.999709713950358, 0.999713383937887, 0.999711551337509, 0.971627128753136, 0.971737123445858, 0.971978727740294, 0.940073278518027, 0.942861384425482, 0.944694621071955, 0.956195386846278, 0.957741232432657, 0.95862928813925
2, 0.999742613107281, 0.999745689030277, 0.999744140599363, 0.999742613107281, 0.999745689030277, 0.999744140599363, 0.999742613107281, 0.999745689030277, 0.999744140599363, 0.972235739860139, 0.972331318834002, 0.97254172039517, 0.944335635985537, 0.94679105153192, 0.94839415881182, 0.958463664554935, 0.959830732932379, 0.960615578156725
3, 0.999762133064949, 0.999764919604028, 0.999763509599535, 0.999762133064949, 0.999764919604028, 0.999763509599535, 0.999762133064949, 0.999764919604028, 0.999763509599535, 0.972563773522316, 0.972651120129792, 0.972843371366768, 0.946955543489811, 0.949199952477395, 0.950667541132741, 0.959905507879384, 0.961157819231976, 0.961876934709768
4, 0.99976637117507, 0.999769068376001, 0.999767703114142, 0.99976637117507, 0.999769068376001, 0.999767703114142, 0.99976637117507, 0.999769068376001, 0.999767703114142, 0.972650701493948, 0.97273605005699, 0.972924263779061, 0.947478711005202, 0.949684919828486, 0.951122997427231, 0.960173182655101, 0.961404693607568, 0.962111765764916
5, 0.999758474209017, 0.99976129337719, 0.999759868915115, 0.999758474209017, 0.99976129337719, 0.999759868915115, 0.999758474209017, 0.99976129337719, 0.999759868915115, 0.972514382210743, 0.972603077289183, 0.972798631052713, 0.946430330656012, 0.948719532327964, 0.950212274763002, 0.959600482270037, 0.960877215721131, 0.961610341130167
6, 0.999734209332169, 0.999737482376313, 0.999735831144524, 0.999734209332169, 0.999737482376313, 0.999735831144524, 0.999734209332169, 0.999737482376313, 0.999735831144524, 0.972052262333018, 0.972151860292555, 0.972370544232963, 0.943329771566135, 0.945855421061927, 0.947517549612116, 0.957964489063416, 0.959369287730131, 0.960177474379237
7, 0.999674767670378, 0.999679035342312, 0.999676912595321, 0.999674767670378, 0.999679035342312, 0.999676912595321, 0.999674767670378, 0.999679035342312, 0.999676912595321, 0.971009204240614, 0.971135066020131, 0.971410323072356, 0.935445472298718, 0.938610961254933, 0.940691801807105, 0.953696556863366, 0.95544518406542, 0.956449360937254
8, 0.999650399673896, 0.999654920022, 0.999652619182457, 0.999650399673896, 0.999654920022, 0.999652619182457, 0.999650399673896, 0.999654920022, 0.999652619182457, 0.970527421443688, 0.970655535935628, 0.97095449345386, 0.932439185724234, 0.935828803703272, 0.938074056098071, 0.952020058842894, 0.953871646306812, 0.954962574391927
9, 0.999767327429747, 0.999769023202409, 0.999767442647978, 0.999767327429747, 0.999769023202409, 0.999767442647978, 0.999767327429747, 0.999769023202409, 0.999767442647978, 0.971740433640899, 0.97174297354394, 0.971938066431041, 0.950617420412863, 0.952291309594185, 0.953682039699339, 0.962079851441062, 0.962812657218796, 0.96353214825107
10, 0.999813793941161, 0.999814434920706, 0.999813104074807, 0.999813793941161, 0.999814434920706, 0.999813104074807, 0.999813793941161, 0.999814434920706, 0.999813104074807, 0.97217357733877, 0.972123808811981, 0.972280658958817, 0.957886527093127, 0.958896023341556, 0.959962508402384, 0.966180986719393, 0.966458797792049, 0.967035255352937
11, 1.00001568721276, 1.00001238943892, 1.00001212174739, 1.00001568721276, 1.00001238943892, 1.00001212174739, 1.00001568721276, 1.00001238943892, 1.00001212174739, 0.995597237476513, 0.994087837100272, 0.99349082914635, 0.973365729620295, 0.971296640242047, 0.972520732998865, 0.983516374007382, 0.982002774476258, 0.98198071048594
12, 1.00002853812746, 1.00002505390083, 1.000024847752, 1.00002853812746, 1.00002505390083, 1.000024847752, 1.00002853812746, 1.00002505390083, 1.000024847752, 0.99738039773183, 0.995751581772124, 0.995094334286962, 0.97386082623557, 0.971682335663219, 0.972912720364733, 0.984593943762876, 0.98297887250665, 0.982919836615783
13, 0.999949953681332, 0.999947850060292, 0.99994725971496, 0.999949953681332, 0.999947850060292, 0.99994725971496, 0.999949953681332, 0.999947850060292, 0.99994725971496, 0.986123513165823, 0.98524309563412, 0.984989169366127, 0.970921924984942, 0.969548709446202, 0.970652138871896, 0.977851946079223, 0.976909554007084, 0.977080211393356
14, 0.999764462760935, 0.999766165549661, 0.999764525675403, 0.999764462760935, 0.999766165549661, 0.999764525675403, 0.999764462760935, 0.999766165549661, 0.999764525675403, 0.971593891120668, 0.971591038417725, 0.971789941417573, 0.950546528223554, 0.952193935966664, 0.953603895867119, 0.962088410972438, 0.962790325480082, 0.963518973111862
15, 0.999656500105336, 0.99966066818107, 0.999658335503009, 0.999656500105336, 0.99966066818107, 0.999658335503009, 0.999656500105336, 0.99966066818107, 0.999658335503009, 0.97033369689342, 0.97043463657714, 0.970729591828423, 0.934359876845808, 0.937483193156434, 0.939661714331784, 0.95308979574924, 0.954747414719679, 0.955816428992074
16, 0.999563527422286, 0.999569742054462, 0.999566736555527, 0.999563527422286, 0.999569742054462, 0.999566736555527, 0.999563527422286, 0.999569742054462, 0.999566736555527, 0.969082694504232, 0.969258999723728, 0.969643314146596, 0.920509427049787, 0.924946170619776, 0.927827596753188, 0.945621469259766, 0.948039169813081, 0.949420311976451
