hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -21.1914, -7.4939, -20.7594, -7.36495, -20.7454, -7.35274, -6.44563E-005, 4.40016E-005
2, 0.00000, -18.8605, -6.34831, -18.4971, -6.23805, -18.4858, -6.22869, -4.78464E-005, 3.22201E-005
3, 0.00000, -17.3396, -5.80798, -17.0091, -5.70723, -16.9995, -5.69947, -3.98006E-005, 2.69159E-005
4, 0.00000, -17.0738, -5.62381, -16.7539, -5.52617, -16.7446, -5.51856, -3.78331E-005, 2.54468E-005
5, 0.00000, -17.6744, -5.85802, -17.3405, -5.7563, -17.3306, -5.74809, -4.09729E-005, 2.75586E-005
6, 0.00000, -19.3413, -6.7604, -18.9546, -6.64297, -18.9429, -6.63309, -5.249E-005, 3.57516E-005
7, 0.00000, -23.7848, -8.58477, -23.2852, -8.43541, -23.2673, -8.42023, -8.48493E-005, 5.75773E-005
8, 0.00000, -25.3542, -9.58073, -24.8304, -9.41411, -24.8099, -9.39652, -9.56502E-005, 6.49308E-005
9, 0.00000, -12.9033, -9.74113, -12.7324, -9.57256, -12.7246, -9.56695, -2.38382E-005, 1.58068E-005
10, 0.00000, -7.71736, -10.0092, -7.6847, -9.83624, -7.67887, -9.83278, -1.59326E-005, 6.88306E-006
11, 0.00000, 14.0048, -10.1157, 13.4939, -9.94059, 13.5077, -9.93345, -9.3222E-005, 3.54203E-005
12, 0.00000, 15.3208, -10.044, 14.782, -9.87031, 14.7973, -9.86155, -0.000102031, 4.04155E-005
13, 0.00000, 6.86183, -10.0525, 6.52113, -9.87957, 6.52949, -9.87473, -4.99333E-005, 1.40757E-005
14, 0.00000, -12.6976, -10.255, -12.5287, -10.078, -12.5205, -10.0719, -2.45371E-005, 1.65467E-005
15, 0.00000, -23.5829, -10.7337, -23.1076, -10.5499, -23.0893, -10.5332, -8.21354E-005, 5.85333E-005
16, 0.00000, -32.1796, -11.8633, -31.4651, -11.6566, -31.4319, -11.6276, -0.000168635, 0.000112225
17, 0.00000, -37.5555, -13.8287, -36.7027, -13.5871, -36.6569, -13.5467, -0.000238765, 0.000155948
18, 0.00000, -41.4814, -15.4261, -40.5143, -15.156, -40.458, -15.1057, -0.000303021, 0.000195995
19, 0.00000, -43.0027, -16.0562, -41.9896, -15.7748, -41.9287, -15.7202, -0.000330818, 0.000213143
20, 0.00000, -43.8556, -16.4195, -42.8178, -16.132, -42.7546, -16.0752, -0.00034634, 0.000222874
21, 0.00000, -42.2189, -15.9855, -41.2152, -15.7052, -41.1568, -15.6526, -0.000321655, 0.00020878
22, 0.00000, -38.6358, -14.6028, -37.7331, -14.347, -37.6846, -14.3037, -0.000261867, 0.000171891
23, 0.00000, -33.1504, -12.3645, -32.4032, -12.1484, -32.3678, -12.1174, -0.00018267, 0.000121513
24, 0.00000, -27.2247, -9.71345, -26.6503, -9.54422, -26.6266, -9.52392, -0.000112663, 7.52456E-005
25, 0.00000, -23.6841, -7.51508, -23.242, -7.38462, -23.2237, -7.36943, -7.36703E-005, 4.78388E-005
26, 0.00000, -19.4823, -6.35222, -19.1157, -6.24176, -19.1038, -6.23212, -4.97689E-005, 3.31576E-005
27, 0.00000, -18.4283, -5.81506, -18.0944, -5.71414, -18.0834, -5.70524, -4.2612E-005, 2.81354E-005
28, 0.00000, -17.4924, -5.62613, -17.1711, -5.52846, -17.1613, -5.52052, -3.8884E-005, 2.59219E-005
29, 0.00000, -18.5925, -5.86348, -18.256, -5.76185, -18.2448, -5.75265, -4.33096E-005, 2.85752E-005
30, 0.00000, -21.0822, -6.77224, -20.6899, -6.65488, -20.6756, -6.6429, -5.77642E-005, 3.80253E-005
31, 0.00000, -26.4835, -8.6074, -25.9724, -8.45801, -25.9495, -8.43876, -9.62309E-005, 6.24058E-005
32, 0.00000, -27.5029, -9.59956, -26.9688, -9.43293, -26.9441, -9.41202, -0.000105504, 6.90515E-005
33, 0.00000, -18.1668, -9.76433, -17.869, -9.59516, -17.8568, -9.58553, -4.31397E-005, 2.9887E-005
34, 0.00000, -12.426, -10.0218, -12.3072, -9.84842, -12.2991, -9.84294, -2.20332E-005, 1.16005E-005
35, 0.00000, -3.21719, -10.0754, -3.35256, -9.90125, -3.3472, -9.89886, -2.13834E-005, 1.40153E-006
36, 0.00000, -1.45515, -9.9961, -1.63004, -9.82375, -1.62464, -9.82103, -2.43864E-005, 1.99982E-006
37, 0.00000, -7.45386, -10.0441, -7.4801, -9.8713, -7.47403, -9.86721, -1.72195E-005, 3.00183E-006
38, 0.00000, -17.6247, -10.2766, -17.3702, -10.099, -17.3578, -10.0894, -3.91498E-005, 2.56594E-005
39, 0.00000, -28.1046, -10.7697, -27.5386, -10.5846, -27.5129, -10.5621, -0.00011525, 7.75429E-005
40, 0.00000, -33.6474, -11.8795, -32.9242, -11.6725, -32.8875, -11.6407, -0.000178351, 0.00011627
41, 0.00000, -38.1988, -13.8368, -37.3415, -13.5951, -37.2939, -13.5532, -0.000244107, 0.000158136
42, 0.00000, -42.8105, -15.4444, -41.8328, -15.1742, -41.7723, -15.1204, -0.000316137, 0.000201336
43, 0.00000, -44.7591, -16.0781, -43.7416, -15.7999, -43.6744, -15.7409, -0.000344812, 0.000218415
44, 0.00000, -45.8476, -16.4415, -44.8163, -16.1618, -44.7448, -16.1004, -0.000357596, 0.000226505
45, 0.00000, -44.8113, -16.0188, -43.7972, -15.7419, -43.7297, -15.6827, -0.000343884, 0.000217374
46, 0.00000, -41.1644, -14.6359, -40.2428, -14.3799, -40.1868, -14.3303, -0.000284728, 0.000181241
47, 0.00000, -36.0268, -12.3972, -35.2612, -12.181, -35.2184, -12.1439, -0.000203067, 0.000129999
48, 0.00000, -30.0232, -9.74011, -29.4337, -9.5707, -29.4042, -9.54578, -0.000127159, 8.14272E-005
49, 0.00000, -23.0994, -7.51028, -22.6595, -7.37979, -22.6424, -7.36557, -7.15407E-005, 4.69694E-005
50, 0.00000, -20.099, -6.35647, -19.7306, -6.24601, -19.7175, -6.23546, -5.15623E-005, 3.38706E-005
51, 0.00000, -18.426, -5.81503, -18.0919, -5.71407, -18.0809, -5.70524, -4.26392E-005, 2.81574E-005
52, 0.00000, -17.359, -5.62534, -17.0381, -5.52766, -17.0285, -5.51986, -3.85644E-005, 2.57841E-005
53, 0.00000, -18.0889, -5.86035, -17.7539, -5.7587, -17.7435, -5.75006, -4.20132E-005, 2.80152E-005
54, 0.00000, -22.9318, -6.78621, -22.533, -6.66905, -22.5157, -6.65443, -6.36234E-005, 4.04772E-005
55, 0.00000, -25.585, -8.59507, -25.0779, -8.44801, -25.0569, -8.42977, -9.18451E-005, 6.08396E-005
56, 0.00000, -29.6262, -9.61848, -29.0478, -9.45189, -29.0193, -9.42728, -0.000122724, 7.87703E-005
57, 0.00000, -24.7373, -9.80685, -24.2698, -9.63613, -24.2494, -9.61948, -8.4182E-005, 5.65516E-005
58, 0.00000, -21.451, -10.0648, -21.0515, -9.8899, -21.0357, -9.87712, -6.40302E-005, 4.49018E-005
59, 0.00000, -17.469, -10.1126, -17.1489, -9.93694, -17.1375, -9.92812, -4.42626E-005, 3.28527E-005
60, 0.00000, -21.3184, -10.057, -20.9924, -9.88344, -20.9759, -9.86987, -5.44296E-005, 3.51017E-005
61, 0.00000, -23.3217, -10.1142, -22.9497, -9.9394, -22.9305, -9.92365, -6.58313E-005, 4.24163E-005
62, 0.00000, -25.7959, -10.3296, -25.3329, -10.1507, -25.3104, -10.1319, -8.76707E-005, 5.78595E-005
63, 0.00000, -28.9183, -10.7839, -28.4175, -10.5975, -28.3888, -10.5734, -0.000106376, 6.75453E-005
64, 0.00000, -37.2124, -11.9225, -36.4659, -11.7154, -36.4194, -11.6755, -0.000203508, 0.000126478
65, 0.00000, -42.3821, -13.894, -41.4921, -13.6517, -41.4317, -13.599, -0.000281368, 0.000173194
66, 0.00000, -46.535, -15.4918, -45.5528, -15.2299, -45.4782, -15.1665, -0.000343107, 0.000210878
67, 0.00000, -47.799, -16.1104, -46.802, -15.8473, -46.7213, -15.7815, -0.000357005, 0.000221157
68, 0.00000, -49.6369, -16.4773, -48.636, -16.2163, -48.5657, -16.1536, -0.000363019, 0.000229952
69, 0.00000, -47.5393, -16.0483, -46.5428, -15.7845, -46.4634, -15.7193, -0.000355074, 0.000220028
70, 0.00000, -45.6325, -14.6978, -44.6891, -14.4466, -44.6166, -14.3845, -0.000322476, 0.000195387
71, 0.00000, -38.4079, -12.4274, -37.624, -12.2107, -37.5746, -12.1682, -0.000221776, 0.000137718
72, 0.00000, -29.9936, -9.73985, -29.4039, -9.57036, -29.3745, -9.54557, -0.000127075, 8.14248E-005
73, 0.00000, -25.3886, -8.06371, -24.909, -7.92333, -24.8877, -7.90607, -8.6237E-005, 5.567E-005
74, 0.00000, -20.8358, -6.79016, -20.4412, -6.6719, -20.4271, -6.66074, -5.76134E-005, 3.81224E-005
