hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 193.626, -113.397, -195.057, -110.968, 1.38813, 224.465, -0.00400038, 0.0382929, -64.6163, 76.5455, 96.6327, 17.2164, -33.3271, -92.2156, 1.31062, -1.54633
2, 0.00000, 193.823, -113.339, -195.101, -111.168, 1.24099, 224.595, -0.00371601, 0.0335852, -58.2405, 66.8097, 85.3239, 16.644, -28.1868, -82.1513, 1.10347, -1.30253
3, 0.00000, 193.939, -113.289, -195.113, -111.296, 1.1399, 224.666, -0.00342776, 0.0307679, -53.6176, 61.268, 78.3631, 15.4487, -25.7519, -75.5353, 1.00643, -1.18145
4, 0.00000, 193.965, -113.286, -195.123, -111.319, 1.12441, 224.684, -0.00342243, 0.0301655, -53.0088, 59.9539, 76.9691, 15.5902, -24.9337, -74.4004, 0.973338, -1.14375
5, 0.00000, 193.917, -113.304, -195.116, -111.269, 1.16384, 224.655, -0.00352384, 0.0312995, -54.7884, 62.2212, 79.7587, 15.982, -25.9852, -77.0084, 1.015, -1.19479
6, 0.00000, 193.772, -113.341, -195.079, -111.124, 1.26715, 224.556, -0.00366401, 0.0347745, -59.1655, 69.4953, 88.0052, 16.0783, -30.0138, -84.1879, 1.1741, -1.38573
7, 0.00000, 193.417, -113.471, -195.022, -110.748, 1.55618, 224.332, -0.00440537, 0.0434177, -72.1127, 86.6911, 108.856, 18.5628, -38.2523, -103.453, 1.50888, -1.80116
8, 0.00000, 193.272, -113.498, -194.975, -110.607, 1.65313, 224.226, -0.00364831, 0.0464246, -75.8994, 94.1425, 117.068, 18.1276, -42.7198, -110.332, 1.55097, -1.93845
9, 0.00000, 193.986, -112.832, -194.725, -111.553, 0.746967, 224.458, 0.0089595, 0.024342, -27.8775, 66.4306, 70.4336, -8.80975, -42.8106, -56.5479, 0.254442, -1.07295
10, 0.00000, 194.27, -112.542, -194.603, -111.942, 0.364781, 224.538, 0.0145157, 0.0155329, -7.39595, 55.8064, 51.5176, -20.9105, -43.8465, -34.1273, -0.275142, -0.768605
11, 0.00000, 195.501, -111.375, -194.156, -113.586, -1.2208, 224.938, 0.0358385, -0.0204162, 76.3379, 8.25386, -29.4635, -68.436, -44.4854, 59.8095, -2.38893, 0.372574
12, 0.00000, 195.579, -111.308, -194.134, -113.687, -1.31588, 224.967, 0.036924, -0.02252, 81.2474, 5.11577, -34.5281, -71.0629, -44.2187, 65.5165, -2.50066, 0.430595
13, 0.00000, 195.1, -111.762, -194.307, -113.047, -0.697927, 224.811, 0.0288688, -0.00890904, 48.7041, 23.6248, -2.9731, -52.5748, -44.0144, 28.9078, -1.71664, 0.0421912
