hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0
8, 0.00000, -0.0280202, -1.44444E-007, -9.48785E-010, -1.03976E-009
9, 0.00000, -0.287765, -8.65283E-007, -4.47259E-009, -1.53573E-008
10, 0.00000, -0.404019, -1.72633E-006, -4.00925E-009, -2.30006E-008
11, 0.00000, -0.856261, -1.37063E-005, 1.56251E-008, -6.69262E-008
12, 0.00000, -0.877707, -1.54662E-005, 1.67124E-008, -6.78487E-008
13, 0.00000, -0.706313, 4.37573E-006, 6.76228E-009, -5.13462E-008
14, 0.00000, -0.310556, 3.89265E-007, -6.05209E-009, -1.4589E-008
15, 0.00000, -0.110893, 3.67354E-006, -4.26627E-009, -3.24172E-009
16, 0.00000, 0, 0, 0, 0
17, 0.00000, 0, 0, 0, 0
18, 0.00000, 0, 0, 0, 0
19, 0.00000, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0
25, 0.00000, 0, 0, 0, 0
26, 0.00000, 0, 0, 0, 0
27, 0.00000, 0, 0, 0, 0
28, 0.00000, 0, 0, 0, 0
29, 0.00000, 0, 0, 0, 0
30, 0.00000, 0, 0, 0, 0
31, 0.00000, 0, 0, 0, 0
32, 0.00000, -0.0276448, 7.66811E-008, -5.27197E-010, -2.15768E-009
33, 0.00000, -0.196791, -2.19091E-007, -3.38969E-009, -1.21197E-008
34, 0.00000, -0.341042, -2.40091E-006, -1.13856E-009, -2.83979E-008
35, 0.00000, -0.539694, -5.53685E-006, 6.56065E-009, -5.4012E-008
36, 0.00000, -0.567197, -1.06527E-006, 7.14758E-009, -5.51185E-008
37, 0.00000, -0.451646, 3.27707E-006, 2.88357E-009, -4.34091E-008
38, 0.00000, -0.251652, 3.15743E-007, -2.53014E-009, -2.0392E-008
39, 0.00000, -0.0547695, 1.63811E-006, -1.70972E-009, -3.16395E-009
40, 0.00000, 0, 0, 0, 0
41, 0.00000, 0, 0, 0, 0
42, 0.00000, 0, 0, 0, 0
43, 0.00000, 0, 0, 0, 0
44, 0.00000, 0, 0, 0, 0
45, 0.00000, 0, 0, 0, 0
46, 0.00000, 0, 0, 0, 0
47, 0.00000, 0, 0, 0, 0
48, 0.00000, 0, 0, 0, 0
49, 0.00000, 0, 0, 0, 0
50, 0.00000, 0, 0, 0, 0
51, 0.00000, 0, 0, 0, 0
52, 0.00000, 0, 0, 0, 0
53, 0.00000, 0, 0, 0, 0
54, 0.00000, 0, 0, 0, 0
55, 0.00000, 0, 0, 0, 0
56, 0.00000, 0, 0, 0, 0
57, 0.00000, -0.0818582, -9.1381E-007, -1.65703E-009, -5.69512E-009
58, 0.00000, -0.137146, -9.89889E-007, -3.59708E-009, -6.76464E-009
59, 0.00000, -0.193225, -1.58213E-006, -6.10472E-009, -5.30332E-009
