hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 0.307412, 0.101016, -2.01526E-008, -2.01614E-008
2, 0.00000, 0.260488, 0.0856186, -1.66538E-008, -1.96097E-008
3, 0.00000, 0.238511, 0.0783841, -1.39041E-008, -1.6752E-008
4, 0.00000, 0.230917, 0.0758997, -1.36065E-008, -1.70063E-008
5, 0.00000, 0.240472, 0.0790429, -1.46231E-008, -1.79305E-008
6, 0.00000, 0.277439, 0.0911917, -1.74196E-008, -1.79214E-008
7, 0.00000, 0.351682, 0.115591, -2.64133E-008, -2.37336E-008
8, 0.00000, 0.392356, 0.128969, -3.26869E-008, -2.82674E-008
9, 0.00000, 0.401831, 0.132078, -2.23928E-008, -4.37863E-010
10, 0.00000, 0.413463, 0.135904, -1.87896E-008, 1.23237E-008
11, 0.00000, 0.416373, 0.136877, -3.18512E-009, 5.0836E-008
12, 0.00000, 0.413131, 0.135804, -2.29713E-009, 5.29031E-008
13, 0.00000, 0.414912, 0.136367, -8.27606E-009, 3.93182E-008
14, 0.00000, 0.423087, 0.13906, -2.32887E-008, 4.9254E-009
15, 0.00000, 0.440766, 0.144802, -3.23522E-008, -1.54431E-008
16, 0.00000, 0.484257, 0.159158, -4.91886E-008, -3.91395E-008
17, 0.00000, 0.563038, 0.185057, -6.8494E-008, -5.49825E-008
18, 0.00000, 0.627018, 0.206087, -8.44906E-008, -6.31722E-008
19, 0.00000, 0.652199, 0.214366, -9.12039E-008, -6.60265E-008
20, 0.00000, 0.666738, 0.219158, -9.51789E-008, -6.73389E-008
21, 0.00000, 0.649706, 0.213551, -8.72768E-008, -5.60333E-008
22, 0.00000, 0.594464, 0.195394, -7.22406E-008, -4.73073E-008
23, 0.00000, 0.504511, 0.165828, -5.25015E-008, -3.84417E-008
24, 0.00000, 0.397206, 0.130557, -3.52443E-008, -3.3555E-008
25, 0.00000, 0.307394, 0.101036, -2.67954E-008, -3.7209E-008
26, 0.00000, 0.260489, 0.0856233, -1.76292E-008, -2.33784E-008
27, 0.00000, 0.23851, 0.0783952, -1.59385E-008, -2.2196E-008
28, 0.00000, 0.230919, 0.0759005, -1.42945E-008, -1.90728E-008
29, 0.00000, 0.240471, 0.0790376, -1.62658E-008, -2.2523E-008
30, 0.00000, 0.277435, 0.0911852, -2.10782E-008, -2.8074E-008
31, 0.00000, 0.35168, 0.11559, -3.38262E-008, -4.43985E-008
32, 0.00000, 0.392357, 0.12896, -3.90571E-008, -4.66977E-008
33, 0.00000, 0.401828, 0.132076, -2.84163E-008, -1.59092E-008
34, 0.00000, 0.413466, 0.135907, -2.58101E-008, -6.89839E-009
35, 0.00000, 0.416386, 0.136871, -1.9088E-008, 1.01432E-008
36, 0.00000, 0.413121, 0.135789, -1.72044E-008, 1.47165E-008
37, 0.00000, 0.414906, 0.136365, -2.27032E-008, 2.02457E-009
38, 0.00000, 0.423087, 0.139061, -3.18393E-008, -1.84454E-008
39, 0.00000, 0.440752, 0.144802, -4.15584E-008, -3.93766E-008
40, 0.00000, 0.484253, 0.159162, -5.49533E-008, -5.54067E-008
41, 0.00000, 0.563035, 0.185059, -7.14995E-008, -6.34936E-008
42, 0.00000, 0.627016, 0.206086, -9.1335E-008, -8.31584E-008
43, 0.00000, 0.652199, 0.214365, -1.00737E-007, -9.39584E-008
44, 0.00000, 0.666761, 0.219152, -1.06218E-007, -1.00026E-007
45, 0.00000, 0.649707, 0.213549, -1.01184E-007, -9.68203E-008
46, 0.00000, 0.594466, 0.195394, -8.44313E-008, -8.27938E-008
47, 0.00000, 0.504513, 0.165827, -6.40213E-008, -7.18525E-008
48, 0.00000, 0.397208, 0.130558, -4.38502E-008, -5.87806E-008
49, 0.00000, 0.307392, 0.101036, -2.53324E-008, -3.33698E-008
50, 0.00000, 0.260493, 0.0856236, -1.90277E-008, -2.66486E-008
51, 0.00000, 0.238511, 0.0783967, -1.59136E-008, -2.2239E-008
52, 0.00000, 0.230919, 0.0759009, -1.40598E-008, -1.84407E-008
53, 0.00000, 0.240472, 0.0790385, -1.53434E-008, -1.99962E-008
54, 0.00000, 0.277428, 0.0911777, -2.51455E-008, -3.9047E-008
55, 0.00000, 0.35172, 0.115547, -2.99082E-008, -3.65251E-008
56, 0.00000, 0.392343, 0.128946, -4.28325E-008, -5.61282E-008
57, 0.00000, 0.401843, 0.13209, -3.60016E-008, -3.66075E-008
58, 0.00000, 0.413468, 0.135908, -3.15395E-008, -2.02859E-008
59, 0.00000, 0.416389, 0.136869, -2.53699E-008, -2.64898E-009
60, 0.00000, 0.413105, 0.135771, -3.73892E-008, -3.61261E-008
61, 0.00000, 0.414906, 0.136369, -4.04967E-008, -4.46294E-008
62, 0.00000, 0.423081, 0.139056, -4.21073E-008, -4.53903E-008
63, 0.00000, 0.440698, 0.144842, -5.24736E-008, -6.80222E-008
64, 0.00000, 0.48425, 0.159162, -6.93377E-008, -9.63227E-008
65, 0.00000, 0.563032, 0.185062, -9.1325E-008, -1.21325E-007
66, 0.00000, 0.62701, 0.206086, -1.11502E-007, -1.42547E-007
67, 0.00000, 0.652197, 0.214367, -1.18049E-007, -1.45194E-007
68, 0.00000, 0.666758, 0.21915, -1.28537E-007, -1.66829E-007
69, 0.00000, 0.64971, 0.213552, -1.16655E-007, -1.4259E-007
70, 0.00000, 0.594519, 0.195414, -1.07461E-007, -1.49877E-007
71, 0.00000, 0.504515, 0.165831, -7.38186E-008, -1.01557E-007
72, 0.00000, 0.397209, 0.130559, -4.36877E-008, -5.86287E-008
73, 0.00000, 0.329544, 0.108324, -3.08684E-008, -4.35267E-008
74, 0.00000, 0.278255, 0.0914654, -2.04065E-008, -2.69644E-008
75, 0.00000, 0.250448, 0.08232, -1.75862E-008, -2.4508E-008
76, 0.00000, 0.237672, 0.0781212, -1.46984E-008, -1.90139E-008
77, 0.00000, 0.237558, 0.078081, -1.47788E-008, -1.90457E-008
78, 0.00000, 0.250076, 0.082195, -1.63941E-008, -2.1004E-008
