hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.424601, -0.171973, -0.424597, -0.172133, -0.424636, -0.172093, -7.38811E-010, -4.4127E-011
2, 0.00000, -0.41116, -0.145952, -0.41116, -0.145951, -0.411159, -0.145949, -7.39574E-010, -7.57686E-011
3, 0.00000, -0.381595, -0.133564, -0.381587, -0.133575, -0.381591, -0.133589, -6.33724E-010, -6.56069E-011
4, 0.00000, -0.385319, -0.129388, -0.385318, -0.129385, -0.385317, -0.129386, -6.55915E-010, -7.1497E-011
5, 0.00000, -0.394965, -0.134757, -0.394967, -0.134754, -0.394966, -0.134748, -6.87289E-010, -7.30324E-011
6, 0.00000, -0.396746, -0.15545, -0.39675, -0.155457, -0.396749, -0.155445, -6.61742E-010, -4.41886E-011
7, 0.00000, -0.457679, -0.197034, -0.457677, -0.19704, -0.457678, -0.197041, -8.75085E-010, -4.10635E-011
8, 0.00000, -0.482058, -0.219861, -0.48206, -0.219863, -0.482059, -0.219848, -1.01663E-009, -5.56583E-011
9, 0.00000, -0.139988, -0.225146, -0.139952, -0.225136, -0.139964, -0.225157, -2.59047E-010, 2.6852E-011
10, 0.00000, 0.0145947, -0.23166, 0.0146182, -0.23165, 0.0146164, -0.231666, -2.21135E-010, 2.35479E-011
11, 0.00000, 0.627626, -0.233239, 0.627666, -0.233212, 0.627659, -0.233281, -1.44888E-009, -6.88485E-011
12, 0.00000, 0.665994, -0.231454, 0.666017, -0.231437, 0.666023, -0.231456, -1.60121E-009, -7.73874E-011
13, 0.00000, 0.421471, -0.232506, 0.421461, -0.232517, 0.421467, -0.232489, -8.20718E-010, -5.96454E-011
14, 0.00000, -0.108641, -0.237052, -0.108656, -0.237057, -0.108651, -0.237047, -2.51582E-010, 5.26906E-011
15, 0.00000, -0.38401, -0.246423, -0.384016, -0.246751, -0.3841, -0.246617, -6.48921E-010, 6.91537E-011
16, 0.00000, -0.585657, -0.271264, -0.585653, -0.271301, -0.585657, -0.271289, -1.47531E-009, -6.14127E-011
17, 0.00000, -0.678332, -0.315446, -0.678326, -0.31546, -0.678326, -0.315457, -2.06718E-009, -1.41885E-010
18, 0.00000, -0.728737, -0.351309, -0.72873, -0.351315, -0.728729, -0.351315, -2.42798E-009, -1.50221E-010
19, 0.00000, -0.746883, -0.36543, -0.746876, -0.365432, -0.746874, -0.36543, -2.56783E-009, -1.47819E-010
20, 0.00000, -0.75609, -0.373612, -0.756084, -0.373607, -0.756081, -0.373604, -2.64228E-009, -1.41651E-010
21, 0.00000, -0.712545, -0.364055, -0.71254, -0.364046, -0.712537, -0.364046, -2.28736E-009, -3.3161E-011
22, 0.00000, -0.659386, -0.333102, -0.659381, -0.333093, -0.659379, -0.333092, -1.9107E-009, -1.17371E-011
23, 0.00000, -0.588215, -0.282701, -0.588213, -0.282691, -0.58821, -0.28269, -1.48502E-009, -3.02169E-011
24, 0.00000, -0.531884, -0.22257, -0.531882, -0.222562, -0.53188, -0.222561, -1.22957E-009, -9.79688E-011
25, 0.00000, -0.557373, -0.172234, -0.557368, -0.172233, -0.557366, -0.172232, -1.48629E-009, -2.42999E-010
26, 0.00000, -0.444533, -0.145938, -0.444437, -0.145928, -0.444463, -0.145967, -9.04213E-010, -1.30793E-010
27, 0.00000, -0.440097, -0.133633, -0.440086, -0.13363, -0.440085, -0.133634, -8.98692E-010, -1.25425E-010
28, 0.00000, -0.407847, -0.129378, -0.407831, -0.129375, -0.407831, -0.129381, -7.54607E-010, -9.60361E-011
29, 0.00000, -0.444238, -0.134737, -0.444255, -0.13474, -0.444255, -0.134733, -9.13708E-010, -1.23453E-010
30, 0.00000, -0.489842, -0.155449, -0.489875, -0.155456, -0.489877, -0.155443, -1.11021E-009, -1.52454E-010
31, 0.00000, -0.600735, -0.197046, -0.600759, -0.19705, -0.600754, -0.197041, -1.71882E-009, -2.78977E-010
32, 0.00000, -0.595163, -0.219834, -0.595175, -0.21984, -0.595181, -0.219835, -1.69606E-009, -2.6373E-010
33, 0.00000, -0.302266, -0.225142, -0.302247, -0.225138, -0.302253, -0.225146, -5.34953E-010, -1.97331E-011
34, 0.00000, -0.15798, -0.231658, -0.157938, -0.231643, -0.157941, -0.231666, -3.1784E-010, -3.16377E-011
35, 0.00000, 0.0867187, -0.233286, 0.0867693, -0.233264, 0.0867642, -0.233304, -2.20541E-010, -5.98215E-011
36, 0.00000, 0.139489, -0.231473, 0.139502, -0.231468, 0.139502, -0.231476, -2.53701E-010, -5.98054E-011
37, 0.00000, -0.0317, -0.232479, -0.0317354, -0.232495, -0.0317318, -0.232468, -2.19917E-010, -4.38962E-011
38, 0.00000, -0.296135, -0.237052, -0.296152, -0.237056, -0.296147, -0.237047, -5.74687E-010, -4.84729E-011
39, 0.00000, -0.548475, -0.246499, -0.548477, -0.24675, -0.548506, -0.246652, -1.36698E-009, -1.28565E-010
40, 0.00000, -0.662402, -0.2713, -0.662398, -0.271315, -0.662397, -0.27131, -2.01574E-009, -2.52405E-010
41, 0.00000, -0.711652, -0.315464, -0.711647, -0.315467, -0.711645, -0.315467, -2.33394E-009, -2.45746E-010
42, 0.00000, -0.797003, -0.351302, -0.796996, -0.351311, -0.796994, -0.35131, -3.03992E-009, -4.07419E-010
43, 0.00000, -0.837283, -0.365425, -0.837275, -0.365428, -0.837273, -0.365426, -3.42009E-009, -5.163E-010
44, 0.00000, -0.858896, -0.373589, -0.858889, -0.373591, -0.858887, -0.373589, -3.63463E-009, -5.7835E-010
45, 0.00000, -0.845875, -0.364043, -0.845869, -0.364041, -0.845867, -0.364039, -3.51247E-009, -5.61371E-010
46, 0.00000, -0.789826, -0.333099, -0.789821, -0.333094, -0.789819, -0.333091, -3.0022E-009, -4.5375E-010
47, 0.00000, -0.738047, -0.282691, -0.738043, -0.282688, -0.738042, -0.282685, -2.62192E-009, -4.42868E-010
48, 0.00000, -0.679198, -0.222557, -0.679165, -0.222551, -0.679167, -0.22256, -2.26533E-009, -4.28804E-010
49, 0.00000, -0.526337, -0.172229, -0.526307, -0.172224, -0.526313, -0.172235, -1.29406E-009, -1.96477E-010
50, 0.00000, -0.477493, -0.145947, -0.477451, -0.145937, -0.477447, -0.145953, -1.07206E-009, -1.6373E-010
51, 0.00000, -0.439981, -0.133631, -0.439956, -0.133626, -0.439955, -0.133635, -8.99681E-010, -1.27947E-010
52, 0.00000, -0.400677, -0.129377, -0.400658, -0.129374, -0.400659, -0.129381, -7.23073E-010, -8.93635E-011
53, 0.00000, -0.417225, -0.134736, -0.417234, -0.134738, -0.417235, -0.134733, -7.8499E-010, -9.51994E-011
54, 0.00000, -0.588253, -0.15545, -0.588354, -0.155468, -0.588354, -0.155435, -1.72427E-009, -2.91521E-010
55, 0.00000, -0.553234, -0.19657, -0.553235, -0.196844, -0.55327, -0.196762, -1.36569E-009, -1.81696E-010
56, 0.00000, -0.669834, -0.219826, -0.669938, -0.219852, -0.669946, -0.219819, -2.1722E-009, -3.70583E-010
57, 0.00000, -0.499041, -0.225152, -0.498947, -0.225128, -0.498948, -0.225161, -1.21705E-009, -1.66654E-010
58, 0.00000, -0.370523, -0.231661, -0.370464, -0.231645, -0.370467, -0.23167, -6.96914E-010, -2.13965E-011
59, 0.00000, -0.225117, -0.233293, -0.225059, -0.233275, -0.225062, -0.233305, -3.43387E-010, 7.39623E-011
60, 0.00000, -0.439377, -0.231456, -0.439467, -0.231482, -0.439465, -0.231446, -1.07302E-009, -1.62865E-010
61, 0.00000, -0.504246, -0.232468, -0.504282, -0.232478, -0.504282, -0.232464, -1.38445E-009, -2.45336E-010
62, 0.00000, -0.541512, -0.23705, -0.541544, -0.237059, -0.541545, -0.237048, -1.49276E-009, -2.3082E-010
63, 0.00000, -0.66431, -0.246911, -0.664389, -0.246932, -0.664392, -0.246909, -2.36252E-009, -4.83974E-010
64, 0.00000, -0.84739, -0.271322, -0.847435, -0.271332, -0.847427, -0.27132, -3.73659E-009, -8.58057E-010
65, 0.00000, -0.926758, -0.315493, -0.926756, -0.315475, -0.926756, -0.315488, -4.5521E-009, -1.13211E-009
66, 0.00000, -0.988249, -0.351313, -0.988245, -0.351312, -0.988244, -0.351315, -5.24622E-009, -1.36077E-009
67, 0.00000, -0.994086, -0.365435, -0.994079, -0.365433, -0.994077, -0.365432, -5.28775E-009, -1.34528E-009
68, 0.00000, -1.05492, -0.373579, -1.05491, -0.373585, -1.05491, -0.373582, -6.12965E-009, -1.71631E-009
69, 0.00000, -0.986546, -0.364056, -0.986538, -0.36405, -0.986536, -0.364048, -5.1901E-009, -1.30392E-009
70, 0.00000, -1.01873, -0.333121, -1.01877, -0.333133, -1.01876, -0.333114, -5.70972E-009, -1.5782E-009
71, 0.00000, -0.861162, -0.282691, -0.861087, -0.282675, -0.861092, -0.282693, -3.87893E-009, -9.31624E-010
72, 0.00000, -0.67765, -0.222558, -0.677595, -0.222548, -0.677602, -0.222564, -2.25557E-009, -4.30806E-010
73, 0.00000, -0.595306, -0.18464, -0.595221, -0.18462, -0.595211, -0.184647, -1.72756E-009, -3.16856E-010
74, 0.00000, -0.4748, -0.155894, -0.474716, -0.155875, -0.474711, -0.155908, -1.04258E-009, -1.56114E-010
75, 0.00000, -0.46032, -0.140321, -0.460302, -0.140317, -0.4603, -0.140324, -9.89075E-010, -1.43433E-010
76, 0.00000, -0.405591, -0.133159, -0.405564, -0.133154, -0.405564, -0.133165, -7.39054E-010, -9.1326E-011
77, 0.00000, -0.407152, -0.133102, -0.407153, -0.133103, -0.407154, -0.133102, -7.43138E-010, -8.81041E-011
78, 0.00000, -0.426371, -0.140117, -0.426383, -0.14012, -0.426383, -0.140115, -8.17514E-010, -9.80793E-011
79, 0.00000, -0.478096, -0.156323, -0.47813, -0.156331, -0.478132, -0.156317, -1.04415E-009, -1.35145E-010
80, 0.00000, -0.496768, -0.186974, -0.496796, -0.186984, -0.496803, -0.186973, -1.14089E-009, -1.42744E-010
81, 0.00000, -0.233224, -0.235539, -0.233159, -0.235521, -0.233169, -0.235554, -3.60049E-010, 7.21568E-011
82, 0.00000, -0.317343, -0.280658, -0.317367, -0.280674, -0.317374, -0.280665, -7.47072E-010, -8.92968E-011
83, 0.00000, -0.1025, -0.304567, -0.102458, -0.304545, -0.102459, -0.304567, -4.29163E-010, -6.95836E-011
84, 0.00000, -0.148392, -0.313638, -0.1484, -0.313646, -0.148401, -0.31364, -5.08402E-010, -8.99072E-011
85, 0.00000, -0.293729, -0.317853, -0.293768, -0.317873, -0.29377, -0.317858, -8.11554E-010, -1.34464E-010
86, 0.00000, -0.584178, -0.323978, -0.584202, -0.323987, -0.584199, -0.323981, -1.98601E-009, -3.62866E-010
87, 0.00000, -0.815678, -0.33007, -0.815676, -0.330055, -0.815674, -0.330067, -3.44798E-009, -7.08481E-010
88, 0.00000, -0.850742, -0.336565, -0.850736, -0.336568, -0.850735, -0.336567, -3.61448E-009, -6.96019E-010
89, 0.00000, -0.832067, -0.353472, -0.832061, -0.353469, -0.832059, -0.353469, -3.38717E-009, -5.46298E-010
90, 0.00000, -0.786553, -0.362736, -0.786542, -0.36277, -0.786538, -0.362759, -2.91739E-009, -3.1018E-010
91, 0.00000, -0.766234, -0.360919, -0.766226, -0.36093, -0.766223, -0.360921, -2.73822E-009, -2.39812E-010
92, 0.00000, -0.810115, -0.359669, -0.810113, -0.35964, -0.810113, -0.35965, -3.16493E-009, -4.28435E-010
93, 0.00000, -0.842321, -0.345927, -0.842314, -0.34593, -0.842312, -0.345927, -3.5057E-009, -6.21614E-010
94, 0.00000, -0.839885, -0.31927, -0.83988, -0.319272, -0.839878, -0.319268, -3.53528E-009, -7.08882E-010
95, 0.00000, -0.856926, -0.280926, -0.856908, -0.280922, -0.856904, -0.280925, -3.82625E-009, -8.98037E-010
96, 0.00000, -0.745559, -0.234068, -0.745516, -0.23406, -0.74552, -0.234071, -2.8211E-009, -5.99298E-010
