hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 189.743, -109.969, -190.568, -109.408, 0.429596, 219.995, 0.000177011, -0.00123368, -0.885618, 1.20484, 1.48375, 0.162465, -0.599681, -1.36514, 0.00155341, -0.0021669
2, 0.00000, 190.164, -110.295, -191.019, -109.61, 0.483394, 220.463, 0.000227338, -0.00121453, -0.94997, 1.13683, 1.45703, 0.252843, -0.508357, -1.38702, 0.00129636, -0.00264876
3, 0.00000, 190.558, -110.494, -191.355, -109.847, 0.454038, 220.853, 0.000217262, -0.00111509, -0.888496, 1.05014, 1.35158, 0.243089, -0.46433, -1.29103, 0.00124855, -0.00220495
4, 0.00000, 190.575, -110.535, -191.395, -109.843, 0.476675, 220.885, 0.000232372, -0.0011286, -0.9221, 1.05307, 1.37092, 0.27076, -0.449974, -1.32156, 0.0011569, -0.00227324
5, 0.00000, 190.431, -110.455, -191.267, -109.76, 0.481912, 220.739, 0.000231521, -0.00116033, -0.936177, 1.08317, 1.40391, 0.267845, -0.468906, -1.34861, 0.00117042, -0.00240143
6, 0.00000, 190.177, -110.214, -190.959, -109.656, 0.417797, 220.437, 0.000170009, -0.00116886, -0.850279, 1.11668, 1.38986, 0.176697, -0.540699, -1.29087, 0.00111883, -0.0025111
7, 0.00000, 189.169, -109.614, -190.029, -109.091, 0.424393, 219.4, 0.000154597, -0.00138008, -0.904681, 1.31923, 1.59142, 0.122128, -0.688283, -1.43778, 0.00154237, -0.00358454
8, 0.00000, 188.807, -109.294, -189.612, -108.934, 0.346919, 218.982, 0.000137415, -0.00148742, -0.925141, 1.42438, 1.69223, 0.087093, -0.768705, -1.50735, 0.00162026, -0.00412116
9, 0.00000, 192.714, -109.833, -191.777, -111.914, -1.03606, 222.2, -0.000359295, -0.000582258, 0.203195, 0.775941, 0.56914, -0.563943, -0.772483, -0.210824, 0.000147156, -0.00117469
10, 0.00000, 194.39, -110.004, -192.662, -113.22, -1.67609, 223.561, -0.000581638, -0.00022407, 0.723739, 0.500068, 0.0702542, -0.87646, -0.793795, 0.377371, -0.000198006, -0.000979866
11, 0.00000, 201.059, -110.821, -196.318, -118.376, -4.13914, 229.073, -0.00125365, 0.000955219, 2.63605, -0.567644, -1.81406, -2.00045, -0.823722, 2.57351, 0.00173723, -0.00541946
12, 0.00000, 201.461, -110.889, -196.554, -118.678, -4.27313, 229.416, -0.00129657, 0.00102189, 2.75098, -0.637422, -1.9323, -2.06535, -0.820419, 2.70868, 0.00173786, -0.005909
13, 0.00000, 198.865, -110.572, -195.126, -116.668, -3.31018, 227.262, -0.00106073, 0.000602984, 1.99842, -0.218761, -1.19101, -1.62167, -0.807669, 1.84335, 0.0002553, -0.0029186
14, 0.00000, 192.932, -109.748, -191.805, -112.129, -1.19835, 222.329, -0.000450306, -0.000506944, 0.357844, 0.7343, 0.455957, -0.676843, -0.813526, -0.0563664, -0.000275462, -0.00109021
15, 0.00000, 189.674, -109.164, -189.885, -109.706, -0.147519, 219.578, -8.83078E-005, -0.00116009, -0.491972, 1.27432, 1.34731, -0.213318, -0.85639, -1.05963, 0.00105571, -0.00136597
16, 0.00000, 187.174, -108.483, -188.24, -107.949, 0.478908, 217.381, 0.000165691, -0.00184755, -1.08059, 1.73243, 2.03461, 0.0666956, -0.956496, -1.79289, 0.00247377, -0.00623348
17, 0.00000, 185.82, -107.761, -187.066, -107.158, 0.547687, 216.037, 0.000213458, -0.00221741, -1.25421, 2.02304, 2.37066, 0.0708073, -1.11982, -2.08502, 0.0033649, -0.00882996
18, 0.00000, 184.929, -107.221, -186.242, -106.665, 0.544417, 215.125, 0.000203461, -0.00243787, -1.29571, 2.20122, 2.54397, 0.0171569, -1.25206, -2.20773, 0.00380233, -0.0106408
19, 0.00000, 184.591, -107.011, -185.926, -106.48, 0.538961, 214.778, 0.000195847, -0.0025211, -1.30526, 2.2677, 2.60562, -0.00798483, -1.3043, -2.24834, 0.00394179, -0.011372
20, 0.00000, 184.407, -106.891, -185.749, -106.382, 0.532617, 214.586, 0.000188055, -0.0025659, -1.30557, 2.30318, 2.6361, -0.0255262, -1.33452, -2.26585, 0.00398452, -0.0118041
21, 0.00000, 184.916, -107.104, -186.142, -106.704, 0.463787, 215.063, 0.000124148, -0.00238951, -1.17161, 2.1813, 2.46477, -0.0799043, -1.29653, -2.09084, 0.00337409, -0.0105534
22, 0.00000, 185.772, -107.592, -186.908, -107.191, 0.444118, 215.925, 0.000113243, -0.00216408, -1.0971, 2.00401, 2.27566, -0.0552141, -1.18144, -1.93998, 0.00287973, -0.00880804
23, 0.00000, 187.014, -108.343, -188.057, -107.879, 0.446543, 217.198, 0.000131903, -0.00187172, -1.03918, 1.75586, 2.0339, 0.0193369, -0.997074, -1.76854, 0.00235818, -0.00665489
24, 0.00000, 188.226, -109.166, -189.253, -108.514, 0.514787, 218.484, 0.000213556, -0.00164305, -1.08547, 1.53212, 1.86492, 0.171644, -0.781535, -1.6988, 0.0020881, -0.00496246
25, 0.00000, 188.6, -109.699, -189.849, -108.59, 0.74254, 219.007, 0.000420846, -0.00170875, -1.41378, 1.51938, 2.0182, 0.461872, -0.606969, -1.97643, 0.00255212, -0.00482265
26, 0.00000, 189.878, -110.229, -190.842, -109.406, 0.56172, 220.217, 0.00030689, -0.00132596, -1.08216, 1.21486, 1.59, 0.327866, -0.509875, -1.53958, 0.00204174, -0.00315112
27, 0.00000, 190.059, -110.379, -191.042, -109.489, 0.592771, 220.422, 0.000320014, -0.00130624, -1.11976, 1.187, 1.58512, 0.374527, -0.466954, -1.55861, 0.00159746, -0.00292361
28, 0.00000, 190.383, -110.491, -191.275, -109.706, 0.530152, 220.719, 0.000275584, -0.00120118, -1.01113, 1.10553, 1.4606, 0.321431, -0.450853, -1.42443, 0.00138862, -0.0025319
29, 0.00000, 190.011, -110.359, -191.003, -109.458, 0.599265, 220.375, 0.000318956, -0.00131712, -1.13127, 1.19831, 1.60073, 0.378842, -0.470949, -1.57426, 0.00149399, -0.00289621
