hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.110561, -0.0363379, -0.110562, -0.0363392, -0.110549, -0.0363351, -9.87845E-011, -9.71514E-012
2, 0.00000, -0.0936845, -0.0307926, -0.0936843, -0.0307925, -0.0936844, -0.0307926, -6.99475E-011, -6.13142E-012
3, 0.00000, -0.0857775, -0.0281943, -0.0857796, -0.0281949, -0.0857784, -0.0281944, -5.80216E-011, -4.60122E-012
4, 0.00000, -0.0830491, -0.0272968, -0.0830492, -0.0272969, -0.0830493, -0.0272969, -5.43726E-011, -4.31903E-012
5, 0.00000, -0.0864865, -0.0284265, -0.0864858, -0.0284263, -0.0864861, -0.0284265, -5.92063E-011, -4.89327E-012
6, 0.00000, -0.0997815, -0.0327966, -0.0997802, -0.0327962, -0.0997802, -0.0327962, -7.94962E-011, -7.12388E-012
7, 0.00000, -0.126482, -0.0415723, -0.126482, -0.0415726, -0.126481, -0.0415724, -1.31094E-010, -1.42852E-011
8, 0.00000, -0.113091, -0.0463815, -0.11309, -0.0463809, -0.11309, -0.0463811, -1.10993E-010, -1.31953E-011
9, 0.00000, 0.143254, -0.0475026, 0.143249, -0.0475009, 0.14325, -0.0475016, -1.64886E-010, -1.19265E-011
10, 0.00000, 0.255325, -0.0488765, 0.25532, -0.0488751, 0.25532, -0.0488763, -4.72739E-010, -2.55152E-011
11, 0.00000, 0.70653, -0.0492021, 0.706507, -0.0491971, 0.706515, -0.0492129, -3.08535E-009, 4.1957E-011
12, 0.00000, 0.72915, -0.0488234, 0.72914, -0.0488204, 0.729139, -0.0488252, -3.25961E-009, 5.81089E-011
13, 0.00000, 0.557081, -0.0490508, 0.55709, -0.0490533, 0.557088, -0.0490483, -2.00292E-009, -1.31769E-011
14, 0.00000, 0.158391, -0.0500127, 0.158393, -0.0500135, 0.158393, -0.0500132, -1.98887E-010, -1.38463E-011
15, 0.00000, -0.0476191, -0.0521034, -0.0476173, -0.0521035, -0.0476077, -0.0520927, -3.5298E-011, -4.17491E-012
16, 0.00000, -0.174162, -0.0572399, -0.174162, -0.0572425, -0.17416, -0.0572412, -2.61671E-010, -3.87614E-011
17, 0.00000, -0.202496, -0.0665547, -0.202496, -0.066556, -0.202495, -0.0665557, -3.65937E-010, -6.37125E-011
18, 0.00000, -0.225506, -0.0741187, -0.225506, -0.0741194, -0.225506, -0.0741195, -4.64669E-010, -8.95109E-011
19, 0.00000, -0.234563, -0.0770964, -0.234563, -0.0770967, -0.234563, -0.0770967, -5.0733E-010, -1.0138E-010
20, 0.00000, -0.239792, -0.0788178, -0.239792, -0.0788174, -0.239794, -0.0788176, -5.32784E-010, -1.08489E-010
21, 0.00000, -0.233666, -0.0768038, -0.233666, -0.0768031, -0.233667, -0.0768033, -5.00144E-010, -9.74943E-011
