hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 190.205, -110.483, -191.233, -109.538, 0.647657, 220.639, -4.85658E-006, -9.05025E-006, -0.351653, 0.395308, 0.51728, 0.10627, -0.166151, -0.500555, 0.00538118, 0.00802745
2, 0.00000, 190.607, -110.757, -191.631, -109.75, 0.665506, 221.066, -4.08542E-006, -7.57211E-006, -0.297264, 0.334283, 0.437428, 0.0898355, -0.140566, -0.423362, 0.00448742, 0.00681639
3, 0.00000, 190.968, -110.919, -191.919, -109.978, 0.620073, 221.409, -3.73239E-006, -6.87163E-006, -0.271745, 0.305476, 0.399844, 0.0822173, -0.128425, -0.387061, 0.00405849, 0.00623923
4, 0.00000, 190.988, -110.954, -191.957, -109.98, 0.636726, 221.441, -3.6116E-006, -6.65153E-006, -0.263033, 0.295733, 0.387062, 0.0795602, -0.124347, -0.374682, 0.00392938, 0.00604091
5, 0.00000, 190.855, -110.889, -191.846, -109.898, 0.649044, 221.312, -3.76417E-006, -6.95066E-006, -0.27409, 0.308191, 0.403333, 0.082876, -0.12959, -0.390408, 0.00411125, 0.00629161
6, 0.00000, 190.607, -110.684, -191.572, -109.78, 0.61364, 221.032, -4.3394E-006, -8.07709E-006, -0.316763, 0.356007, 0.465944, 0.0958139, -0.14963, -0.451014, 0.00478776, 0.00726997
7, 0.00000, 189.67, -110.189, -190.766, -109.222, 0.676239, 220.107, -5.53929E-006, -1.04631E-005, -0.403375, 0.453523, 0.593304, 0.121768, -0.190637, -0.57405, 0.00624734, 0.0092217
8, 0.00000, 189.338, -109.921, -190.406, -109.064, 0.629036, 219.738, -5.7342E-006, -9.28214E-006, -0.340364, 0.442567, 0.552269, 0.0727479, -0.212546, -0.514052, 0.00637554, 0.00801914
9, 0.00000, 192.888, -110.271, -192.23, -111.837, -0.742021, 222.555, -1.8184E-006, 1.27621E-005, 0.66585, -0.134387, -0.449339, -0.508525, -0.215581, 0.642944, 0.000888323, -0.0127934
10, 0.00000, 194.407, -110.369, -192.972, -113.048, -1.36934, 223.743, -4.26173E-007, 2.15573E-005, 1.10117, -0.373743, -0.874571, -0.765624, -0.225424, 1.13975, -0.000749778, -0.0219443
11, 0.00000, 200.47, -110.871, -196.049, -117.848, -3.8059, 228.571, 4.38931E-006, 5.23296E-005, 2.80281, -1.30468, -2.53638, -1.77561, -0.266701, 3.08657, -0.00411471, -0.0586147
12, 0.00000, 200.834, -110.917, -196.247, -118.13, -3.94022, 228.87, 4.63519E-006, 5.36417E-005, 2.88492, -1.35019, -2.61732, -1.82425, -0.268099, 3.18121, -0.00413666, -0.0604088
13, 0.00000, 198.476, -110.724, -195.047, -116.259, -2.98786, 226.986, 3.02402E-006, 4.28675E-005, 2.24574, -1.00569, -1.99683, -1.44172, -0.248349, 2.45102, -0.00358558, -0.0464706
14, 0.00000, 193.076, -110.19, -192.245, -112.026, -0.887179, 222.659, -1.81775E-006, 1.40088E-005, 0.730316, -0.157766, -0.501889, -0.552618, -0.227449, 0.710464, 0.000839665, -0.0140883
15, 0.00000, 190.107, -109.78, -190.619, -109.758, 0.172572, 220.243, -5.1585E-006, -3.32254E-006, -0.0691569, 0.314011, 0.305803, -0.0972564, -0.236693, -0.215975, 0.00520476, 0.00254301
16, 0.00000, 187.826, -109.261, -189.221, -108.105, 0.831724, 218.313, -7.74466E-006, -1.50465E-005, -0.560357, 0.630716, 0.824222, 0.168374, -0.265233, -0.796744, 0.0091131, 0.0127002
17, 0.00000, 186.582, -108.671, -188.212, -107.338, 0.961291, 217.124, -9.11802E-006, -1.80066E-005, -0.655255, 0.738344, 0.964022, 0.196161, -0.310656, -0.931247, 0.0110067, 0.0147489
18, 0.00000, 185.755, -108.225, -187.498, -106.85, 1.00854, 216.311, -1.02215E-005, -2.04596E-005, -0.73278, 0.825949, 1.07793, 0.218972, -0.347505, -1.04089, 0.0125813, 0.016426
19, 0.00000, 185.44, -108.051, -187.223, -106.666, 1.02313, 216, -1.06584E-005, -2.1447E-005, -0.763453, 0.860593, 1.12296, 0.227991, -0.362065, -1.08422, 0.0132182, 0.0170861
20, 0.00000, 185.268, -107.952, -187.07, -106.568, 1.02844, 215.828, -1.09073E-005, -2.20147E-005, -0.781185, 0.880607, 1.14898, 0.233211, -0.370472, -1.10927, 0.0135841, 0.017471
21, 0.00000, 185.727, -108.122, -187.402, -106.87, 0.946553, 216.243, -1.056E-005, -2.12419E-005, -0.759859, 0.855886, 1.11725, 0.227304, -0.359894, -1.079, 0.0130657, 0.0170498
22, 0.00000, 186.518, -108.523, -188.063, -107.346, 0.883393, 217.009, -9.59231E-006, -1.90731E-005, -0.692586, 0.779737, 1.01834, 0.207604, -0.327831, -0.983875, 0.0116651, 0.015607
23, 0.00000, 187.672, -109.142, -189.059, -108.028, 0.81549, 218.145, -8.06839E-006, -1.57419E-005, -0.584376, 0.657639, 0.859399, 0.175604, -0.2765, -0.830743, 0.00954585, 0.0132411
24, 0.00000, 188.811, -109.827, -190.104, -108.671, 0.800181, 219.303, -6.31656E-006, -1.20467E-005, -0.45724, 0.514656, 0.672798, 0.137605, -0.216482, -0.650617, 0.00724161, 0.0104029
25, 0.00000, 189.201, -110.287, -190.646, -108.799, 0.956436, 219.805, -4.92227E-006, -9.2059E-006, -0.352574, 0.397577, 0.519481, 0.105858, -0.167502, -0.502235, 0.00551683, 0.00800601
