hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.175587, -0.0901092, -0.175574, -0.0902966, -0.175665, -0.0902667, 4.45796E-010, -4.70819E-010
2, 0.00000, -0.200163, -0.076609, -0.200164, -0.0766084, -0.200162, -0.0766059, 1.0665E-009, -3.05055E-010
3, 0.00000, -0.188424, -0.0700677, -0.188405, -0.0700777, -0.188412, -0.0700976, 8.51826E-010, -3.32792E-010
4, 0.00000, -0.198278, -0.0679191, -0.198277, -0.0679158, -0.198275, -0.0679164, 9.32286E-010, -2.62886E-010
5, 0.00000, -0.200175, -0.0707433, -0.200181, -0.0707418, -0.200178, -0.0707335, 9.74223E-010, -2.53596E-010
6, 0.00000, -0.172004, -0.0815915, -0.172015, -0.0816024, -0.172016, -0.0815872, 7.93913E-010, -2.28107E-010
7, 0.00000, -0.172808, -0.103411, -0.172804, -0.103419, -0.172808, -0.10342, 1.14584E-009, -3.92537E-010
8, 0.00000, -0.205108, -0.115412, -0.205122, -0.115418, -0.205119, -0.115397, 1.69904E-009, -5.12067E-010
9, 0.00000, -0.234478, -0.118168, -0.234433, -0.118164, -0.234448, -0.118185, 8.82699E-010, -8.7417E-010
10, 0.00000, -0.240096, -0.121586, -0.240065, -0.121579, -0.240067, -0.121595, 4.45997E-010, -8.81023E-010
11, 0.00000, -0.284447, -0.122397, -0.284374, -0.122382, -0.284396, -0.122431, -1.2943E-009, -1.2838E-009
12, 0.00000, -0.280007, -0.121461, -0.279975, -0.121452, -0.279969, -0.121467, -1.37876E-009, -1.05611E-009
13, 0.00000, -0.273008, -0.122036, -0.27304, -0.122045, -0.273033, -0.122023, -8.91956E-010, -8.21084E-010
14, 0.00000, -0.219155, -0.124425, -0.219174, -0.12443, -0.219167, -0.124418, 6.79052E-010, -6.44079E-010
15, 0.00000, -0.188819, -0.129024, -0.188817, -0.129416, -0.188987, -0.1293, 8.94709E-011, -6.77299E-010
16, 0.00000, -0.193374, -0.142349, -0.193374, -0.142388, -0.193388, -0.142378, 2.24951E-009, -7.72433E-010
17, 0.00000, -0.222222, -0.165555, -0.222219, -0.165571, -0.222223, -0.165568, 3.9222E-009, -1.22794E-009
18, 0.00000, -0.220786, -0.184383, -0.220784, -0.184391, -0.220785, -0.18439, 4.86628E-009, -1.48966E-009
19, 0.00000, -0.218528, -0.191797, -0.218526, -0.191801, -0.218526, -0.1918, 5.23743E-009, -1.58468E-009
20, 0.00000, -0.215949, -0.196105, -0.21595, -0.196102, -0.215944, -0.196096, 5.45955E-009, -1.6142E-009
21, 0.00000, -0.186211, -0.191082, -0.18621, -0.191076, -0.186207, -0.191076, 4.2545E-009, -1.31539E-009
22, 0.00000, -0.177812, -0.174838, -0.177813, -0.174831, -0.177809, -0.17483, 3.28241E-009, -1.0291E-009
23, 0.00000, -0.179525, -0.148388, -0.179527, -0.148379, -0.179522, -0.148377, 2.36982E-009, -7.38207E-010
24, 0.00000, -0.210129, -0.116828, -0.210131, -0.11682, -0.210126, -0.116817, 2.03881E-009, -5.97494E-010
25, 0.00000, -0.308375, -0.0904009, -0.308372, -0.0904021, -0.30837, -0.0903999, 3.38018E-009, -8.63416E-010
26, 0.00000, -0.23352, -0.0765848, -0.233435, -0.0765803, -0.233456, -0.0766219, 1.6619E-009, -6.75126E-010
27, 0.00000, -0.246902, -0.0701392, -0.246893, -0.0701377, -0.24689, -0.0701415, 1.60769E-009, -4.39509E-010
28, 0.00000, -0.2208, -0.0679042, -0.220786, -0.0679028, -0.220786, -0.0679092, 1.21083E-009, -3.59663E-010
29, 0.00000, -0.249461, -0.0707247, -0.249476, -0.0707286, -0.249476, -0.0707193, 1.57323E-009, -3.82407E-010
30, 0.00000, -0.265126, -0.0815981, -0.265156, -0.0816063, -0.265158, -0.0815899, 2.02497E-009, -4.82179E-010
31, 0.00000, -0.315869, -0.103426, -0.31589, -0.103432, -0.315886, -0.10342, 4.00487E-009, -9.80137E-010
32, 0.00000, -0.317692, -0.115385, -0.317702, -0.115393, -0.317708, -0.115385, 4.23926E-009, -1.20198E-009
33, 0.00000, -0.263982, -0.11817, -0.263962, -0.118168, -0.263967, -0.118176, 1.72542E-009, -9.6939E-010
34, 0.00000, -0.320771, -0.121582, -0.320723, -0.121574, -0.320725, -0.121594, 1.63711E-009, -1.48169E-009
35, 0.00000, -0.363578, -0.122432, -0.36351, -0.12242, -0.363516, -0.122451, 4.70186E-010, -1.89501E-009
36, 0.00000, -0.353559, -0.121489, -0.353544, -0.121488, -0.353544, -0.121492, -8.51037E-012, -1.57098E-009
37, 0.00000, -0.354687, -0.122029, -0.354734, -0.122042, -0.35473, -0.122017, 7.44781E-010, -1.36254E-009
38, 0.00000, -0.320696, -0.124425, -0.320713, -0.124429, -0.320707, -0.124419, 2.31256E-009, -1.28051E-009
39, 0.00000, -0.271359, -0.129117, -0.271372, -0.129422, -0.271467, -0.129327, 1.96031E-009, -1.29066E-009
40, 0.00000, -0.270124, -0.142383, -0.270123, -0.1424, -0.270126, -0.142396, 4.29372E-009, -1.27241E-009
41, 0.00000, -0.255545, -0.165572, -0.255542, -0.165577, -0.255542, -0.165576, 5.02792E-009, -1.48655E-009
42, 0.00000, -0.289053, -0.184377, -0.28905, -0.184388, -0.28905, -0.184385, 7.55079E-009, -2.14776E-009
43, 0.00000, -0.308927, -0.191792, -0.308925, -0.191799, -0.308924, -0.191796, 9.15496E-009, -2.52725E-009
44, 0.00000, -0.31874, -0.196079, -0.318738, -0.196084, -0.318738, -0.196081, 1.00842E-008, -2.75213E-009
45, 0.00000, -0.319539, -0.191071, -0.319537, -0.191073, -0.319535, -0.19107, 9.71151E-009, -2.63479E-009
46, 0.00000, -0.30825, -0.174835, -0.308249, -0.174832, -0.308247, -0.174829, 7.82069E-009, -2.13692E-009
47, 0.00000, -0.329354, -0.148378, -0.329353, -0.148377, -0.329352, -0.148373, 6.94364E-009, -1.84821E-009
48, 0.00000, -0.357435, -0.11681, -0.357409, -0.116808, -0.357409, -0.116816, 6.32043E-009, -1.66763E-009
49, 0.00000, -0.277339, -0.0903948, -0.277313, -0.0903935, -0.277317, -0.0904038, 2.6926E-009, -7.89849E-010
50, 0.00000, -0.266482, -0.0765961, -0.266445, -0.0765888, -0.266441, -0.0766058, 2.1817E-009, -6.36867E-010
51, 0.00000, -0.246782, -0.0701348, -0.24676, -0.0701314, -0.246758, -0.0701416, 1.64294E-009, -4.75117E-010
52, 0.00000, -0.213629, -0.067903, -0.213612, -0.0679011, -0.213612, -0.0679092, 1.13024E-009, -3.47137E-010
53, 0.00000, -0.222445, -0.0707223, -0.222454, -0.0707251, -0.222454, -0.0707195, 1.21629E-009, -3.21998E-010
54, 0.00000, -0.363559, -0.08161, -0.363649, -0.0816274, -0.36365, -0.0815863, 4.16155E-009, -7.26449E-010
55, 0.00000, -0.268306, -0.102887, -0.268308, -0.103214, -0.268423, -0.103141, 1.49899E-009, -1.18393E-009
56, 0.00000, -0.352059, -0.115395, -0.352145, -0.115419, -0.352153, -0.115379, 5.41307E-009, -1.17072E-009
57, 0.00000, -0.292986, -0.118159, -0.292902, -0.118143, -0.2929, -0.118179, 3.50094E-009, -1.38631E-009
58, 0.00000, -0.235753, -0.121581, -0.235699, -0.121571, -0.2357, -0.121597, 1.87441E-009, -9.55027E-010
59, 0.00000, -0.169827, -0.122436, -0.169772, -0.122424, -0.169774, -0.122454, 8.36808E-010, -6.35069E-010
60, 0.00000, -0.386668, -0.121499, -0.386755, -0.12152, -0.386752, -0.121481, 4.08007E-009, -1.51077E-009
