hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 189.953, -110.26, -190.946, -109.433, 0.588071, 220.355, -4.36631E-006, -1.02471E-005, -0.455417, 0.511642, 0.669568, 0.137721, -0.214882, -0.647946, 0.00509792, 0.00883012
2, 0.00000, 190.36, -110.556, -191.364, -109.64, 0.620258, 220.796, -3.7154E-006, -8.52006E-006, -0.384914, 0.432652, 0.566172, 0.116375, -0.18182, -0.54798, 0.00427771, 0.00747218
3, 0.00000, 190.739, -110.734, -191.672, -109.875, 0.579327, 221.159, -3.40972E-006, -7.70861E-006, -0.351821, 0.39533, 0.517474, 0.106486, -0.166109, -0.500939, 0.00386504, 0.0068324
4, 0.00000, 190.756, -110.772, -191.71, -109.873, 0.598864, 221.19, -3.31168E-006, -7.45779E-006, -0.340541, 0.382731, 0.500938, 0.103039, -0.160842, -0.484923, 0.0037561, 0.00661034
5, 0.00000, 190.618, -110.7, -191.592, -109.79, 0.608924, 221.054, -3.44202E-006, -7.80376E-006, -0.354875, 0.398867, 0.522014, 0.107342, -0.167625, -0.505294, 0.00392766, 0.00688891
6, 0.00000, 190.37, -110.48, -191.306, -109.68, 0.561316, 220.769, -3.90006E-006, -9.10363E-006, -0.410168, 0.46074, 0.60306, 0.124138, -0.193519, -0.583761, 0.0045271, 0.00798613
7, 0.00000, 189.399, -109.94, -190.45, -109.113, 0.604793, 219.799, -4.90714E-006, -1.18775E-005, -0.522507, 0.587036, 0.768058, 0.157864, -0.246541, -0.743186, 0.00589715, 0.010163
8, 0.00000, 189.048, -109.647, -190.062, -108.951, 0.546916, 219.405, -5.38713E-006, -1.08522E-005, -0.448824, 0.577469, 0.722856, 0.0989142, -0.27495, -0.674619, 0.0063049, 0.00908857
9, 0.00000, 192.774, -110.058, -192.008, -111.839, -0.85392, 222.376, -4.70357E-006, 1.14446E-005, 0.782305, -0.12809, -0.502168, -0.612296, -0.278973, 0.74047, 0.0035395, -0.011528
10, 0.00000, 194.372, -110.178, -192.801, -113.103, -1.49765, 223.631, -4.61126E-006, 2.00006E-005, 1.31374, -0.419624, -1.02071, -0.926472, -0.291544, 1.34661, 0.00312201, -0.0205153
11, 0.00000, 200.734, -110.781, -196.088, -118.1, -3.98795, 228.725, -4.26813E-006, 4.83602E-005, 3.39131, -1.55474, -3.04866, -2.16047, -0.343054, 3.72325, 0.00466442, -0.0563942
12, 0.00000, 201.118, -110.834, -196.301, -118.394, -4.12479, 229.042, -4.18651E-006, 4.94896E-005, 3.49164, -1.6104, -3.14763, -2.21991, -0.3447, 3.83896, 0.00487444, -0.0581417
13, 0.00000, 198.641, -110.601, -195.017, -116.445, -3.15109, 227.052, -4.25401E-006, 3.9957E-005, 2.71178, -1.19068, -2.39092, -1.75278, -0.320162, 2.94806, 0.00355901, -0.0445569
14, 0.00000, 192.979, -109.973, -192.028, -112.043, -1.00869, 222.491, -4.90699E-006, 1.25879E-005, 0.859415, -0.154743, -0.563896, -0.665695, -0.294298, 0.820583, 0.00368549, -0.0127323
15, 0.00000, 189.869, -109.504, -190.296, -109.689, 0.0671804, 219.947, -5.79579E-006, -4.94012E-006, -0.120649, 0.424319, 0.426762, -0.107954, -0.306252, -0.315226, 0.00593477, 0.00380105
16, 0.00000, 187.478, -108.924, -188.802, -107.973, 0.727419, 217.911, -6.73988E-006, -1.7303E-005, -0.726375, 0.816696, 1.06747, 0.218542, -0.343008, -1.032, 0.00865623, 0.0140645
17, 0.00000, 186.176, -108.277, -187.723, -107.185, 0.838554, 216.656, -7.87836E-006, -2.08721E-005, -0.849802, 0.956341, 1.24893, 0.254791, -0.401776, -1.20663, 0.0105274, 0.0163748
18, 0.00000, 185.318, -107.791, -186.965, -106.69, 0.868326, 215.804, -8.75079E-006, -2.38474E-005, -0.950664, 1.06997, 1.39676, 0.284588, -0.44941, -1.34899, 0.0120632, 0.0182821
19, 0.00000, 184.992, -107.601, -186.673, -106.505, 0.875836, 215.478, -9.09103E-006, -2.50511E-005, -0.990584, 1.11491, 1.45521, 0.296379, -0.468225, -1.40527, 0.0126853, 0.0190359
20, 0.00000, 184.815, -107.493, -186.511, -106.406, 0.876922, 215.299, -9.28106E-006, -2.57423E-005, -1.01366, 1.14086, 1.48899, 0.303204, -0.479088, -1.4378, 0.0130404, 0.0194757
21, 0.00000, 185.303, -107.682, -186.87, -106.723, 0.797002, 215.743, -8.96956E-006, -2.47754E-005, -0.985814, 1.10866, 1.44765, 0.295475, -0.465354, -1.39836, 0.0124861, 0.0190008
22, 0.00000, 186.127, -108.12, -187.575, -107.209, 0.748074, 216.548, -8.197E-006, -2.21335E-005, -0.898251, 1.00985, 1.31924, 0.269727, -0.423899, -1.27481, 0.0111037, 0.0173594
23, 0.00000, 187.323, -108.796, -188.633, -107.9, 0.704462, 217.739, -6.98201E-006, -1.81256E-005, -0.757556, 0.851552, 1.11304, 0.227966, -0.357553, -1.07607, 0.00905177, 0.0146786
24, 0.00000, 188.493, -109.541, -189.737, -108.542, 0.720402, 218.944, -5.5897E-006, -1.37487E-005, -0.592473, 0.666326, 0.871177, 0.178467, -0.28, -0.842521, 0.00688506, 0.0114762
25, 0.00000, 188.86, -110.031, -190.294, -108.638, 0.909463, 219.442, -4.53637E-006, -1.0435E-005, -0.456768, 0.514835, 0.672686, 0.137188, -0.216751, -0.650353, 0.00536994, 0.00876482
