hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0
8, 0.00000, -0.0342476, -1.83567E-007, -1.69604E-009, 8.36659E-010
9, 0.00000, -0.351716, 2.04314E-006, 1.81295E-008, 7.36958E-009
10, 0.00000, -0.493804, -2.84147E-007, 4.42299E-008, 9.88601E-009
11, 0.00000, -1.04655, -1.63357E-005, 2.21549E-007, 1.56698E-008
12, 0.00000, -1.07277, -2.38776E-005, 2.32073E-007, 1.54343E-008
13, 0.00000, -0.863268, 3.71697E-006, 1.52115E-007, 1.40623E-008
14, 0.00000, -0.379568, -1.06022E-006, 2.15123E-008, 8.2738E-009
15, 0.00000, -0.135528, 2.24002E-005, -3.04452E-009, 3.57084E-009
16, 0.00000, 0, 0, 0, 0
17, 0.00000, 0, 0, 0, 0
18, 0.00000, 0, 0, 0, 0
19, 0.00000, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0
25, 0.00000, 0, 0, 0, 0
26, 0.00000, 0, 0, 0, 0
27, 0.00000, 0, 0, 0, 0
28, 0.00000, 0, 0, 0, 0
29, 0.00000, 0, 0, 0, 0
30, 0.00000, 0, 0, 0, 0
31, 0.00000, 0, 0, 0, 0
32, 0.00000, -0.033788, 1.6827E-008, -1.71578E-009, 8.60263E-010
33, 0.00000, -0.240523, 5.66406E-007, 4.37918E-009, 5.44296E-009
34, 0.00000, -0.416832, -8.55502E-007, 2.92055E-008, 9.03593E-009
35, 0.00000, -0.659633, -2.8986E-006, 8.85626E-008, 1.28315E-008
36, 0.00000, -0.693243, -4.33621E-007, 9.85284E-008, 1.29562E-008
37, 0.00000, -0.552007, 1.17876E-006, 5.91563E-008, 1.12324E-008
38, 0.00000, -0.307574, -6.66E-007, 1.12386E-008, 7.28118E-009
39, 0.00000, -0.0669389, 1.01416E-005, -3.17145E-009, 1.87502E-009
40, 0.00000, 0, 0, 0, 0
41, 0.00000, 0, 0, 0, 0
42, 0.00000, 0, 0, 0, 0
43, 0.00000, 0, 0, 0, 0
44, 0.00000, 0, 0, 0, 0
45, 0.00000, 0, 0, 0, 0
46, 0.00000, 0, 0, 0, 0
47, 0.00000, 0, 0, 0, 0
48, 0.00000, 0, 0, 0, 0
49, 0.00000, 0, 0, 0, 0
50, 0.00000, 0, 0, 0, 0
51, 0.00000, 0, 0, 0, 0
52, 0.00000, 0, 0, 0, 0
53, 0.00000, 0, 0, 0, 0
54, 0.00000, 0, 0, 0, 0
55, 0.00000, 0, 0, 0, 0
56, 0.00000, 0, 0, 0, 0
57, 0.00000, -0.100051, -1.7324E-007, -2.86202E-009, 2.4898E-009
58, 0.00000, -0.167625, -2.11178E-007, -1.21598E-009, 4.04892E-009
59, 0.00000, -0.236167, -4.83129E-007, 3.3605E-009, 5.38692E-009
