Minute,Stor_O4L23,Stor_O4L28,Stor_O4L32,Stor_O4L33,Stor_O4L47,Stor_O3L53,Stor_O3L55,Stor_O3L60,Stor_O3L66,Stor_O3L67,Stor_O3L68,Stor_O3L73,Stor_O2L84,Stor_O2L88,Stor_O2L89,Stor_O2L100,Stor_O2L110,Stor_O1L130
1,0.059642665,0.059642665,0.059642665,0.059642665,0.059642665,0.059642665,0.059642665,0.059642665,0.059642665,0.059642665,0.059642665,0.059642665,0.059642665,0.059642665,0.059642665,0.059642665,0.059642665,0.059642665
2,0.019742878,0.019742878,0.019742878,0.019742878,0.019742878,0.019742878,0.019742878,0.019742878,0.019742878,0.019742878,0.019742878,0.019742878,0.019742878,0.019742878,0.019742878,0.019742878,0.019742878,0.019742878
3,0.01500422,0.01500422,0.01500422,0.01500422,0.01500422,0.01500422,0.01500422,0.01500422,0.01500422,0.01500422,0.01500422,0.01500422,0.01500422,0.01500422,0.01500422,0.01500422,0.01500422,0.01500422
4,0.005001091,0.005001091,0.005001091,0.005001091,0.005001091,0.005001091,0.005001091,0.005001091,0.005001091,0.005001091,0.005001091,0.005001091,0.005001091,0.005001091,0.005001091,0.005001091,0.005001091,0.005001091
5,0.008985152,0.008985152,0.008985152,0.008985152,0.008985152,0.008985152,0.008985152,0.008985152,0.008985152,0.008985152,0.008985152,0.008985152,0.008985152,0.008985152,0.008985152,0.008985152,0.008985152,0.008985152
6,0.04572716,0.04572716,0.04572716,0.04572716,0.04572716,0.04572716,0.04572716,0.04572716,0.04572716,0.04572716,0.04572716,0.04572716,0.04572716,0.04572716,0.04572716,0.04572716,0.04572716,0.04572716
7,0.085113049,0.085113049,0.085113049,0.085113049,0.085113049,0.085113049,0.085113049,0.085113049,0.085113049,0.085113049,0.085113049,0.085113049,0.085113049,0.085113049,0.085113049,0.085113049,0.085113049,0.085113049
8,0.067009702,0.067009702,0.067009702,0.067009702,0.067009702,0.067009702,0.067009702,0.067009702,0.067009702,0.067009702,0.067009702,0.067009702,0.067009702,0.067009702,0.067009702,0.067009702,0.067009702,0.067009702
9,-0.13596122,-0.13596122,-0.13596122,-0.13596122,-0.13596122,-0.13596122,-0.13596122,-0.13596122,-0.13596122,-0.13596122,-0.13596122,-0.13596122,-0.13596122,-0.13596122,-0.13596122,-0.13596122,-0.13596122,-0.13596122
10,-0.218342423,-0.218342423,-0.218342423,-0.218342423,-0.218342423,-0.218342423,-0.218342423,-0.218342423,-0.218342423,-0.218342423,-0.218342423,-0.218342423,-0.218342423,-0.218342423,-0.218342423,-0.218342423,-0.218342423,-0.218342423
