hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 192.828, -112.857, -194.342, -110.625, 1.29335, 223.672, 0.00115962, -0.00344939, -0.151422, 0.171353, 0.22392, 0.0453697, -0.0725733, -0.216574, 7.61727E-005, -0.000149327
2, 0.00000, 193.218, -112.821, -194.476, -110.971, 1.0723, 223.952, 0.000983558, -0.00291521, -0.12828, 0.144868, 0.189466, 0.0385958, -0.0612404, -0.183358, 5.47912E-005, -0.000105392
3, 0.00000, 193.401, -112.804, -194.539, -111.134, 0.967887, 224.084, 0.000900923, -0.00266608, -0.117445, 0.132504, 0.173362, 0.0354047, -0.0559635, -0.16782, 4.6391E-005, -8.88282E-005
4, 0.00000, 193.487, -112.782, -194.557, -111.218, 0.906464, 224.139, 0.000872308, -0.00257971, -0.113709, 0.128218, 0.167789, 0.0343163, -0.0541236, -0.162452, 4.32239E-005, -8.21491E-005
5, 0.00000, 193.417, -112.783, -194.529, -111.159, 0.94117, 224.087, 0.000908249, -0.00268762, -0.118421, 0.133574, 0.174776, 0.0357149, -0.0564012, -0.1692, 4.65145E-005, -8.82694E-005
6, 0.00000, 193.157, -112.777, -194.417, -110.944, 1.06258, 223.888, 0.00104724, -0.00310631, -0.136672, 0.154335, 0.201844, 0.0411228, -0.0652335, -0.195342, 6.12565E-005, -0.000116678
7, 0.00000, 192.607, -112.783, -194.194, -110.481, 1.33457, 223.476, 0.00132608, -0.00395333, -0.173372, 0.196277, 0.25642, 0.0518917, -0.083148, -0.247976, 9.95718E-005, -0.000193011
8, 0.00000, 192.168, -112.912, -194.099, -110.029, 1.67488, 223.185, 0.00173186, -0.0043528, -0.193373, 0.219581, 0.286564, 0.0575294, -0.0933103, -0.276876, 0.000119233, -0.000234464
9, 0.00000, 193.674, -112.042, -193.952, -111.655, 0.277658, 223.879, 0.00410738, -0.00375887, -0.198784, 0.222674, 0.292188, 0.0606797, -0.0934927, -0.283278, 8.82849E-005, -7.58155E-005
10, 0.00000, 194.271, -111.66, -193.859, -112.314, -0.304916, 224.135, 0.00518647, -0.00357006, -0.204883, 0.228214, 0.300138, 0.0631938, -0.0953304, -0.291395, 7.56272E-005, -1.25083E-005
