hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.179765, -0.0590849, -0.179764, -0.059086, -0.179762, -0.0590847, 1.06219E-009, -3.30821E-010
2, 0.00000, -0.152333, -0.0500689, -0.152332, -0.0500697, -0.152332, -0.0500689, 6.18714E-010, -1.99818E-010
3, 0.00000, -0.139484, -0.0458465, -0.139484, -0.0458472, -0.139483, -0.0458461, 4.67919E-010, -1.50515E-010
4, 0.00000, -0.135043, -0.0443865, -0.135042, -0.0443871, -0.135041, -0.0443863, 4.09773E-010, -1.35912E-010
5, 0.00000, -0.140626, -0.046221, -0.140626, -0.0462217, -0.140626, -0.0462212, 4.60406E-010, -1.55566E-010
6, 0.00000, -0.162237, -0.0533242, -0.162237, -0.0533252, -0.162238, -0.0533248, 6.9846E-010, -2.3981E-010
7, 0.00000, -0.205662, -0.067597, -0.205661, -0.0675985, -0.20566, -0.0675971, 1.45997E-009, -4.87701E-010
8, 0.00000, -0.229459, -0.0754188, -0.229453, -0.075419, -0.229452, -0.0754173, 2.31582E-009, -7.17218E-010
9, 0.00000, -0.234989, -0.0772362, -0.234987, -0.0772377, -0.234986, -0.0772361, 5.30571E-010, -6.77042E-010
10, 0.00000, -0.241792, -0.0794724, -0.24179, -0.0794737, -0.241789, -0.079472, -9.98326E-011, -7.25861E-010
11, 0.00000, -0.243494, -0.0800321, -0.243491, -0.0800328, -0.243492, -0.0800318, -2.12405E-009, -8.00965E-010
12, 0.00000, -0.241592, -0.0794069, -0.241591, -0.0794081, -0.24159, -0.0794067, -2.16717E-009, -7.84554E-010
13, 0.00000, -0.242637, -0.07975, -0.242637, -0.0797519, -0.242636, -0.0797504, -1.58179E-009, -7.47692E-010
14, 0.00000, -0.247419, -0.0813217, -0.247419, -0.081324, -0.247418, -0.0813221, 5.59835E-010, -7.84899E-010
15, 0.00000, -0.257727, -0.0847097, -0.257727, -0.0847121, -0.257725, -0.08471, 2.50008E-009, -9.60976E-010
16, 0.00000, -0.283188, -0.0930779, -0.283188, -0.093081, -0.283186, -0.0930785, 5.01025E-009, -1.36263E-009
17, 0.00000, -0.329262, -0.108221, -0.329261, -0.108225, -0.329259, -0.108222, 8.22952E-009, -2.1648E-009
18, 0.00000, -0.366669, -0.120515, -0.366668, -0.12052, -0.366666, -0.120516, 1.16779E-008, -3.04484E-009
19, 0.00000, -0.381402, -0.125357, -0.3814, -0.125364, -0.381396, -0.125358, 1.32944E-008, -3.48423E-009
20, 0.00000, -0.389919, -0.128157, -0.389917, -0.128163, -0.389913, -0.128158, 1.42982E-008, -3.77097E-009
21, 0.00000, -0.379968, -0.124887, -0.379957, -0.12489, -0.379954, -0.124885, 1.29851E-008, -3.46809E-009
