hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.137521, -0.0452131, -5.72647E-013, 4.25264E-013, -7.5909E-014, -1.05101E-014, -5.99923E-007, 1.23423E-005
2, 0.00000, -0.116534, -0.0383116, 3.97165E-013, 5.19125E-013, -1.85947E-013, 3.28479E-013, -2.35437E-007, 8.76079E-006
3, 0.00000, -0.106703, -0.035079, -2.61479E-013, -4.38855E-013, 9.02623E-014, -1.89701E-013, -1.0098E-007, 7.28683E-006
4, 0.00000, -0.103306, -0.033962, -7.88526E-013, 2.7904E-013, 1.80953E-013, 4.43517E-013, 9.029E-008, 6.73865E-006
5, 0.00000, -0.10758, -0.0353669, 1.06709E-014, -2.19772E-013, -2.97716E-014, -1.16531E-013, 1.12792E-007, 7.30731E-006
6, 0.00000, -0.124115, -0.0408042, 3.48093E-013, 4.81666E-014, 4.0416E-013, 2.35523E-013, 2.92665E-007, 9.67327E-006
7, 0.00000, -0.157331, -0.0517277, -5.36853E-013, 4.91113E-013, -1.67769E-013, 2.12502E-013, 4.69781E-007, 1.55833E-005
8, 0.00000, -0.175533, -0.057716, 5.79053E-013, 2.17892E-014, -3.69473E-013, 1.7029E-013, -8.86261E-007, 2.05627E-005
9, 0.00000, -0.179786, -0.0591016, 1.05444E-012, 3.75938E-013, -7.17238E-013, -2.16166E-013, 1.96866E-005, 1.54284E-005
10, 0.00000, -0.184999, -0.0608107, 3.37743E-015, -2.92161E-013, -6.1278E-013, -3.10157E-013, 2.91152E-005, 1.39291E-005
11, 0.00000, -0.186333, -0.0612301, -2.34501E-013, -1.36512E-013, 1.6358E-013, -1.42545E-014, 6.10938E-005, 5.2705E-006
12, 0.00000, -0.184879, -0.0607512, -9.16371E-014, -1.70923E-013, 5.5365E-014, -6.04E-014, 6.2001E-005, 4.69916E-006
13, 0.00000, -0.185668, -0.0610172, -3.1677E-013, -6.54719E-013, -1.07244E-012, -2.49045E-013, 5.08787E-005, 7.92418E-006
14, 0.00000, -0.189297, -0.0622286, 2.26512E-013, -7.66137E-014, 8.76187E-014, 3.76933E-013, 2.24637E-005, 1.6936E-005
15, 0.00000, -0.197167, -0.0648275, -1.20488E-013, 1.99401E-013, -2.44519E-013, 1.30489E-013, 5.93897E-006, 2.39065E-005
16, 0.00000, -0.216633, -0.0712384, 8.97834E-015, 6.52804E-015, 3.96249E-013, 1.08717E-013, -5.57921E-006, 3.28945E-005
17, 0.00000, -0.251876, -0.0828353, 8.11896E-013, 5.32595E-013, 1.06524E-012, 7.5723E-014, -8.39064E-006, 4.50246E-005
18, 0.00000, -0.280494, -0.0922526, 3.78335E-013, 5.98829E-014, 6.60906E-013, -3.19082E-014, -9.33523E-006, 5.62244E-005
19, 0.00000, -0.291762, -0.0959606, 4.4352E-013, 1.85105E-013, 4.65122E-014, -1.90189E-013, -9.22888E-006, 6.026E-005
20, 0.00000, -0.298277, -0.0981046, 7.08035E-013, -2.2641E-013, -1.55636E-013, -2.74431E-013, -9.23687E-006, 6.26182E-005
21, 0.00000, -0.290654, -0.0955958, -9.14995E-014, -1.89322E-013, 7.55993E-013, -3.1246E-013, -8.58524E-006, 5.95962E-005
22, 0.00000, -0.265936, -0.0874624, 1.12266E-013, -4.205E-014, -1.09629E-012, -3.28598E-014, -9.24159E-006, 5.04282E-005
23, 0.00000, -0.2257, -0.0742221, -3.50905E-013, -1.28071E-013, 8.32461E-014, 2.488E-013, -6.22615E-006, 3.58314E-005
24, 0.00000, -0.177696, -0.0584288, -3.03512E-013, 1.33659E-013, 3.73809E-013, 2.50244E-013, -3.37806E-006, 2.18544E-005
25, 0.00000, -0.137516, -0.0452132, -6.59168E-014, 4.81433E-013, 6.68304E-013, 2.23514E-013, -2.57294E-006, 1.33124E-005
26, 0.00000, -0.116537, -0.0383127, 3.15763E-014, -6.77642E-014, 2.23509E-013, 2.9584E-013, -1.76255E-006, 9.49343E-006
27, 0.00000, -0.106702, -0.0350789, -6.19274E-014, -2.12276E-013, -1.23173E-013, 4.38323E-014, -1.38001E-006, 7.90893E-006
28, 0.00000, -0.103306, -0.033962, -3.17301E-013, -1.52395E-013, 1.10214E-013, 4.00311E-013, -8.66637E-007, 7.20327E-006
29, 0.00000, -0.107579, -0.0353671, 1.04323E-012, 3.96969E-013, -8.41418E-013, 1.7257E-013, -4.08871E-007, 7.56207E-006
30, 0.00000, -0.124117, -0.0408057, 4.1132E-015, -3.77383E-014, 1.11114E-012, 2.2212E-013, -8.50844E-007, 1.02282E-005
