hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 193.017, -112.957, -194.459, -110.686, 1.3251, 223.835, 0.0136749, 0.0133199, -0.428607, 0.485071, 1.28403E-012, 2.91778E-012, -4.89608E-014, -3.3884E-013, 0.428607, -0.485071
2, 0.00000, 193.389, -112.909, -194.582, -111.029, 1.09785, 224.099, 0.0116889, 0.0109238, -0.363139, 0.410125, -2.68818E-012, 1.13401E-012, 1.46168E-012, -8.36914E-013, 0.363139, -0.410125
3, 0.00000, 193.563, -112.887, -194.64, -111.191, 0.990551, 224.223, 0.0107454, 0.00979283, -0.332478, 0.375131, 1.98397E-012, -1.12133E-012, -8.44241E-013, 4.06286E-013, 0.332478, -0.375131
4, 0.00000, 193.659, -112.868, -194.666, -111.283, 0.926356, 224.287, 0.0105156, 0.00907668, -0.321895, 0.362977, 2.43536E-012, 2.82563E-012, 1.98075E-012, 7.98611E-013, 0.321895, -0.362977
5, 0.00000, 193.598, -112.873, -194.644, -111.228, 0.961569, 224.243, 0.0109686, 0.00942581, -0.335226, 0.378128, 4.45061E-013, -8.74772E-013, -5.20223E-013, -1.30534E-013, 0.335226, -0.378128
6, 0.00000, 193.38, -112.887, -194.559, -111.033, 1.08418, 224.081, 0.0127442, 0.0106157, -0.386825, 0.436816, -1.45617E-012, -5.8345E-013, 1.05976E-012, 1.79851E-012, 0.386825, -0.436816
7, 0.00000, 192.901, -112.927, -194.383, -110.6, 1.36059, 223.731, 0.0161828, 0.0134487, -0.49052, 0.555312, 1.00042E-012, 3.09575E-012, 9.45216E-013, -7.55618E-013, 0.49052, -0.555312
8, 0.00000, 192.348, -113.018, -194.218, -110.076, 1.71687, 223.349, 0.0179266, 0.0172087, -0.547318, 0.621649, -2.30471E-012, -1.19404E-012, 7.49678E-013, -1.66001E-012, 0.547318, -0.621649
9, 0.00000, 194.118, -112.278, -194.368, -111.953, 0.23292, 224.35, 0.0291731, -0.00522639, -0.562037, 0.629547, -4.91007E-012, -8.93979E-013, -9.66838E-013, -3.19596E-012, 0.562037, -0.629547
10, 0.00000, 194.826, -111.949, -194.402, -112.722, -0.389619, 224.739, 0.0344039, -0.0142584, -0.579027, 0.644842, 6.39155E-013, -1.13226E-012, -1.37534E-012, -2.72901E-012, 0.579027, -0.644842
11, 0.00000, 197.739, -110.608, -194.559, -115.883, -2.95293, 226.363, 0.0522417, -0.0478391, -0.585819, 0.637337, 1.19815E-012, 1.19904E-014, -7.23865E-014, 7.217E-013, 0.585819, -0.637337
12, 0.00000, 197.894, -110.539, -194.571, -116.05, -3.08766, 226.452, 0.0529315, -0.0494336, -0.581365, 0.631725, 7.33857E-013, -4.40759E-013, -2.70006E-013, 2.40807E-013, 0.581365, -0.631725
13, 0.00000, 196.804, -111.055, -194.522, -114.86, -2.11507, 225.847, 0.0464164, -0.037287, -0.582864, 0.638944, 2.68108E-012, -1.78269E-012, -1.05815E-012, -4.75842E-012, 0.582864, -0.638944
14, 0.00000, 194.113, -112.233, -194.327, -111.97, 0.200027, 224.324, 0.0310516, -0.00615936, -0.591952, 0.662835, -7.04548E-013, -8.00207E-013, 1.68066E-012, 3.89092E-013, 0.591952, -0.662835
15, 0.00000, 192.558, -112.83, -194.15, -110.345, 1.46333, 223.416, 0.0234995, 0.0122226, -0.61538, 0.697247, 2.78666E-014, 1.04289E-012, 5.76872E-013, -1.09823E-012, 0.61538, -0.697247
16, 0.00000, 191.385, -113.189, -193.941, -109.164, 2.3414, 222.693, 0.0205509, 0.0252178, -0.675503, 0.771732, -4.95437E-014, 5.77316E-015, 5.06845E-013, 1.77403E-012, 0.675503, -0.771732
17, 0.00000, 190.733, -113.262, -193.719, -108.567, 2.73018, 222.231, 0.023775, 0.030049, -0.785631, 0.900828, -4.3619E-012, 3.04756E-013, 3.99569E-013, 4.7885E-012, 0.785631, -0.900828
18, 0.00000, 190.202, -113.321, -193.535, -108.078, 3.04927, 221.848, 0.0272199, 0.0329447, -0.875108, 1.0064, -1.62187E-012, -5.96301E-013, -1.02862E-013, 2.9805E-012, 0.875108, -1.0064
19, 0.00000, 189.993, -113.343, -193.462, -107.886, 3.17545, 221.695, 0.0284118, 0.0334814, -0.910355, 1.04815, -2.15572E-012, -2.45359E-013, -8.54705E-013, 2.22045E-013, 0.910355, -1.04815
20, 0.00000, 189.873, -113.355, -193.419, -107.776, 3.24798, 221.607, 0.0290403, 0.0338193, -0.93074, 1.07234, -2.29561E-012, -2.44971E-012, -1.24839E-012, -6.84008E-013, 0.93074, -1.07234
21, 0.00000, 190.082, -113.322, -193.482, -107.973, 3.11316, 221.754, 0.028462, 0.0329611, -0.906928, 1.0436, 7.7699E-013, -5.44897E-013, -1.36091E-012, 3.42826E-012, 0.906928, -1.0436
22, 0.00000, 190.472, -113.291, -193.629, -108.327, 2.88654, 222.044, 0.0253007, 0.0317343, -0.829585, 0.95262, -3.49054E-013, -4.12448E-013, -2.12136E-013, -4.9345E-012, 0.829585, -0.95262
23, 0.00000, 191.218, -113.208, -193.884, -109.011, 2.44122, 222.574, 0.021394, 0.0264446, -0.703831, 0.804848, 1.65734E-012, 2.71283E-013, 1.1218E-012, 3.61711E-013, 0.703831, -0.804848
24, 0.00000, 192.092, -113.106, -194.181, -109.814, 1.91603, 223.196, 0.0169062, 0.0202161, -0.553915, 0.630323, 8.89344E-013, 1.19127E-012, 1.13548E-012, 1.66506E-012, 0.553915, -0.630323
25, 0.00000, 192.68, -113.06, -194.4, -110.344, 1.57954, 223.626, 0.012786, 0.0165642, -0.428481, 0.486076, -8.06716E-013, 2.01861E-012, 1.02056E-012, 2.98128E-012, 0.428481, -0.486076
26, 0.00000, 193.078, -113.007, -194.529, -110.714, 1.33353, 223.907, 0.0108462, 0.0138721, -0.363062, 0.410927, 2.7145E-014, -3.329E-013, 1.32716E-012, 9.90319E-013, 0.363062, -0.410927
27, 0.00000, 193.275, -112.978, -194.591, -110.898, 1.21034, 224.044, 0.00998531, 0.0125043, -0.3324, 0.3758, 7.09502E-013, -6.86534E-013, 1.92665E-013, -5.50809E-013, 0.3324, -0.3758
28, 0.00000, 193.435, -112.939, -194.628, -111.055, 1.0973, 224.149, 0.00992512, 0.0111723, -0.321839, 0.363481, 1.56691E-012, 1.11078E-013, 1.78828E-012, 4.82947E-013, 0.321839, -0.363481
29, 0.00000, 193.481, -112.91, -194.624, -111.109, 1.05082, 224.171, 0.0106615, 0.0105246, -0.335192, 0.378402, -4.92087E-012, -7.69607E-013, 7.52204E-013, -3.75699E-012, 0.335192, -0.378402
30, 0.00000, 193.158, -112.957, -194.521, -110.807, 1.25314, 223.944, 0.0121581, 0.012695, -0.386762, 0.437428, 6.74738E-014, -1.5557E-013, 1.01959E-012, 4.95598E-012, 0.386762, -0.437428
31, 0.00000, 192.52, -113.044, -194.315, -110.213, 1.64889, 223.494, 0.0151905, 0.0170823, -0.490364, 0.556626, -3.39839E-013, -1.21525E-012, -1.32899E-012, -2.59698E-012, 0.490364, -0.556626
32, 0.00000, 192.336, -113.023, -194.216, -110.063, 1.72684, 223.341, 0.0179124, 0.0173181, -0.547295, 0.621679, -6.08708E-013, 5.98188E-013, 2.30371E-015, 1.15097E-012, 0.547295, -0.621679
33, 0.00000, 193.543, -112.523, -194.322, -111.341, 0.71899, 224.026, 0.0255836, 0.0019801, -0.561541, 0.631849, -1.46655E-012, -1.77963E-012, -1.09912E-012, 6.05993E-012, 0.561541, -0.631849
34, 0.00000, 194.397, -112.134, -194.369, -112.263, -0.0233936, 224.496, 0.0318626, -0.00912968, -0.578648, 0.646604, 1.04583E-012, 9.63341E-013, -5.74318E-013, -3.89602E-012, 0.578648, -0.646604
35, 0.00000, 195.542, -111.612, -194.433, -113.5, -1.02244, 225.131, 0.0395264, -0.0233577, -0.583848, 0.646421, 9.85989E-013, 4.06786E-013, -8.06466E-013, -1.01891E-013, 0.583848, -0.646421
36, 0.00000, 195.748, -111.527, -194.453, -113.719, -1.19541, 225.251, 0.0404713, -0.0256052, -0.57944, 0.640527, 5.41234E-013, -2.99863E-012, -1.17162E-012, 4.09375E-012, 0.57944, -0.640527
37, 0.00000, 194.974, -111.867, -194.398, -112.887, -0.528836, 224.813, 0.0359736, -0.016594, -0.581256, 0.646479, -4.02844E-012, 6.24334E-013, 6.67022E-013, 4.54076E-012, 0.581256, -0.646479
38, 0.00000, 193.577, -112.445, -194.271, -111.406, 0.641965, 224.013, 0.0283071, -3.30793E-005, -0.591516, 0.665068, -2.58138E-012, -1.84042E-012, -2.44998E-012, 3.37091E-012, 0.591516, -0.665068
39, 0.00000, 192.126, -112.997, -194.103, -109.894, 1.81445, 223.167, 0.0210535, 0.0176407, -0.615011, 0.699142, 1.54826E-012, -8.16569E-013, -2.85266E-012, 2.05885E-012, 0.615011, -0.699142
40, 0.00000, 192.032, -112.997, -194.061, -109.814, 1.86021, 223.095, 0.0222759, 0.0188364, -0.675856, 0.768653, 2.84461E-012, -8.5737E-013, -8.96394E-013, -3.57547E-013, 0.675856, -0.768653
41, 0.00000, 190.751, -113.257, -193.722, -108.584, 2.71741, 222.241, 0.0238566, 0.0298502, -0.785662, 0.900756, 9.18543E-013, -1.95099E-012, -1.19077E-012, 1.05393E-012, 0.785662, -0.900756
42, 0.00000, 190.202, -113.321, -193.535, -108.078, 3.04939, 221.848, 0.0272246, 0.0329273, -0.875115, 1.00641, 4.68847E-013, 2.05946E-013, -8.45518E-013, 2.49878E-012, 0.875115, -1.00641
43, 0.00000, 189.994, -113.343, -193.462, -107.886, 3.1753, 221.696, 0.0284194, 0.033505, -0.910341, 1.04814, -4.54353E-012, 2.00084E-012, 1.01352E-012, -1.76847E-012, 0.910341, -1.04814
44, 0.00000, 189.873, -113.355, -193.419, -107.776, 3.24793, 221.607, 0.0290472, 0.0338221, -0.930731, 1.07233, -1.47016E-012, 2.46447E-012, 2.225E-012, 8.72635E-014, 0.930731, -1.07233
45, 0.00000, 190.014, -113.34, -193.469, -107.905, 3.16316, 221.71, 0.028287, 0.0334055, -0.906886, 1.04404, 3.6175E-012, 4.88387E-013, -1.28764E-012, -1.66278E-012, 0.906886, -1.04404
46, 0.00000, 190.472, -113.291, -193.629, -108.327, 2.88655, 222.044, 0.0253075, 0.0317366, -0.829589, 0.952625, 1.11744E-013, -2.60014E-013, 3.68539E-013, 1.52411E-012, 0.829589, -0.952625
47, 0.00000, 191.218, -113.208, -193.884, -109.011, 2.44098, 222.575, 0.0213631, 0.0264625, -0.703827, 0.804842, -3.69937E-012, 1.12543E-012, 2.50153E-012, 3.2685E-013, 0.703827, -0.804842
48, 0.00000, 192.092, -113.106, -194.181, -109.814, 1.91603, 223.196, 0.0169061, 0.020216, -0.553915, 0.630323, -2.42417E-012, 2.79221E-012, 2.00578E-012, 3.06127E-012, 0.553915, -0.630323
49, 0.00000, 192.81, -113.02, -194.423, -110.476, 1.48168, 223.706, 0.0131447, 0.0153086, -0.42852, 0.485679, 1.75968E-012, -1.48381E-012, 1.8284E-013, -1.66533E-013, 0.42852, -0.485679
50, 0.00000, 193.18, -112.975, -194.547, -110.817, 1.25655, 223.97, 0.011142, 0.0128819, -0.363079, 0.410659, 6.53921E-014, 3.16636E-013, 5.06831E-013, 3.55377E-012, 0.363079, -0.410659
51, 0.00000, 193.147, -113.018, -194.569, -110.768, 1.30769, 223.965, 0.00964082, 0.0137073, -0.332361, 0.3761, -1.87184E-013, -2.48723E-012, -8.77909E-014, -1.32322E-012, 0.332361, -0.3761
52, 0.00000, 193.206, -113.011, -194.589, -110.823, 1.27156, 224.007, 0.00932879, 0.013326, -0.321779, 0.364004, -2.35166E-012, -1.12121E-012, -2.362E-013, -3.04923E-013, 0.321779, -0.364004
53, 0.00000, 193.132, -113.02, -194.564, -110.754, 1.31717, 223.954, 0.00975193, 0.0137935, -0.335096, 0.379226, -2.22275E-012, -5.83061E-013, -1.25623E-012, -1.50197E-012, 0.335096, -0.379226
54, 0.00000, 192.84, -113.055, -194.466, -110.484, 1.49459, 223.746, 0.0113363, 0.0157036, -0.386656, 0.438287, 2.55773E-012, -9.9365E-013, -2.88367E-013, 1.18144E-012, 0.386656, -0.438287
55, 0.00000, 192.813, -112.955, -194.367, -110.51, 1.42766, 223.676, 0.0159397, 0.0142409, -0.490505, 0.555639, -3.05406E-012, -1.30868E-012, -2.82246E-013, -5.28699E-012, 0.490505, -0.555639
56, 0.00000, 192.504, -112.989, -194.261, -110.226, 1.6133, 223.454, 0.0177126, 0.016328, -0.547305, 0.621044, 1.80125E-012, 3.78531E-013, -1.62886E-012, 3.93463E-012, 0.547305, -0.621044
57, 0.00000, 192.693, -112.864, -194.239, -110.447, 1.4205, 223.538, 0.0206893, 0.0124769, -0.560867, 0.635255, -2.16716E-013, 6.30884E-013, -1.63092E-012, 1.68476E-013, 0.560867, -0.635255
58, 0.00000, 192.964, -112.727, -194.241, -110.744, 1.17592, 223.678, 0.0234296, 0.00842577, -0.577434, 0.652506, 6.78679E-012, 1.23129E-012, 9.43856E-013, -1.96954E-012, 0.577434, -0.652506
59, 0.00000, 193.341, -112.568, -194.272, -111.145, 0.857843, 223.891, 0.0258962, 0.00360007, -0.581859, 0.655547, -9.72888E-013, 2.1172E-013, -9.40581E-013, -1.3064E-012, 0.581859, -0.655547
