hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.0835965, -0.027475, -0.083596, -0.027476, -0.0835859, -0.0274726, -4.1142E-011, -5.21106E-012
2, 0.00000, -0.0708343, -0.0232821, -0.0708341, -0.023282, -0.0708347, -0.0232822, -2.89114E-011, -2.98067E-012
3, 0.00000, -0.0648547, -0.0213175, -0.0648568, -0.0213181, -0.0648556, -0.0213175, -2.39682E-011, -2.17787E-012
4, 0.00000, -0.0627912, -0.0206392, -0.0627927, -0.0206396, -0.0627917, -0.0206391, -2.23406E-011, -1.91264E-012
5, 0.00000, -0.0653928, -0.0214934, -0.0653921, -0.0214932, -0.0653924, -0.0214933, -2.43359E-011, -2.21399E-012
6, 0.00000, -0.0754464, -0.024798, -0.0754442, -0.0247973, -0.0754452, -0.0247976, -3.27843E-011, -3.41084E-012
7, 0.00000, -0.0956327, -0.0314327, -0.0956329, -0.0314329, -0.0956323, -0.0314327, -5.40042E-011, -7.00984E-012
8, 0.00000, -0.106712, -0.0350748, -0.106704, -0.0350721, -0.106705, -0.0350723, -6.98909E-011, -1.20715E-011
9, 0.00000, -0.109271, -0.0359157, -0.109269, -0.035915, -0.10927, -0.0359152, -6.57237E-011, -4.57794E-012
10, 0.00000, -0.112437, -0.0369561, -0.112434, -0.0369552, -0.112434, -0.0369553, -6.66478E-011, -2.43075E-012
11, 0.00000, -0.113225, -0.0372148, -0.113221, -0.0372136, -0.113224, -0.0372147, -5.66426E-011, 4.35796E-012
12, 0.00000, -0.112342, -0.0369249, -0.112341, -0.0369247, -0.112341, -0.0369247, -5.52048E-011, 4.62765E-012
13, 0.00000, -0.11282, -0.0370821, -0.112823, -0.037083, -0.112822, -0.0370829, -5.94037E-011, 2.82391E-012
14, 0.00000, -0.115047, -0.0378141, -0.11505, -0.0378151, -0.115049, -0.0378148, -7.27343E-011, -4.94621E-012
