hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.424255, -0.161641, -0.424248, -0.161802, -0.424286, -0.161764, 2.18727E-009, -1.01807E-009
2, 0.00000, -0.347435, -0.137204, -0.347434, -0.137198, -0.347429, -0.137196, 1.45161E-009, -4.7458E-010
3, 0.00000, -0.310553, -0.12553, -0.31054, -0.125546, -0.310545, -0.12556, 9.9853E-010, -4.13684E-010
4, 0.00000, -0.280046, -0.12155, -0.280036, -0.121565, -0.280041, -0.121573, 7.54332E-010, -3.19663E-010
5, 0.00000, -0.288677, -0.12667, -0.288679, -0.126669, -0.288676, -0.126662, 8.62672E-010, -2.9621E-010
6, 0.00000, -0.312906, -0.146181, -0.312915, -0.146175, -0.312908, -0.146156, 1.18674E-009, -3.80229E-010
7, 0.00000, -0.38023, -0.185205, -0.380226, -0.185215, -0.380226, -0.185214, 2.29734E-009, -8.57955E-010
8, 0.00000, -0.588873, -0.206649, -0.588766, -0.206641, -0.588778, -0.206667, 7.56601E-009, -2.55057E-009
9, 0.00000, 0.0261859, -0.211628, 0.0262014, -0.211624, 0.0261972, -0.211635, 9.04217E-011, -2.42121E-010
10, 0.00000, 0.291642, -0.217759, 0.291659, -0.217749, 0.291661, -0.217764, -3.51832E-010, -6.51884E-010
11, 0.00000, 1.39153, -0.219141, 1.39156, -0.219156, 1.39159, -0.219207, -2.75404E-008, -7.53593E-009
12, 0.00000, 1.4491, -0.217643, 1.44912, -0.217667, 1.44916, -0.217643, -3.02981E-008, -8.40904E-009
13, 0.00000, 1.02774, -0.218557, 1.02777, -0.218573, 1.02779, -0.218555, -1.23045E-008, -4.66044E-009
14, 0.00000, 0.0478621, -0.222825, 0.0478449, -0.222834, 0.0478522, -0.222817, 1.40858E-010, -2.52655E-010
15, 0.00000, -0.46851, -0.232108, -0.468509, -0.232114, -0.468506, -0.23211, 4.18579E-009, -1.67649E-009
16, 0.00000, -0.809522, -0.255046, -0.809514, -0.255062, -0.809502, -0.255049, 2.05895E-008, -5.31354E-009
17, 0.00000, -0.93586, -0.296546, -0.935843, -0.296565, -0.935825, -0.296547, 3.48155E-008, -8.58672E-009
18, 0.00000, -1.03839, -0.330219, -1.03839, -0.330248, -1.03838, -0.330232, 5.06538E-008, -1.21735E-008
19, 0.00000, -1.07883, -0.343501, -1.07881, -0.343531, -1.07879, -0.343504, 5.85459E-008, -1.39959E-008
20, 0.00000, -1.1022, -0.351176, -1.10218, -0.351206, -1.10215, -0.351178, 6.34858E-008, -1.51566E-008
21, 0.00000, -1.04331, -0.342222, -1.04343, -0.342282, -1.04338, -0.342214, 5.19234E-008, -1.2092E-008
22, 0.00000, -0.986282, -0.313107, -0.98625, -0.313126, -0.986229, -0.313103, 4.22888E-008, -1.0281E-008
23, 0.00000, -0.842177, -0.265741, -0.842172, -0.265755, -0.842136, -0.265732, 2.38568E-008, -5.95908E-009
24, 0.00000, -0.670054, -0.209206, -0.669983, -0.209202, -0.66998, -0.209214, 1.09022E-008, -3.10652E-009
25, 0.00000, -0.589395, -0.161898, -0.589356, -0.161898, -0.589351, -0.161904, 6.45554E-009, -1.76655E-009
26, 0.00000, -0.501025, -0.137191, -0.500938, -0.137172, -0.50092, -0.137202, 4.02537E-009, -1.20743E-009
27, 0.00000, -0.454015, -0.125614, -0.453971, -0.125606, -0.453962, -0.12562, 2.8271E-009, -8.37615E-010
28, 0.00000, -0.391819, -0.121611, -0.391778, -0.121605, -0.391773, -0.12162, 1.88425E-009, -6.19539E-010
29, 0.00000, -0.347046, -0.126701, -0.347034, -0.126639, -0.347014, -0.126676, 1.52823E-009, -4.52086E-010
30, 0.00000, -0.422951, -0.146102, -0.422946, -0.146115, -0.422946, -0.146113, 2.42657E-009, -7.81392E-010
