hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 189.971, -110.438, -191.097, -109.365, 0.720294, 220.444, -4.8794E-006, -9.0915E-006, -0.351873, 0.395841, 0.5178, 0.106177, -0.166464, -0.500942, 0.00541585, 0.00801579
2, 0.00000, 190.884, -110.809, -191.793, -109.955, 0.578649, 221.296, -4.06128E-006, -7.53177E-006, -0.297047, 0.333751, 0.436907, 0.0899293, -0.140252, -0.422978, 0.00445364, 0.00682905
3, 0.00000, 191.316, -110.984, -192.121, -110.235, 0.510838, 221.699, -3.70827E-006, -6.82538E-006, -0.271495, 0.304866, 0.399248, 0.082324, -0.128065, -0.386616, 0.0040193, 0.00625087
4, 0.00000, 191.596, -111.068, -192.311, -110.429, 0.445609, 221.947, -3.57386E-006, -6.57269E-006, -0.262608, 0.294705, 0.386059, 0.0797393, -0.12374, -0.37393, 0.00386221, 0.00605826
5, 0.00000, 191.465, -111.002, -192.2, -110.349, 0.457669, 221.818, -3.71913E-006, -6.87215E-006, -0.273657, 0.307122, 0.402287, 0.083067, -0.128956, -0.389631, 0.00404492, 0.00631389
6, 0.00000, 191.022, -110.762, -191.813, -110.087, 0.483624, 221.377, -4.29985E-006, -8.01677E-006, -0.316424, 0.355168, 0.465119, 0.0959641, -0.149132, -0.450406, 0.00473735, 0.0072906
7, 0.00000, 189.984, -110.249, -190.949, -109.452, 0.579421, 220.367, -5.50496E-006, -1.04013E-005, -0.40304, 0.452709, 0.592508, 0.121911, -0.190158, -0.573457, 0.00619529, 0.00923884
8, 0.00000, 188.267, -109.711, -189.78, -108.28, 0.954621, 218.849, -5.85787E-006, -9.49513E-006, -0.341292, 0.445279, 0.554792, 0.0721274, -0.214199, -0.51586, 0.00655667, 0.00794855
9, 0.00000, 194.299, -110.521, -193.044, -112.888, -1.19742, 223.728, -1.77379E-006, 1.24211E-005, 0.662097, -0.13214, -0.445727, -0.506712, -0.215736, 0.639122, 0.00113972, -0.0126923
10, 0.00000, 196.778, -110.77, -194.331, -114.826, -2.15198, 225.713, -4.39923E-007, 2.06295E-005, 1.09148, -0.366028, -0.863685, -0.761841, -0.227305, 1.129, -5.21551E-005, -0.0217652
11, 0.00000, 206.677, -111.728, -199.497, -122.612, -6.02949, 233.71, 3.74541E-006, 4.68524E-005, 2.74489, -1.24586, -2.46041, -1.75875, -0.288317, 3.01555, 9.05093E-005, -0.0577847
12, 0.00000, 207.185, -111.782, -199.767, -123.011, -6.22573, 234.125, 3.93902E-006, 4.79321E-005, 2.82428, -1.28806, -2.53727, -1.80684, -0.291195, 3.10651, 0.000249684, -0.059544
13, 0.00000, 203.49, -111.466, -197.862, -120.08, -4.73942, 231.143, 2.65688E-006, 3.91403E-005, 2.20724, -0.968055, -1.94768, -1.42989, -0.26149, 2.40471, -0.000729604, -0.045906
14, 0.00000, 194.438, -110.43, -193.031, -113.041, -1.3277, 223.791, -1.77928E-006, 1.36509E-005, 0.726383, -0.155331, -0.498035, -0.550752, -0.227673, 0.70642, 0.00110363, -0.0139881
15, 0.00000, 189.326, -109.625, -190.163, -109.184, 0.410874, 219.596, -5.19098E-006, -3.36014E-006, -0.0690058, 0.315125, 0.306592, -0.0979272, -0.237646, -0.216365, 0.00525077, 0.00252708
16, 0.00000, 185.701, -108.826, -187.967, -106.557, 1.46414, 216.548, -8.09059E-006, -1.56795E-005, -0.563635, 0.638559, 0.831855, 0.167034, -0.269772, -0.802432, 0.00964191, 0.0125174
17, 0.00000, 184.098, -108.148, -186.74, -105.538, 1.68729, 215.064, -9.60371E-006, -1.89116E-005, -0.65984, 0.749151, 0.974528, 0.19435, -0.316844, -0.939075, 0.01176, 0.0144853
18, 0.00000, 182.781, -107.584, -185.729, -104.702, 1.86685, 213.84, -1.08631E-005, -2.1683E-005, -0.738991, 0.840448, 1.09203, 0.216568, -0.355779, -1.05141, 0.0135998, 0.01608
19, 0.00000, 182.258, -107.358, -185.328, -104.372, 1.93667, 213.353, -1.1365E-005, -2.28347E-005, -0.77046, 0.876827, 1.13875, 0.225324, -0.3713, -1.09602, 0.0143743, 0.016706
20, 0.00000, 181.955, -107.226, -185.095, -104.182, 1.97639, 213.071, -1.16546E-005, -2.35126E-005, -0.788723, 0.897957, 1.16586, 0.230393, -0.380319, -1.12191, 0.0148321, 0.0170695
21, 0.00000, 182.566, -107.437, -185.518, -104.587, 1.85891, 213.613, -1.12731E-005, -2.25613E-005, -0.766839, 0.871984, 1.13303, 0.224706, -0.369082, -1.0908, 0.0141628, 0.0166734
22, 0.00000, 183.451, -107.873, -186.245, -105.128, 1.77564, 214.464, -1.02225E-005, -2.02704E-005, -0.69863, 0.793867, 1.03209, 0.205258, -0.335896, -0.994119, 0.0126614, 0.0152647
23, 0.00000, 185.29, -108.652, -187.653, -106.295, 1.52192, 216.168, -8.48232E-006, -1.64958E-005, -0.588299, 0.66687, 0.868418, 0.174068, -0.28181, -0.837463, 0.0101734, 0.0130201
24, 0.00000, 187.439, -109.555, -189.299, -107.668, 1.21493, 218.164, -6.49178E-006, -1.23899E-005, -0.458969, 0.518777, 0.6768, 0.136901, -0.218868, -0.653598, 0.0075291, 0.0103103
25, 0.00000, 188.718, -110.193, -190.364, -108.445, 1.10379, 219.404, -4.96752E-006, -9.299E-006, -0.353035, 0.39869, 0.520557, 0.105664, -0.16815, -0.503038, 0.00559522, 0.00798245
26, 0.00000, 189.729, -110.589, -191.12, -109.104, 0.936716, 220.338, -4.15777E-006, -7.73004E-006, -0.298008, 0.336022, 0.439114, 0.0895528, -0.141568, -0.424622, 0.00461954, 0.00677662
27, 0.00000, 190.242, -110.781, -191.496, -109.443, 0.84585, 220.807, -3.78121E-006, -6.9866E-006, -0.272297, 0.306775, 0.401102, 0.0820017, -0.129179, -0.388005, 0.00415555, 0.00621414
28, 0.00000, 190.763, -110.912, -191.826, -109.814, 0.706786, 221.254, -3.62667E-006, -6.69434E-006, -0.263213, 0.296137, 0.38745, 0.0794995, -0.124576, -0.374974, 0.00396522, 0.00603218
29, 0.00000, 191.03, -110.921, -191.948, -110.027, 0.593947, 221.457, -3.74465E-006, -6.91383E-006, -0.273954, 0.307873, 0.403028, 0.0829282, -0.129411, -0.390193, 0.00408135, 0.00630521
30, 0.00000, 190.197, -110.607, -191.333, -109.478, 0.74118, 220.691, -4.37751E-006, -8.136E-006, -0.317103, 0.356841, 0.466767, 0.095667, -0.150123, -0.451622, 0.00483711, 0.00725066
31, 0.00000, 188.567, -109.974, -190.119, -108.412, 1.01478, 219.19, -5.66405E-006, -1.06785E-005, -0.404559, 0.456403, 0.596125, 0.121263, -0.19233, -0.576146, 0.00642824, 0.00915883
32, 0.00000, 188.222, -109.703, -189.753, -108.246, 0.969926, 218.811, -5.87239E-006, -9.50917E-006, -0.342769, 0.446192, 0.556354, 0.0729482, -0.214262, -0.517608, 0.00654944, 0.00797664
33, 0.00000, 192.382, -110.275, -192.011, -111.415, -0.501301, 222.175, -3.1061E-006, 5.19293E-006, 0.311058, 0.068615, -0.0962796, -0.303252, -0.21433, 0.2348, 0.00265818, -0.00535527
34, 0.00000, 195.326, -110.593, -193.55, -113.704, -1.61549, 224.534, -1.22674E-006, 1.61322E-005, 0.852947, -0.232709, -0.628493, -0.621738, -0.223827, 0.855002, 0.000599584, -0.016688
35, 0.00000, 199.161, -110.997, -195.564, -116.698, -3.0845, 227.625, 1.06141E-006, 2.98386E-005, 1.59904, -0.644029, -1.35961, -1.063, -0.239408, 1.70984, -0.00107624, -0.0326506
36, 0.00000, 199.835, -111.086, -195.934, -117.217, -3.32976, 228.179, 1.4009E-006, 3.15922E-005, 1.70417, -0.702937, -1.46364, -1.12487, -0.240749, 1.83114, -0.00117327, -0.0349278
