hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 189.719, -110.331, -190.863, -109.197, 0.758825, 220.177, 3.33123E-005, -0.000163689, -0.191854, 0.215898, 0.282404, 0.0578661, -0.0908371, -0.27319, 0.000287117, -0.000574583
2, 0.00000, 190.628, -110.705, -191.564, -109.784, 0.619688, 221.03, 2.70258E-005, -0.000135886, -0.161977, 0.182055, 0.238305, 0.049012, -0.0765331, -0.230665, 0.000204241, -0.000402543
3, 0.00000, 191.053, -110.878, -191.891, -110.061, 0.552832, 221.43, 2.42454E-005, -0.000123387, -0.148068, 0.166327, 0.217788, 0.0448705, -0.0698908, -0.210859, 0.000170457, -0.000338399
4, 0.00000, 191.264, -110.938, -192.032, -110.21, 0.498432, 221.616, 2.3247E-005, -0.000118803, -0.143248, 0.160834, 0.210647, 0.0434589, -0.067556, -0.203985, 0.000157475, -0.000307604
5, 0.00000, 191.107, -110.862, -191.901, -110.113, 0.514509, 221.463, 2.44001E-005, -0.000124005, -0.149269, 0.167613, 0.219508, 0.0452678, -0.0704098, -0.212552, 0.000170341, -0.000328211
6, 0.00000, 190.528, -110.57, -191.41, -109.764, 0.560473, 220.895, 2.90662E-005, -0.000144811, -0.172666, 0.193953, 0.253928, 0.0522957, -0.0814882, -0.245818, 0.000225886, -0.000429896
7, 0.00000, 189.285, -109.976, -190.383, -108.998, 0.684514, 219.691, 3.95888E-005, -0.000189383, -0.220154, 0.247545, 0.323833, 0.0664568, -0.104053, -0.313281, 0.00037392, -0.000721215
8, 0.00000, 188.199, -109.668, -189.664, -108.228, 0.966075, 218.736, 4.63032E-005, -0.000216637, -0.246513, 0.277901, 0.363081, 0.0739712, -0.117057, -0.350905, 0.000488459, -0.000967108
9, 0.00000, 192.539, -109.869, -191.695, -111.744, -0.918931, 222.071, 4.51676E-005, -0.000200304, -0.250582, 0.277376, 0.365232, 0.0779266, -0.115045, -0.354962, 0.000395313, -0.000340774
10, 0.00000, 194.287, -109.867, -192.453, -113.201, -1.74545, 223.387, 4.58719E-005, -0.000198028, -0.257184, 0.28247, 0.373152, 0.0811504, -0.116341, -0.363509, 0.000372709, -0.000110934
11, 0.00000, 201.532, -110, -195.746, -119.199, -5.08717, 228.965, 4.25328E-005, -0.00016918, -0.255904, 0.272715, 0.364831, 0.0851965, -0.109127, -0.358681, 0.000198748, 0.000769359
12, 0.00000, 201.922, -110.023, -195.937, -119.516, -5.25594, 229.274, 4.17765E-005, -0.000166335, -0.253709, 0.269982, 0.361405, 0.084681, -0.107876, -0.35547, 0.000180007, 0.000807588
13, 0.00000, 199.196, -109.991, -194.706, -117.247, -3.9802, 227.173, 4.32712E-005, -0.000177561, -0.255955, 0.275451, 0.36701, 0.0837902, -0.1113, -0.359751, 0.000245356, 0.000509507
14, 0.00000, 192.528, -109.724, -191.569, -111.8, -1.02538, 221.994, 4.80161E-005, -0.000210777, -0.264087, 0.292006, 0.384651, 0.082272, -0.120992, -0.373924, 0.000428507, -0.000353207
15, 0.00000, 188.712, -109.376, -189.64, -108.783, 0.501457, 218.98, 5.31913E-005, -0.000240087, -0.277225, 0.311053, 0.407143, 0.0839078, -0.130494, -0.393976, 0.000576407, -0.000985462
16, 0.00000, 185.84, -108.855, -187.989, -106.637, 1.44347, 216.614, 6.25481E-005, -0.000282524, -0.306898, 0.347548, 0.452978, 0.0910835, -0.146861, -0.436978, 0.000781946, -0.00165374
17, 0.00000, 184.231, -108.17, -186.745, -105.614, 1.66503, 215.115, 7.83936E-005, -0.000341686, -0.359305, 0.407749, 0.530706, 0.106003, -0.172494, -0.511422, 0.00109246, -0.0023293
