hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.068309, -0.0224515, -0.0683094, -0.022452, -0.068308, -0.0224515, 3.6134E-010, -1.00174E-010
2, 0.00000, -0.0578865, -0.0190263, -0.0578864, -0.0190264, -0.0578863, -0.0190263, 2.05732E-010, -6.03063E-011
3, 0.00000, -0.0530065, -0.0174229, -0.0530063, -0.0174228, -0.053005, -0.0174223, 1.54558E-010, -4.49402E-011
4, 0.00000, -0.051317, -0.0168674, -0.0513171, -0.0168675, -0.0513163, -0.0168671, 1.34528E-010, -4.06476E-011
5, 0.00000, -0.0534369, -0.0175637, -0.0534369, -0.0175638, -0.0534372, -0.0175638, 1.51258E-010, -4.69039E-011
6, 0.00000, -0.061645, -0.0202617, -0.0616456, -0.020262, -0.0616473, -0.0202625, 2.32679E-010, -7.3231E-011
7, 0.00000, -0.0781506, -0.0256867, -0.0781508, -0.025687, -0.0781507, -0.0256868, 5.0873E-010, -1.5234E-010
8, 0.00000, -0.0872001, -0.0286613, -0.0871974, -0.0286608, -0.0871969, -0.0286602, 8.33417E-010, -2.23368E-010
9, 0.00000, -0.0892972, -0.0293504, -0.0892952, -0.0293501, -0.0892954, -0.0293499, 2.55505E-010, -2.21011E-010
10, 0.00000, -0.0918849, -0.030201, -0.091882, -0.0302004, -0.0918817, -0.0302, 7.6809E-011, -2.33274E-010
11, 0.00000, -0.0925301, -0.030413, -0.0925262, -0.030412, -0.0925271, -0.0304121, -4.64534E-010, -2.07658E-010
12, 0.00000, -0.0918055, -0.0301749, -0.091805, -0.030175, -0.0918049, -0.0301748, -4.79049E-010, -1.97216E-010
13, 0.00000, -0.0921999, -0.0303045, -0.092201, -0.0303051, -0.0922007, -0.0303048, -3.33302E-010, -2.09721E-010
14, 0.00000, -0.0940165, -0.0309016, -0.0940191, -0.0309027, -0.0940185, -0.0309024, 2.76057E-010, -2.52665E-010
15, 0.00000, -0.0979344, -0.0321893, -0.0979356, -0.0321901, -0.0979356, -0.0321899, 9.32684E-010, -3.10877E-010
16, 0.00000, -0.107609, -0.035369, -0.107611, -0.0353701, -0.107611, -0.0353699, 1.90449E-009, -4.39065E-010
17, 0.00000, -0.125117, -0.0411236, -0.125118, -0.0411248, -0.125118, -0.0411244, 3.30091E-009, -7.22946E-010
18, 0.00000, -0.137976, -0.0453503, -0.139315, -0.0457923, -0.139321, -0.0457909, -1.8763E-010, 1.42288E-009
19, 0.00000, -0.142466, -0.0468249, -0.144504, -0.0474973, -0.14492, -0.0476331, -2.25289E-009, 2.11549E-009
20, 0.00000, -0.145032, -0.047669, -0.147096, -0.0483484, -0.148165, -0.0486999, -3.18163E-009, 1.14308E-009
21, 0.00000, -0.142329, -0.0467815, -0.144369, -0.0474515, -0.144401, -0.0474632, -1.39614E-009, 2.7224E-009
22, 0.00000, -0.132102, -0.0434195, -0.132108, -0.0434221, -0.132105, -0.0434208, 3.95683E-009, -8.22033E-010
23, 0.00000, -0.112119, -0.0368516, -0.112123, -0.0368536, -0.112121, -0.0368524, 2.20921E-009, -4.96029E-010
24, 0.00000, -0.088275, -0.0290144, -0.0882698, -0.029013, -0.0882698, -0.0290129, 9.67045E-010, -2.38343E-010
25, 0.00000, -0.0683128, -0.0224531, -0.0683101, -0.0224523, -0.06831, -0.0224525, 4.32164E-010, -1.06598E-010
26, 0.00000, -0.0578997, -0.01903, -0.057894, -0.0190278, -0.0578926, -0.0190284, 2.57066E-010, -6.5714E-011
27, 0.00000, -0.053008, -0.0174224, -0.0530053, -0.0174214, -0.0530047, -0.0174218, 1.87492E-010, -4.86078E-011
28, 0.00000, -0.0513192, -0.0168674, -0.0513173, -0.0168667, -0.0513169, -0.016867, 1.58014E-010, -4.33293E-011
29, 0.00000, -0.0534379, -0.0175642, -0.0534382, -0.0175644, -0.0534385, -0.0175644, 1.63203E-010, -4.71292E-011
30, 0.00000, -0.0616532, -0.0202643, -0.0616531, -0.0202645, -0.0616529, -0.0202643, 2.6883E-010, -7.38378E-011
31, 0.00000, -0.0781491, -0.0256862, -0.0781509, -0.0256871, -0.0781505, -0.0256868, 6.08699E-010, -1.55151E-010
32, 0.00000, -0.0871882, -0.0286572, -0.0871894, -0.0286579, -0.0871896, -0.0286578, 8.26972E-010, -2.20494E-010
33, 0.00000, -0.0892981, -0.0293508, -0.0892957, -0.0293503, -0.0892958, -0.02935, 4.31954E-010, -2.27145E-010
34, 0.00000, -0.0918816, -0.0301998, -0.091881, -0.0302, -0.0918802, -0.0301995, 1.8814E-010, -2.35273E-010
35, 0.00000, -0.0925337, -0.0304142, -0.092531, -0.0304137, -0.0925305, -0.0304132, -9.63004E-011, -2.30606E-010
36, 0.00000, -0.0918179, -0.0301789, -0.0918145, -0.0301781, -0.0918129, -0.0301774, -1.35064E-010, -2.22816E-010
37, 0.00000, -0.0921993, -0.0303043, -0.0922009, -0.0303051, -0.0922012, -0.030305, 2.72865E-011, -2.30772E-010
38, 0.00000, -0.0940056, -0.0308981, -0.0940116, -0.0309002, -0.0940129, -0.0309007, 4.38492E-010, -2.58237E-010
39, 0.00000, -0.0979339, -0.0321891, -0.0979355, -0.0321901, -0.0979355, -0.0321898, 1.14943E-009, -3.17254E-010
40, 0.00000, -0.107606, -0.0353677, -0.107607, -0.0353688, -0.107608, -0.0353686, 1.49019E-009, -4.2168E-010
41, 0.00000, -0.125121, -0.0411252, -0.125138, -0.0411312, -0.125135, -0.0411305, 3.22972E-009, -6.9455E-010
42, 0.00000, -0.137977, -0.0453507, -0.139328, -0.0457955, -0.139332, -0.0457958, -2.07057E-010, 1.44332E-009
43, 0.00000, -0.142463, -0.0468244, -0.144509, -0.0474989, -0.144907, -0.0476278, -2.22183E-009, 2.1653E-009
44, 0.00000, -0.14503, -0.0476686, -0.147098, -0.0483495, -0.148158, -0.0486969, -3.17555E-009, 1.16725E-009
45, 0.00000, -0.142027, -0.046682, -0.144055, -0.0473485, -0.144394, -0.0474606, -2.08669E-009, 2.21808E-009
46, 0.00000, -0.132102, -0.0434191, -0.132112, -0.0434236, -0.132107, -0.0434217, 3.94182E-009, -8.09584E-010
47, 0.00000, -0.112121, -0.0368523, -0.112117, -0.0368516, -0.112116, -0.0368504, 2.23483E-009, -5.08724E-010
48, 0.00000, -0.088275, -0.0290144, -0.0882698, -0.029013, -0.0882698, -0.0290129, 9.67045E-010, -2.38379E-010
49, 0.00000, -0.068307, -0.0224513, -0.0683084, -0.022452, -0.0683085, -0.0224519, 3.97957E-010, -1.01963E-010
50, 0.00000, -0.0578891, -0.0190272, -0.0578878, -0.0190269, -0.0578875, -0.0190267, 2.34708E-010, -6.19169E-011
51, 0.00000, -0.0530043, -0.0174217, -0.0530023, -0.0174211, -0.0530026, -0.0174211, 1.9914E-010, -4.87887E-011
52, 0.00000, -0.0513234, -0.0168692, -0.0513216, -0.0168687, -0.0513209, -0.0168684, 1.81104E-010, -4.35483E-011
53, 0.00000, -0.0534375, -0.017564, -0.0534379, -0.0175642, -0.0534379, -0.0175642, 2.01463E-010, -4.83768E-011
54, 0.00000, -0.0616484, -0.0202626, -0.0616506, -0.0202635, -0.0616507, -0.0202636, 3.14657E-010, -7.46188E-011
55, 0.00000, -0.0781473, -0.0256847, -0.0781487, -0.0256858, -0.0781476, -0.0256853, 5.30586E-010, -1.51617E-010
