hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 187.974, -108.882, -188.952, -108.434, 0.412788, 218.259, 7.47377E-005, -0.000339962, -0.220297, 0.247044, 0.323251, 0.0666804, -0.103458, -0.312772, 0.000503972, -0.000952091
2, 0.00000, 189.197, -109.5, -189.982, -109.166, 0.323596, 219.449, 6.01995E-005, -0.000281114, -0.18559, 0.207976, 0.272325, 0.0563326, -0.0870892, -0.263652, 0.00035497, -0.000655831
3, 0.00000, 189.772, -109.788, -190.465, -109.511, 0.279571, 220.007, 5.37038E-005, -0.000254784, -0.16948, 0.189858, 0.248684, 0.05151, -0.0794954, -0.240823, 0.000291308, -0.000545221
4, 0.00000, 190.091, -109.908, -190.701, -109.721, 0.224989, 220.301, 5.14722E-005, -0.000245026, -0.163873, 0.183483, 0.240405, 0.0498685, -0.0768019, -0.232859, 0.00026934, -0.000492455
5, 0.00000, 189.893, -109.793, -190.521, -109.609, 0.227875, 220.101, 5.42194E-005, -0.000255922, -0.170823, 0.191259, 0.250578, 0.0519719, -0.0800504, -0.242703, 0.000295238, -0.000528483
6, 0.00000, 189.186, -109.355, -189.859, -109.22, 0.218753, 219.376, 6.49473E-005, -0.000299115, -0.197837, 0.221455, 0.290086, 0.0601564, -0.092644, -0.280919, 0.000395102, -0.000692101
7, 0.00000, 187.62, -108.441, -188.442, -108.338, 0.239225, 217.801, 8.89214E-005, -0.000391704, -0.252917, 0.283089, 0.370597, 0.0767492, -0.118331, -0.358687, 0.000650241, -0.00115115
8, 0.00000, 185.809, -107.743, -187.097, -107.16, 0.534465, 216.137, 0.000105143, -0.00045331, -0.284273, 0.319089, 0.416999, 0.0856492, -0.133599, -0.403102, 0.000872257, -0.0016362
9, 0.00000, 192.293, -108.738, -190.688, -112.043, -1.6666, 221.411, 9.88372E-005, -0.000408663, -0.286467, 0.314624, 0.415329, 0.0901186, -0.129515, -0.404276, 0.000653784, -0.000467101
10, 0.00000, 194.927, -109.028, -192.068, -114.083, -2.65288, 223.522, 9.90203E-005, -0.000400009, -0.293043, 0.318842, 0.422662, 0.0938114, -0.130213, -0.412609, 0.000594289, -4.49051E-005
