hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 191.128, -111.465, -192.388, -109.827, 1.01393, 221.725, -5.94583E-006, -1.12861E-005, -0.578637, 0.652776, 0.85368, 0.174082, -0.275581, -0.825693, 0.00648413, 0.010121
2, 0.00000, 191.806, -111.657, -192.843, -110.311, 0.835207, 222.328, -5.01581E-006, -9.45513E-006, -0.489278, 0.551088, 0.721224, 0.147728, -0.232331, -0.698, 0.00540007, 0.00863994
3, 0.00000, 192.124, -111.746, -193.056, -110.539, 0.750141, 222.611, -4.58694E-006, -8.6154E-006, -0.44757, 0.503735, 0.659474, 0.135362, -0.212224, -0.638411, 0.0049074, 0.00793044
4, 0.00000, 192.285, -111.771, -193.147, -110.663, 0.69131, 222.744, -4.44082E-006, -8.31504E-006, -0.433143, 0.487236, 0.638023, 0.131146, -0.205176, -0.617759, 0.00473739, 0.00769214
5, 0.00000, 192.168, -111.73, -193.062, -110.583, 0.716, 222.637, -4.62675E-006, -8.67163E-006, -0.451231, 0.507687, 0.664738, 0.136556, -0.213829, -0.643577, 0.00494814, 0.0080065
6, 0.00000, 191.742, -111.57, -192.742, -110.298, 0.796417, 222.239, -5.35704E-006, -1.00717E-005, -0.521408, 0.587047, 0.768383, 0.157527, -0.2474, -0.743704, 0.00578242, 0.0092013
7, 0.00000, 190.822, -111.248, -192.074, -109.672, 0.988903, 221.394, -6.84199E-006, -1.29859E-005, -0.66324, 0.74799, 0.978201, 0.199567, -0.315659, -0.946104, 0.00753903, 0.011533
8, 0.00000, 189.977, -111.118, -191.599, -109.015, 1.30278, 220.693, -7.65941E-006, -1.47093E-005, -0.741471, 0.838624, 1.09538, 0.221737, -0.354819, -1.05841, 0.00857026, 0.0127563
9, 0.00000, 193.207, -110.91, -192.828, -111.822, -0.416612, 223.03, -7.95542E-006, -1.43168E-005, -0.757041, 0.842337, 1.10749, 0.233685, -0.351224, -1.07534, 0.00872668, 0.0136383
10, 0.00000, 194.507, -110.767, -193.278, -112.982, -1.15805, 223.95, -8.22366E-006, -1.4456E-005, -0.778252, 0.859958, 1.13377, 0.243347, -0.356262, -1.1031, 0.00896521, 0.0142511
11, 0.00000, 199.89, -110.263, -195.241, -117.76, -4.17612, 227.844, -8.45324E-006, -1.35019E-005, -0.779917, 0.838612, 1.11767, 0.256012, -0.338192, -1.09626, 0.00889535, 0.0151358
12, 0.00000, 200.179, -110.247, -195.355, -118.013, -4.33084, 228.059, -8.41021E-006, -1.33384E-005, -0.773549, 0.830638, 1.10765, 0.254522, -0.334511, -1.08687, 0.00881486, 0.0150525
13, 0.00000, 198.156, -110.45, -194.625, -116.207, -3.18129, 226.595, -8.37208E-006, -1.37647E-005, -0.778326, 0.844345, 1.12139, 0.251602, -0.34359, -1.09703, 0.00889397, 0.0148506
14, 0.00000, 193.198, -110.808, -192.738, -111.861, -0.491293, 222.974, -8.37659E-006, -1.50786E-005, -0.797621, 0.886815, 1.1663, 0.246522, -0.369516, -1.13264, 0.00921225, 0.0143772
15, 0.00000, 190.357, -110.87, -191.555, -109.444, 0.928338, 220.859, -8.66585E-006, -1.6426E-005, -0.833773, 0.939523, 1.22891, 0.251063, -0.396218, -1.1886, 0.00974898, 0.0144409
16, 0.00000, 188.217, -110.731, -190.518, -107.714, 1.84777, 219.194, -9.54897E-006, -1.8706E-005, -0.919609, 1.04544, 1.36239, 0.271931, -0.444214, -1.31405, 0.0109828, 0.0153824
17, 0.00000, 187.017, -110.374, -189.708, -106.872, 2.14432, 218.134, -1.12191E-005, -2.22314E-005, -1.07352, 1.22381, 1.59267, 0.315356, -0.521137, -1.53451, 0.0132027, 0.0175681
18, 0.00000, 186.075, -110.096, -189.019, -106.184, 2.40297, 217.255, -1.26473E-005, -2.51208E-005, -1.19927, 1.37022, 1.78164, 0.350537, -0.584771, -1.71497, 0.0150444, 0.0193342
19, 0.00000, 185.717, -109.999, -188.75, -105.924, 2.5083, 216.896, -1.32386E-005, -2.61827E-005, -1.24885, 1.42819, 1.85656, 0.364431, -0.610176, -1.78651, 0.0156976, 0.020071
20, 0.00000, 185.511, -109.944, -188.598, -105.776, 2.56835, 216.69, -1.35451E-005, -2.67951E-005, -1.27755, 1.46181, 1.89992, 0.372443, -0.624932, -1.82799, 0.0161052, 0.0205326
21, 0.00000, 185.843, -109.997, -188.814, -106.032, 2.44256, 217.005, -1.31508E-005, -2.59872E-005, -1.24386, 1.42163, 1.8485, 0.363411, -0.607056, -1.77916, 0.0155738, 0.0201011
22, 0.00000, 186.545, -110.233, -189.374, -106.533, 2.26763, 217.705, -1.19223E-005, -2.36446E-005, -1.13524, 1.2956, 1.68534, 0.332645, -0.552262, -1.62303, 0.014083, 0.0184292
23, 0.00000, 187.91, -110.64, -190.311, -107.498, 1.92427, 218.922, -9.98089E-006, -1.95982E-005, -0.959093, 1.0911, 1.42142, 0.283131, -0.463879, -1.37059, 0.0115353, 0.0159505
24, 0.00000, 189.516, -111.113, -191.396, -108.63, 1.52016, 220.345, -7.74334E-006, -1.50099E-005, -0.751108, 0.851302, 1.11097, 0.223669, -0.360828, -1.07279, 0.00870924, 0.0128281
25, 0.00000, 190.645, -111.512, -192.217, -109.396, 1.28828, 221.381, -5.9199E-006, -1.13872E-005, -0.578842, 0.654698, 0.855308, 0.173247, -0.277042, -0.826632, 0.00649582, 0.0100744
26, 0.00000, 191.362, -111.702, -192.688, -109.913, 1.08984, 222.012, -4.98704E-006, -9.5451E-006, -0.489466, 0.55261, 0.722517, 0.14709, -0.233473, -0.698753, 0.00540887, 0.00859827
