hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.140211, -0.0460847, -0.140212, -0.0460853, -0.140212, -0.0460853, -6.66192E-011, -8.20931E-012
2, 0.00000, -0.11882, -0.0390541, -0.118819, -0.0390541, -0.118819, -0.0390541, -4.63361E-011, -4.82604E-012
3, 0.00000, -0.108805, -0.0357631, -0.108804, -0.0357624, -0.108802, -0.0357619, -3.8325E-011, -3.66752E-012
4, 0.00000, -0.105336, -0.0346228, -0.105336, -0.0346225, -0.105335, -0.0346222, -3.56285E-011, -3.2432E-012
5, 0.00000, -0.109685, -0.0360516, -0.109686, -0.0360518, -0.109686, -0.036052, -3.87996E-011, -3.64422E-012
6, 0.00000, -0.126532, -0.041589, -0.126535, -0.0415899, -0.126537, -0.0415908, -5.26701E-011, -5.60732E-012
7, 0.00000, -0.160414, -0.0527255, -0.160415, -0.0527257, -0.160415, -0.0527258, -8.88186E-011, -1.21303E-011
8, 0.00000, -0.178982, -0.0588286, -0.178979, -0.0588277, -0.178978, -0.0588274, -1.08052E-010, -1.76551E-011
9, 0.00000, -0.183292, -0.0602452, -0.18329, -0.0602446, -0.18329, -0.0602446, -5.24715E-011, -7.17267E-012
10, 0.00000, -0.188601, -0.06199, -0.188598, -0.0619892, -0.188597, -0.061989, -3.85899E-011, -5.15703E-012
11, 0.00000, -0.189928, -0.0624263, -0.189924, -0.062425, -0.189925, -0.0624253, -5.93392E-012, -3.92476E-012
12, 0.00000, -0.188442, -0.0619379, -0.188441, -0.0619377, -0.188442, -0.0619377, -5.3018E-012, -4.11318E-012
13, 0.00000, -0.189254, -0.0622047, -0.189256, -0.0622054, -0.189255, -0.0622051, -1.11552E-011, -2.8945E-012
14, 0.00000, -0.192984, -0.0634307, -0.192987, -0.0634316, -0.192986, -0.0634316, -5.70358E-011, -8.02355E-012
15, 0.00000, -0.201024, -0.0660735, -0.201026, -0.0660741, -0.201026, -0.0660742, -1.14338E-010, -1.97254E-011
16, 0.00000, -0.220883, -0.0726006, -0.220885, -0.0726015, -0.220886, -0.0726018, -1.89565E-010, -3.91301E-011
17, 0.00000, -0.25682, -0.0844127, -0.256823, -0.0844134, -0.256823, -0.0844137, -2.71463E-010, -6.60479E-011
18, 0.00000, -0.286008, -0.0940062, -0.28598, -0.0939978, -0.285988, -0.093998, -3.49765E-010, -9.26759E-011
19, 0.00000, -0.297496, -0.0977811, -0.297491, -0.0977814, -0.297479, -0.0977765, -3.8121E-010, -1.00999E-010
20, 0.00000, -0.304136, -0.0999643, -0.304136, -0.0999645, -0.304132, -0.0999634, -3.99994E-010, -1.06868E-010
21, 0.00000, -0.29635, -0.0974063, -0.296369, -0.0974113, -0.296383, -0.0974173, -3.74897E-010, -9.73825E-011
22, 0.00000, -0.271158, -0.0891252, -0.271165, -0.0891275, -0.271162, -0.0891267, -3.08482E-010, -7.81147E-011
23, 0.00000, -0.230135, -0.0756417, -0.230139, -0.0756433, -0.230137, -0.0756426, -2.08823E-010, -4.4943E-011
24, 0.00000, -0.18119, -0.0595541, -0.181184, -0.0595522, -0.181184, -0.0595524, -1.20173E-010, -2.0467E-011
25, 0.00000, -0.140218, -0.0460871, -0.140215, -0.0460861, -0.140215, -0.0460864, -6.80016E-011, -9.11771E-012
26, 0.00000, -0.118834, -0.0390578, -0.118828, -0.0390553, -0.118826, -0.039056, -4.73487E-011, -5.49626E-012
27, 0.00000, -0.1088, -0.0357602, -0.108797, -0.035759, -0.108797, -0.0357595, -3.89511E-011, -4.05593E-012
28, 0.00000, -0.105335, -0.0346215, -0.105333, -0.0346206, -0.105333, -0.034621, -3.60962E-011, -3.53339E-012
29, 0.00000, -0.109689, -0.036053, -0.109689, -0.0360531, -0.109689, -0.0360532, -3.90615E-011, -3.78663E-012
30, 0.00000, -0.126551, -0.0415952, -0.126551, -0.0415953, -0.126551, -0.0415953, -5.34552E-011, -6.06805E-012
31, 0.00000, -0.160413, -0.0527252, -0.160415, -0.0527259, -0.160415, -0.0527259, -9.0653E-011, -1.32195E-011
32, 0.00000, -0.178967, -0.0588237, -0.178969, -0.0588243, -0.17897, -0.0588245, -1.08009E-010, -1.74987E-011
33, 0.00000, -0.183293, -0.0602456, -0.183291, -0.0602448, -0.183291, -0.0602448, -6.99647E-011, -1.01537E-011
34, 0.00000, -0.188598, -0.061989, -0.188597, -0.0619889, -0.188596, -0.0619886, -4.80159E-011, -6.52236E-012
35, 0.00000, -0.189932, -0.0624277, -0.18993, -0.062427, -0.189929, -0.0624267, -2.37867E-011, -3.51435E-012
36, 0.00000, -0.188452, -0.0619411, -0.18845, -0.0619403, -0.188448, -0.0619396, -2.05243E-011, -3.17528E-012
37, 0.00000, -0.189254, -0.062205, -0.189256, -0.0622055, -0.189257, -0.0622057, -3.30191E-011, -4.4824E-012
38, 0.00000, -0.192972, -0.0634269, -0.192978, -0.0634288, -0.19298, -0.0634296, -6.89397E-011, -1.02805E-011
39, 0.00000, -0.201024, -0.0660735, -0.201026, -0.0660741, -0.201026, -0.0660742, -1.32617E-010, -2.3918E-011
40, 0.00000, -0.220878, -0.0725985, -0.22088, -0.0725993, -0.220881, -0.0726, -1.82879E-010, -3.45666E-011
41, 0.00000, -0.256827, -0.0844151, -0.256846, -0.0844211, -0.256843, -0.084421, -2.70361E-010, -6.45521E-011
42, 0.00000, -0.286009, -0.0940067, -0.285997, -0.0940028, -0.286003, -0.0940041, -3.49031E-010, -9.14153E-011
43, 0.00000, -0.297498, -0.0977821, -0.297478, -0.0977769, -0.297465, -0.0977713, -3.82349E-010, -1.0241E-010
44, 0.00000, -0.304138, -0.0999649, -0.30413, -0.0999628, -0.304124, -0.0999603, -4.00594E-010, -1.0759E-010
45, 0.00000, -0.296356, -0.0974077, -0.296366, -0.0974104, -0.296375, -0.0974142, -3.76094E-010, -9.82849E-011
46, 0.00000, -0.271157, -0.0891249, -0.271169, -0.089129, -0.271164, -0.0891277, -3.0825E-010, -7.76836E-011
47, 0.00000, -0.230136, -0.0756423, -0.230132, -0.0756409, -0.230131, -0.0756403, -2.09261E-010, -4.55649E-011
48, 0.00000, -0.18119, -0.0595541, -0.181184, -0.0595522, -0.181184, -0.0595524, -1.20173E-010, -2.04679E-011
49, 0.00000, -0.140211, -0.046085, -0.140213, -0.0460856, -0.140213, -0.0460858, -6.73525E-011, -8.63999E-012
50, 0.00000, -0.118823, -0.0390551, -0.118821, -0.0390546, -0.118821, -0.0390545, -4.69082E-011, -5.16516E-012
51, 0.00000, -0.108796, -0.0357595, -0.108794, -0.0357588, -0.108794, -0.0357589, -3.9174E-011, -4.16938E-012
52, 0.00000, -0.10534, -0.0346237, -0.105338, -0.0346231, -0.105337, -0.0346228, -3.65483E-011, -3.77049E-012
53, 0.00000, -0.109688, -0.0360528, -0.109689, -0.0360529, -0.109689, -0.036053, -3.98138E-011, -4.20513E-012
54, 0.00000, -0.126546, -0.0415934, -0.126548, -0.0415942, -0.126549, -0.0415945, -5.43222E-011, -6.54357E-012
55, 0.00000, -0.160405, -0.0527219, -0.160409, -0.0527234, -0.16041, -0.0527239, -8.9104E-011, -1.22534E-011
56, 0.00000, -0.17897, -0.0588244, -0.17897, -0.0588247, -0.178971, -0.0588248, -1.14217E-010, -1.78179E-011
57, 0.00000, -0.183299, -0.0602476, -0.183296, -0.0602465, -0.183295, -0.0602464, -9.82827E-011, -1.57545E-011
58, 0.00000, -0.188603, -0.0619909, -0.188599, -0.0619897, -0.188599, -0.0619895, -9.0468E-011, -1.44327E-011
59, 0.00000, -0.189937, -0.0624294, -0.189933, -0.062428, -0.189932, -0.0624277, -7.83358E-011, -1.20873E-011
60, 0.00000, -0.188448, -0.06194, -0.188447, -0.0619395, -0.188446, -0.0619393, -7.65975E-011, -1.1615E-011
61, 0.00000, -0.189256, -0.0622054, -0.189257, -0.0622058, -0.189258, -0.062206, -8.40801E-011, -1.3006E-011
62, 0.00000, -0.19298, -0.0634294, -0.192983, -0.0634303, -0.192984, -0.0634307, -1.03479E-010, -1.70337E-011
63, 0.00000, -0.201025, -0.0660736, -0.201026, -0.0660739, -0.201026, -0.066074, -1.14825E-010, -1.98667E-011
64, 0.00000, -0.220884, -0.0726009, -0.220886, -0.0726016, -0.220886, -0.0726018, -1.89603E-010, -3.91746E-011
65, 0.00000, -0.256797, -0.084405, -0.256808, -0.0844079, -0.256811, -0.0844101, -2.70892E-010, -6.53674E-011
66, 0.00000, -0.286001, -0.0940043, -0.286025, -0.0940116, -0.286035, -0.0940163, -3.45907E-010, -8.79743E-011
67, 0.00000, -0.297498, -0.0977825, -0.297481, -0.0977778, -0.297466, -0.0977717, -3.82325E-010, -1.02297E-010
68, 0.00000, -0.304138, -0.099965, -0.304133, -0.0999637, -0.304128, -0.0999617, -4.00349E-010, -1.0728E-010
69, 0.00000, -0.296355, -0.0974075, -0.296363, -0.0974094, -0.296371, -0.0974127, -3.76314E-010, -9.85463E-011
70, 0.00000, -0.271157, -0.089125, -0.271166, -0.0891279, -0.271163, -0.0891271, -3.08368E-010, -7.79428E-011
71, 0.00000, -0.230135, -0.0756416, -0.230132, -0.0756405, -0.23013, -0.0756401, -2.09201E-010, -4.54839E-011
72, 0.00000, -0.181188, -0.0595535, -0.181184, -0.059552, -0.181183, -0.0595523, -1.20128E-010, -2.03983E-011
73, 0.00000, -0.150313, -0.0494056, -0.150312, -0.0494053, -0.150313, -0.0494054, -7.87094E-011, -1.09416E-011
74, 0.00000, -0.126927, -0.0417189, -0.126923, -0.0417178, -0.126923, -0.0417175, -5.42483E-011, -6.43884E-012
75, 0.00000, -0.114242, -0.0375497, -0.114241, -0.0375491, -0.11424, -0.037549, -4.30668E-011, -4.56797E-012
76, 0.00000, -0.108412, -0.0356334, -0.108412, -0.0356331, -0.108411, -0.0356331, -3.84179E-011, -3.84583E-012
77, 0.00000, -0.10836, -0.0356163, -0.10836, -0.0356163, -0.10836, -0.0356163, -3.83589E-011, -3.82019E-012
78, 0.00000, -0.114069, -0.0374928, -0.11407, -0.037493, -0.11407, -0.0374931, -4.28584E-011, -4.47586E-012
79, 0.00000, -0.127261, -0.0418286, -0.127262, -0.0418288, -0.127262, -0.0418289, -5.44244E-011, -6.3498E-012
80, 0.00000, -0.152218, -0.0500318, -0.152219, -0.0500321, -0.15222, -0.0500323, -7.43556E-011, -1.01777E-011
81, 0.00000, -0.19176, -0.0630283, -0.191758, -0.0630279, -0.191758, -0.0630275, -8.04464E-011, -1.24501E-011
82, 0.00000, -0.228508, -0.0751068, -0.228507, -0.0751066, -0.228507, -0.0751063, -8.96123E-011, -1.53933E-011
83, 0.00000, -0.247938, -0.0814925, -0.247936, -0.0814924, -0.247935, -0.0814918, -6.81937E-011, -1.18609E-011
84, 0.00000, -0.255321, -0.0839228, -0.255325, -0.0839227, -0.255327, -0.083924, -7.57935E-011, -1.3463E-011
85, 0.00000, -0.258781, -0.0850577, -0.258783, -0.0850579, -0.258784, -0.0850585, -9.93437E-011, -1.85528E-011
86, 0.00000, -0.263757, -0.0866929, -0.263759, -0.0866932, -0.263759, -0.0866935, -1.68914E-010, -3.63127E-011
87, 0.00000, -0.268687, -0.0883134, -0.268707, -0.0883195, -0.268715, -0.0883232, -2.77944E-010, -7.01596E-011
88, 0.00000, -0.274005, -0.0900608, -0.274, -0.0900597, -0.273997, -0.0900582, -3.21477E-010, -8.26298E-011
89, 0.00000, -0.287751, -0.0945795, -0.287755, -0.0945802, -0.287757, -0.0945815, -3.54001E-010, -9.17951E-011
90, 0.00000, -0.295384, -0.0970882, -0.295373, -0.0970846, -0.295382, -0.0970873, -3.71406E-010, -9.91815E-011
91, 0.00000, -0.293861, -0.0965876, -0.293864, -0.0965887, -0.293857, -0.0965862, -3.5466E-010, -8.83819E-011
92, 0.00000, -0.292733, -0.0962165, -0.292724, -0.0962138, -0.292721, -0.0962126, -3.6778E-010, -9.70874E-011
93, 0.00000, -0.281612, -0.0925618, -0.281633, -0.092568, -0.281637, -0.0925704, -3.35084E-010, -8.50096E-011
94, 0.00000, -0.259915, -0.0854298, -0.259919, -0.0854315, -0.259914, -0.0854299, -2.79517E-010, -6.8765E-011
95, 0.00000, -0.228706, -0.075172, -0.2287, -0.0751701, -0.2287, -0.07517, -2.06245E-010, -4.47101E-011
96, 0.00000, -0.190559, -0.0626336, -0.190554, -0.0626317, -0.190554, -0.062632, -1.34867E-010, -2.4181E-011
97, 0.00000, -0.153674, -0.0505101, -0.153677, -0.050511, -0.153677, -0.0505112, -8.25725E-011, -1.1615E-011
98, 0.00000, -0.129267, -0.0424882, -0.129264, -0.0424872, -0.129265, -0.0424872, -5.64343E-011, -6.80468E-012
99, 0.00000, -0.115123, -0.037839, -0.115121, -0.0378384, -0.115121, -0.0378383, -4.37985E-011, -4.6876E-012
100, 0.00000, -0.108076, -0.0355229, -0.108075, -0.0355226, -0.108075, -0.0355226, -3.81655E-011, -3.81332E-012
101, 0.00000, -0.105927, -0.0348164, -0.105926, -0.0348159, -0.105925, -0.0348157, -3.65604E-011, -3.59002E-012
102, 0.00000, -0.109415, -0.0359631, -0.109417, -0.0359638, -0.109418, -0.0359641, -3.91019E-011, -3.87834E-012
