hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -21.7731, -7.49788, -21.339, -7.36897, -21.3241, -7.35606, -6.64478E-005, 4.48788E-005
2, 0.00000, -18.1696, -6.34419, -17.8084, -6.23388, -17.798, -6.22523, -4.5937E-005, 3.13749E-005
3, 0.00000, -16.4733, -5.80296, -16.1453, -5.70227, -16.1368, -5.69533, -3.76596E-005, 2.59737E-005
4, 0.00000, -15.5595, -5.61501, -15.2437, -5.51756, -15.2362, -5.51136, -3.42466E-005, 2.38756E-005
5, 0.00000, -16.1578, -5.84963, -15.8282, -5.74793, -15.8201, -5.74111, -3.72087E-005, 2.58898E-005
6, 0.00000, -18.3086, -6.75473, -17.9252, -6.63717, -17.9148, -6.62828, -4.9472E-005, 3.43974E-005
7, 0.00000, -23.0061, -8.5789, -22.5096, -8.42958, -22.493, -8.41539, -8.17208E-005, 5.62168E-005
8, 0.00000, -28.0077, -9.60478, -27.4696, -9.43768, -27.4439, -9.41626, -0.000108309, 7.0298E-005
9, 0.00000, -9.36716, -9.73054, -9.20197, -9.56219, -9.19623, -9.55823, -1.79479E-005, 1.55577E-005
10, 0.00000, -1.75021, -10.0059, -1.71998, -9.83317, -1.71459, -9.83035, -1.05009E-005, 1.06546E-005
11, 0.00000, 29.8614, -10.2575, 29.4068, -10.0829, 29.4495, -10.0583, -9.79687E-005, 8.43146E-005
12, 0.00000, 31.5555, -10.2, 31.0777, -10.0269, 31.1239, -9.99902, -0.000106883, 9.23132E-005
13, 0.00000, 19.6107, -10.1281, 19.3013, -9.95542, 19.3253, -9.94124, -5.25068E-005, 4.40037E-005
14, 0.00000, -9.28194, -10.2454, -9.11814, -10.0685, -9.11181, -10.0639, -1.87796E-005, 1.64895E-005
15, 0.00000, -25.5244, -10.7533, -25.041, -10.5667, -25.0191, -10.5484, -9.08935E-005, 6.16595E-005
16, 0.00000, -37.4348, -11.9255, -36.6859, -11.7182, -36.6389, -11.6779, -0.000205385, 0.000127318
17, 0.00000, -43.6856, -13.9134, -42.784, -13.6712, -42.719, -13.6145, -0.000294045, 0.000178185
18, 0.00000, -48.7466, -15.5148, -47.7866, -15.2652, -47.7043, -15.1978, -0.000347493, 0.00021099
19, 0.00000, -50.7219, -16.1391, -49.7449, -15.8864, -49.6822, -15.8252, -0.000355613, 0.000225188
20, 0.00000, -51.8615, -16.4991, -50.8706, -16.2432, -50.821, -16.1859, -0.00036143, 0.000234646
21, 0.00000, -49.9165, -16.0719, -48.94, -15.8182, -48.8711, -15.7552, -0.000353904, 0.000222106
22, 0.00000, -46.183, -14.7045, -45.238, -14.4544, -45.1635, -14.3911, -0.000326722, 0.000197023
23, 0.00000, -39.0374, -12.4358, -38.2505, -12.2196, -38.1986, -12.1752, -0.000226333, 0.000139337
24, 0.00000, -30.6222, -9.74643, -30.0286, -9.57683, -29.9977, -9.55093, -0.000130593, 8.29046E-005
25, 0.00000, -24.8796, -7.52499, -24.4317, -7.3944, -24.4113, -7.37768, -7.82999E-005, 4.98505E-005
26, 0.00000, -21.0378, -6.3632, -20.6651, -6.2524, -20.6503, -6.24102, -5.46219E-005, 3.52144E-005
27, 0.00000, -19.1424, -5.81967, -18.8055, -5.71856, -18.7934, -5.70908, -4.46278E-005, 2.90312E-005
28, 0.00000, -17.633, -5.62692, -17.3109, -5.52912, -17.3009, -5.5212, -3.93192E-005, 2.61299E-005
29, 0.00000, -17.2404, -5.85577, -16.9077, -5.75355, -16.8982, -5.74614, -3.99856E-005, 2.71054E-005
30, 0.00000, -20.3606, -6.7671, -19.9703, -6.64968, -19.957, -6.63871, -5.56221E-005, 3.71348E-005
31, 0.00000, -26.5232, -8.60775, -26.0119, -8.45838, -25.9889, -8.43905, -9.63924E-005, 6.2467E-005
32, 0.00000, -28.1276, -9.60546, -27.5901, -9.43873, -27.564, -9.41684, -0.000108584, 7.03216E-005
33, 0.00000, -15.514, -9.75083, -15.2229, -9.58166, -15.2137, -9.57442, -3.64011E-005, 2.80765E-005
34, 0.00000, -6.3309, -10.0073, -6.22049, -9.83455, -6.21517, -9.83112, -1.35961E-005, 1.28049E-005
35, 0.00000, 6.16178, -10.0902, 6.03109, -9.91652, 6.03991, -9.91203, -1.95404E-005, 1.46249E-005
36, 0.00000, 8.35844, -10.0188, 8.19233, -9.84651, 8.20274, -9.84099, -2.36778E-005, 1.76077E-005
37, 0.00000, 0.0379687, -10.0415, 0.0101685, -9.86871, 0.0159455, -9.86554, -1.23672E-005, 9.74078E-006
38, 0.00000, -14.792, -10.262, -14.545, -10.0848, -14.5357, -10.0775, -3.24299E-005, 2.42946E-005
39, 0.00000, -29.9926, -10.7922, -29.4166, -10.6048, -29.3866, -10.5796, -0.000125622, 8.14774E-005
40, 0.00000, -31.5101, -11.8558, -30.7993, -11.6494, -30.7677, -11.6215, -0.000164325, 0.000110432
41, 0.00000, -43.5256, -13.9115, -42.6272, -13.6698, -42.5622, -13.6133, -0.000291888, 0.000177105
42, 0.00000, -48.7469, -15.5151, -47.7876, -15.2658, -47.7055, -15.1986, -0.00034703, 0.000210879
43, 0.00000, -50.7196, -16.1389, -49.7426, -15.8861, -49.6787, -15.8247, -0.000356198, 0.000225141
44, 0.00000, -51.86, -16.4989, -50.8694, -16.243, -50.8195, -16.1857, -0.000361481, 0.000234546
45, 0.00000, -50.5293, -16.0782, -49.5542, -15.8256, -49.4907, -15.7643, -0.000354235, 0.000223806
46, 0.00000, -46.1836, -14.7046, -45.2389, -14.4545, -45.1641, -14.3912, -0.000326736, 0.000196939
47, 0.00000, -39.037, -12.4358, -38.2482, -12.2192, -38.1968, -12.175, -0.000226841, 0.000139738
48, 0.00000, -30.6222, -9.74643, -30.0286, -9.57683, -29.9977, -9.55093, -0.000130592, 8.29053E-005
49, 0.00000, -23.6831, -7.51475, -23.2415, -7.38444, -23.2233, -7.36932, -7.35372E-005, 4.77867E-005
50, 0.00000, -20.0978, -6.35653, -19.73, -6.24621, -19.7169, -6.23546, -5.14436E-005, 3.3788E-005
51, 0.00000, -20.327, -5.82778, -19.9855, -5.72676, -19.9721, -5.71593, -4.78397E-005, 3.04717E-005
52, 0.00000, -19.7505, -5.64082, -19.4212, -5.54303, -19.408, -5.53263, -4.48085E-005, 2.84855E-005
53, 0.00000, -20.4751, -5.87624, -20.1318, -5.77459, -20.1179, -5.76323, -4.84592E-005, 3.08007E-005
54, 0.00000, -23.3006, -6.78925, -22.8995, -6.67191, -22.8814, -6.65695, -6.50464E-005, 4.11234E-005
55, 0.00000, -23.8193, -8.58128, -23.3197, -8.43404, -23.3019, -8.41828, -8.45138E-005, 5.76404E-005
56, 0.00000, -26.8238, -9.59245, -26.2578, -9.42547, -26.2349, -9.40588, -0.000109253, 7.3167E-005
57, 0.00000, -24.3912, -9.80387, -23.9255, -9.63336, -23.9059, -9.61719, -8.26097E-005, 5.5953E-005
58, 0.00000, -21.4506, -10.0648, -21.0514, -9.88996, -21.0355, -9.87711, -6.39912E-005, 4.48653E-005
59, 0.00000, -17.4688, -10.1126, -17.1488, -9.93701, -17.1374, -9.92814, -4.42506E-005, 3.28345E-005
60, 0.00000, -17.2254, -10.0325, -16.911, -9.8585, -16.8997, -9.84961, -4.29768E-005, 3.19157E-005
61, 0.00000, -19.4616, -10.0875, -19.1032, -9.91265, -19.0897, -9.90169, -5.33147E-005, 3.83793E-005
62, 0.00000, -24.2828, -10.3171, -23.8261, -10.1381, -23.8062, -10.1216, -8.15622E-005, 5.56299E-005
63, 0.00000, -25.6378, -10.7542, -25.152, -10.5675, -25.1299, -10.5491, -9.17189E-005, 6.21422E-005
64, 0.00000, -37.4349, -11.9255, -36.686, -11.7182, -36.639, -11.6779, -0.000205423, 0.000127335
65, 0.00000, -43.683, -13.9124, -42.7824, -13.6704, -42.7177, -13.6141, -0.000293534, 0.000178046
66, 0.00000, -48.136, -15.5091, -47.175, -15.2579, -47.0926, -15.1909, -0.000344741, 0.000209657
67, 0.00000, -50.7208, -16.1389, -49.7438, -15.8861, -49.6802, -15.8246, -0.000355992, 0.000225126
68, 0.00000, -51.8611, -16.499, -50.8703, -16.2431, -50.8206, -16.1858, -0.00036146, 0.000234606
69, 0.00000, -50.5282, -16.0781, -49.5532, -15.8255, -49.4893, -15.7642, -0.000354399, 0.000223769
70, 0.00000, -46.1831, -14.7045, -45.2382, -14.4544, -45.1636, -14.3912, -0.000326684, 0.000197
71, 0.00000, -39.0359, -12.4357, -38.248, -12.2193, -38.1965, -12.1749, -0.000226562, 0.000139538
72, 0.00000, -30.6212, -9.74642, -30.0285, -9.57699, -29.9974, -9.55084, -0.000130391, 8.27285E-005
73, 0.00000, -25.3856, -8.06333, -24.907, -7.92328, -24.8862, -7.90594, -8.58742E-005, 5.55281E-005
74, 0.00000, -21.4546, -6.79459, -21.058, -6.67643, -21.043, -6.66439, -5.95128E-005, 3.89281E-005
75, 0.00000, -19.3339, -6.10897, -18.9813, -6.00286, -18.9692, -5.99312, -4.73556E-005, 3.11851E-005
76, 0.00000, -18.362, -5.79439, -18.0292, -5.69383, -18.0184, -5.68501, -4.22898E-005, 2.7932E-005
77, 0.00000, -18.3531, -5.79165, -18.0208, -5.69119, -18.0099, -5.68232, -4.22027E-005, 2.78761E-005
78, 0.00000, -19.3045, -6.0998, -18.9531, -5.99403, -18.9411, -5.98417, -4.70727E-005, 3.10078E-005
79, 0.00000, -21.5095, -6.81298, -21.113, -6.69481, -21.098, -6.68246, -5.95783E-005, 3.89803E-005
80, 0.00000, -23.6539, -8.15088, -23.2122, -8.00946, -23.1939, -7.99429, -7.41448E-005, 4.87841E-005
81, 0.00000, -17.8072, -10.2113, -17.4811, -10.0343, -17.4693, -10.0248, -4.58173E-005, 3.38689E-005
82, 0.00000, -13.3629, -12.1444, -13.1195, -11.9344, -13.1096, -11.9271, -3.33331E-005, 2.79994E-005
83, 0.00000, -2.21062, -13.1628, -2.16657, -12.9363, -2.15719, -12.931, -1.81526E-005, 1.89699E-005
84, 0.00000, -3.4902, -13.5555, -3.42339, -13.3225, -3.41374, -13.317, -1.96751E-005, 2.04443E-005
85, 0.00000, -10.2407, -13.746, -10.0527, -13.509, -10.0422, -13.502, -2.92739E-005, 2.71833E-005
86, 0.00000, -25.7165, -14.0855, -25.2241, -13.8412, -25.1996, -13.8211, -0.00010007, 7.20314E-005
87, 0.00000, -48.6145, -14.6087, -47.772, -14.3749, -47.6844, -14.3048, -0.000305094, 0.000174955
88, 0.00000, -53.4676, -14.9286, -52.6012, -14.7097, -52.5552, -14.6497, -0.000314612, 0.000197825
89, 0.00000, -50.6321, -15.6275, -49.6795, -15.382, -49.6123, -15.3187, -0.00034732, 0.000215459
90, 0.00000, -46.457, -15.9863, -45.451, -15.7162, -45.3772, -15.6534, -0.000351789, 0.000219274
91, 0.00000, -39.9106, -15.8224, -38.932, -15.5448, -38.8799, -15.4979, -0.000296498, 0.000197063
92, 0.00000, -49.9035, -15.8806, -48.9341, -15.6294, -48.8616, -15.5652, -0.000352714, 0.00021904
93, 0.00000, -47.9924, -15.2763, -47.0403, -15.0277, -46.9576, -14.9604, -0.000340787, 0.000205803
94, 0.00000, -44.2281, -14.0853, -43.3126, -13.84, -43.2452, -13.7816, -0.000303034, 0.000183072
95, 0.00000, -38.7888, -12.3568, -38.006, -12.1415, -37.9554, -12.098, -0.000223514, 0.000137841
96, 0.00000, -32.2219, -10.2592, -31.5924, -10.0806, -31.5581, -10.0517, -0.000146429, 9.2435E-005
97, 0.00000, -25.9525, -8.24612, -25.4628, -8.10312, -25.4408, -8.08478, -8.99573E-005, 5.80303E-005
98, 0.00000, -21.8467, -6.92141, -21.4418, -6.80108, -21.4266, -6.78867, -6.1872E-005, 4.04839E-005
99, 0.00000, -19.4809, -6.15649, -19.1252, -6.04954, -19.1129, -6.03966, -4.81549E-005, 3.16968E-005
100, 0.00000, -18.3061, -5.77624, -17.9744, -5.67598, -17.9636, -5.66724, -4.20217E-005, 2.77593E-005
101, 0.00000, -17.949, -5.66014, -17.6244, -5.56185, -17.6139, -5.55345, -4.03092E-005, 2.66356E-005
102, 0.00000, -18.5271, -5.84898, -18.192, -5.74775, -18.1812, -5.73858, -4.29124E-005, 2.83687E-005
103, 0.00000, -20.437, -6.46624, -20.0626, -6.35411, -20.0491, -6.34301, -5.32846E-005, 3.49786E-005
104, 0.00000, -21.7165, -7.52325, -21.3153, -7.39273, -21.2999, -7.38004, -6.155E-005, 4.07745E-005
105, 0.00000, -15.5271, -9.45738, -15.2464, -9.29344, -15.2371, -9.28607, -3.50902E-005, 2.64106E-005
106, 0.00000, -11.5765, -11.5408, -11.3677, -11.3413, -11.3593, -11.3352, -2.68407E-005, 2.30981E-005
107, 0.00000, 13.2782, -12.9006, 12.9465, -12.6796, 12.9655, -12.6692, -6.295E-005, 3.61828E-005
108, 0.00000, 46.3419, -13.7914, 45.5598, -13.5565, 45.6489, -13.5039, -0.00025987, 0.000213632
109, 0.00000, 43.6545, -14.0826, 42.9098, -13.8428, 42.992, -13.7945, -0.000239555, 0.000194405
110, 0.00000, -15.1845, -13.953, -14.9054, -13.7119, -14.8923, -13.7023, -4.40316E-005, 3.69839E-005
111, 0.00000, -31.9206, -13.9934, -31.263, -13.7506, -31.2283, -13.7206, -0.000157693, 0.000107583
112, 0.00000, -38.0565, -13.9396, -37.1946, -13.6962, -37.1475, -13.6546, -0.000244675, 0.000159285
113, 0.00000, -38.5695, -14.5164, -37.6726, -14.2628, -37.6243, -14.2199, -0.000259364, 0.000170245
114, 0.00000, -42.683, -15.3329, -41.7123, -15.0648, -41.6522, -15.0113, -0.000312598, 0.000198877
115, 0.00000, -49.5933, -15.7829, -48.6267, -15.5321, -48.5514, -15.467, -0.000351288, 0.000216759
116, 0.00000, -51.0965, -16.258, -50.1151, -16.0039, -50.0578, -15.9447, -0.000357086, 0.000228363
117, 0.00000, -49.929, -15.8885, -48.9593, -15.6371, -48.8888, -15.5735, -0.000352112, 0.000219322
118, 0.00000, -45.313, -14.4291, -44.3788, -14.1803, -44.3074, -14.119, -0.000317134, 0.000191206
119, 0.00000, -38.0082, -12.108, -37.244, -11.8971, -37.1955, -11.8555, -0.000213309, 0.000131912
120, 0.00000, -29.6495, -9.43435, -29.0777, -9.27022, -29.0488, -9.24606, -0.000121458, 7.7367E-005
121, 0.00000, -23.6831, -7.51476, -23.2415, -7.38444, -23.2233, -7.36932, -7.35382E-005, 4.77871E-005
122, 0.00000, -20.0978, -6.35653, -19.73, -6.24621, -19.7169, -6.23546, -5.14436E-005, 3.3788E-005
123, 0.00000, -18.4253, -5.81507, -18.0915, -5.71419, -18.0806, -5.70524, -4.25773E-005, 2.81125E-005
124, 0.00000, -17.85, -5.62862, -17.5276, -5.53093, -17.5172, -5.52252, -3.97866E-005, 2.63006E-005
125, 0.00000, -18.5729, -5.86291, -18.2365, -5.76131, -18.2255, -5.75225, -4.32337E-005, 2.85628E-005
126, 0.00000, -21.3902, -6.77442, -20.9962, -6.65694, -20.9814, -6.64474, -5.88419E-005, 3.85177E-005
127, 0.00000, -27.0913, -8.61263, -26.5772, -8.46326, -26.5533, -8.44321, -9.89146E-005, 6.35818E-005
128, 0.00000, -28.1628, -9.60585, -27.6245, -9.43908, -27.5983, -9.41713, -0.000108898, 7.04937E-005
129, 0.00000, -16.3289, -9.75496, -16.0321, -9.58571, -16.0219, -9.57759, -3.87896E-005, 2.90138E-005
130, 0.00000, -6.68785, -10.0079, -6.5709, -9.83497, -6.56552, -9.83153, -1.4062E-005, 1.31344E-005
131, 0.00000, 48.4609, -10.5222, 47.767, -10.3444, 47.8573, -10.29, -0.000210163, 0.000195842
132, 0.00000, 62.2414, -10.7077, 61.3897, -10.5275, 61.5261, -10.4463, -0.000308378, 0.000308009
133, 0.00000, 70.1954, -10.9318, 69.2574, -10.7476, 69.4245, -10.6497, -0.000369865, 0.00038487
134, 0.00000, 0.414537, -10.2411, 0.407961, -10.0647, 0.414302, -10.0615, -1.12228E-005, 1.13241E-005
135, 0.00000, -19.3994, -10.7104, -19.0413, -10.5257, -19.0276, -10.5142, -5.40298E-005, 3.95858E-005
136, 0.00000, -37.4352, -11.9224, -36.6861, -11.7166, -36.639, -11.676, -0.000205067, 0.000127438
137, 0.00000, -43.6853, -13.9133, -42.7857, -13.6717, -42.7205, -13.6151, -0.000293259, 0.000177766
138, 0.00000, -48.7478, -15.5153, -47.7885, -15.2659, -47.7062, -15.1987, -0.000347154, 0.000210881
139, 0.00000, -50.1115, -16.1335, -49.1333, -15.8796, -49.0662, -15.8171, -0.000354769, 0.000223508
140, 0.00000, -51.8605, -16.4988, -50.8699, -16.243, -50.82, -16.1856, -0.000361471, 0.000234552
141, 0.00000, -50.5282, -16.0781, -49.5532, -15.8255, -49.4894, -15.7642, -0.000354389, 0.000223769
142, 0.00000, -46.1831, -14.7046, -45.2382, -14.4544, -45.1637, -14.3912, -0.000326679, 0.000196995
143, 0.00000, -39.0359, -12.4357, -38.248, -12.2193, -38.1965, -12.1749, -0.000226573, 0.000139542
144, 0.00000, -30.6212, -9.74643, -30.0285, -9.57699, -29.9974, -9.55084, -0.0001304, 8.27326E-005
145, 0.00000, -23.6839, -7.51501, -23.2418, -7.3845, -23.2235, -7.36939, -7.36856E-005, 4.78529E-005
146, 0.00000, -19.5057, -6.35235, -19.1399, -6.2421, -19.1279, -6.23214, -4.96817E-005, 3.30602E-005
147, 0.00000, -18.4252, -5.81504, -18.0914, -5.71418, -18.0805, -5.70522, -4.25672E-005, 2.81084E-005
