hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 193.592, -113.427, -195.068, -110.923, 1.43163, 224.452, -0.00423619, 0.0391268, -66.8335, 77.8886, 98.896, 18.4594, -33.378, -94.7922, 1.31546, -1.55584
2, 0.00000, 193.862, -113.303, -195.088, -111.222, 1.18928, 224.61, -0.00343771, 0.032607, -55.6047, 65.2233, 82.6407, 15.1604, -28.1345, -79.0907, 1.09853, -1.29299
3, 0.00000, 193.989, -113.243, -195.097, -111.363, 1.07502, 224.684, -0.00308291, 0.0295462, -50.3113, 59.2836, 75.0014, 13.5836, -25.6913, -71.6971, 1.00118, -1.17014
4, 0.00000, 194.052, -113.206, -195.094, -111.437, 1.01097, 224.716, -0.00282336, 0.0280334, -47.2284, 56.4876, 71.0939, 12.3272, -24.8304, -67.6903, 0.964932, -1.12445
5, 0.00000, 194.005, -113.224, -195.088, -111.387, 1.05025, 224.687, -0.00291633, 0.029163, -48.999, 58.7485, 73.8739, 12.7156, -25.8802, -70.2888, 1.0053, -1.17536
6, 0.00000, 193.832, -113.286, -195.059, -111.205, 1.18984, 224.577, -0.00324384, 0.0333126, -55.2244, 67.1246, 83.9946, 13.8594, -29.9363, -79.6125, 1.16612, -1.37153
7, 0.00000, 193.462, -113.431, -195.008, -110.809, 1.49798, 224.349, -0.0040901, 0.0422922, -69.1474, 84.8866, 105.823, 16.9047, -38.178, -100.004, 1.50207, -1.78702
8, 0.00000, 193.118, -113.637, -195.023, -110.4, 1.85098, 224.169, -0.00477753, 0.0503533, -85.9894, 100.334, 127.417, 23.7359, -43.013, -122.07, 1.5859, -2.00051
9, 0.00000, 194.188, -112.644, -194.657, -111.828, 0.481424, 224.531, 0.0103575, 0.0195047, -14.344, 58.4294, 56.7605, -16.5152, -42.6575, -40.8661, 0.241032, -1.04818
10, 0.00000, 194.609, -112.222, -194.485, -112.405, -0.0844125, 224.658, 0.0168344, 0.00760107, 15.5009, 42.4766, 28.534, -34.0685, -43.7541, -7.64846, -0.280766, -0.759675
11, 0.00000, 196.372, -110.504, -193.811, -114.804, -2.4248, 225.227, 0.0417224, -0.0393886, 137.818, -25.3187, -89.5065, -105.044, -46.0611, 130.259, -2.25031, 0.10359
12, 0.00000, 196.469, -110.415, -193.778, -114.934, -2.54917, 225.262, 0.0429425, -0.0418421, 144.235, -29.143, -95.9373, -108.646, -45.9462, 137.648, -2.35127, 0.141329
13, 0.00000, 195.808, -111.067, -194.038, -114.03, -1.6635, 225.051, 0.0336385, -0.024656, 97.9708, -3.8466, -51.5261, -81.5866, -44.8056, 85.5399, -1.63912, -0.106706
14, 0.00000, 194.165, -112.61, -194.616, -111.824, 0.46538, 224.494, 0.0113699, 0.0196238, -12.8719, 60.2315, 57.5713, -18.6555, -44.9134, -40.4951, 0.213979, -1.08096
15, 0.00000, 193.2, -113.441, -194.888, -110.567, 1.64765, 224.134, -0.00063617, 0.0466428, -73.9406, 99.0741, 120.473, 14.1297, -47.8808, -111.274, 1.34828, -1.93033
16, 0.00000, 192.441, -113.999, -195.017, -109.627, 2.49605, 223.804, -0.00815255, 0.0678865, -116.822, 131.172, 168.613, 34.6957, -53.998, -163.108, 2.20696, -2.76038
17, 0.00000, 191.966, -114.211, -194.976, -109.105, 2.91394, 223.527, -0.00968265, 0.0801128, -136.227, 153.528, 196.986, 40.1119, -63.3882, -190.287, 2.62938, -3.3526
18, 0.00000, 191.582, -114.385, -194.94, -108.677, 3.25777, 223.297, -0.00977026, 0.0886535, -151.932, 171.695, 220.317, 44.5168, -71.1627, -212.598, 2.77817, -3.6135
19, 0.00000, 191.431, -114.453, -194.927, -108.51, 3.39397, 223.204, -0.0100297, 0.0911831, -158.057, 178.807, 229.461, 46.2347, -74.2676, -221.457, 2.86395, -3.58497
20, 0.00000, 191.344, -114.492, -194.919, -108.414, 3.47232, 223.151, -0.010265, 0.0926857, -161.589, 182.916, 234.721, 47.2191, -76.059, -226.559, 2.9276, -3.57529
21, 0.00000, 191.482, -114.414, -194.918, -108.575, 3.33434, 223.228, -0.00976606, 0.090263, -155.143, 176.635, 226.123, 44.8039, -73.8324, -217.826, 2.85148, -3.61228
22, 0.00000, 191.776, -114.297, -194.959, -108.894, 3.08232, 223.415, -0.00995974, 0.0846692, -143.978, 162.485, 208.426, 42.2756, -67.1906, -201.224, 2.74293, -3.53615
23, 0.00000, 192.32, -114.053, -195.007, -109.493, 2.60326, 223.733, -0.00852628, 0.071005, -121.799, 136.893, 175.884, 36.0932, -56.3971, -170.077, 2.31178, -2.90997
24, 0.00000, 192.958, -113.766, -195.06, -110.195, 2.03967, 224.106, -0.00659092, 0.0549036, -95.6641, 106.913, 137.727, 28.7091, -43.8326, -133.456, 1.77003, -2.1661
25, 0.00000, 193.412, -113.59, -195.124, -110.68, 1.6636, 224.386, -0.00550537, 0.043685, -78.6559, 85.1011, 110.994, 25.0633, -33.6841, -108.542, 1.34565, -1.62279
26, 0.00000, 193.697, -113.454, -195.141, -110.999, 1.40367, 224.55, -0.00464073, 0.0367433, -66.5414, 71.8266, 93.7805, 21.3031, -28.3672, -91.7857, 1.12815, -1.34409
