hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0
8, 0.00000, -0.0338329, -3.98394E-007, 2.61601E-010, -2.13189E-009
9, 0.00000, -0.347422, -4.1564E-007, -1.20455E-008, 6.78244E-009
10, 0.00000, -0.487795, -1.75054E-006, -2.48991E-008, 2.48855E-008
11, 0.00000, -1.03384, -2.20336E-005, -1.04489E-007, 1.60246E-007
12, 0.00000, -1.05973, -1.35811E-006, -1.09205E-007, 1.68869E-007
13, 0.00000, -0.852799, 3.28333E-006, -7.4068E-008, 1.06145E-007
14, 0.00000, -0.374935, 6.07805E-007, -1.42705E-008, 8.7143E-009
15, 0.00000, -0.133887, 7.35019E-008, -7.53667E-010, -5.84582E-009
16, 0.00000, 0, 0, 0, 0
17, 0.00000, 0, 0, 0, 0
18, 0.00000, 0, 0, 0, 0
19, 0.00000, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0
25, 0.00000, 0, 0, 0, 0
26, 0.00000, 0, 0, 0, 0
27, 0.00000, 0, 0, 0, 0
28, 0.00000, 0, 0, 0, 0
29, 0.00000, 0, 0, 0, 0
30, 0.00000, 0, 0, 0, 0
31, 0.00000, 0, 0, 0, 0
32, 0.00000, -0.0333783, 4.52184E-008, 2.70281E-010, -2.15155E-009
33, 0.00000, -0.237594, -5.70588E-007, -5.93103E-009, -4.84519E-011
34, 0.00000, -0.411759, 2.50833E-007, -1.74659E-008, 1.37718E-008
35, 0.00000, -0.651591, -1.11169E-006, -3.76551E-008, 4.25271E-008
36, 0.00000, -0.684808, -6.1805E-006, -4.18637E-008, 4.9685E-008
37, 0.00000, -0.545298, 4.20517E-007, -2.56288E-008, 2.36676E-008
38, 0.00000, -0.30382, 1.21361E-006, -6.28691E-009, -3.29265E-009
39, 0.00000, -0.0661281, 5.78442E-008, 3.96441E-010, -4.40083E-009
40, 0.00000, 0, 0, 0, 0
41, 0.00000, 0, 0, 0, 0
42, 0.00000, 0, 0, 0, 0
43, 0.00000, 0, 0, 0, 0
44, 0.00000, 0, 0, 0, 0
45, 0.00000, 0, 0, 0, 0
46, 0.00000, 0, 0, 0, 0
47, 0.00000, 0, 0, 0, 0
48, 0.00000, 0, 0, 0, 0
49, 0.00000, 0, 0, 0, 0
50, 0.00000, 0, 0, 0, 0
51, 0.00000, 0, 0, 0, 0
52, 0.00000, 0, 0, 0, 0
53, 0.00000, 0, 0, 0, 0
54, 0.00000, 0, 0, 0, 0
55, 0.00000, 0, 0, 0, 0
56, 0.00000, 0, 0, 0, 0
57, 0.00000, -0.0988335, -9.36313E-007, -3.71058E-010, -4.1355E-009
58, 0.00000, -0.165585, -9.71265E-007, -1.75195E-009, -4.96638E-009
59, 0.00000, -0.233289, -1.7515E-006, -4.61578E-009, -2.80281E-009
