hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 0.395478, 0.129983, 5.10647E-008, -1.18952E-008
2, 0.00000, 0.335131, 0.110152, 3.46845E-008, -8.78608E-009
3, 0.00000, 0.306858, 0.100855, 2.80058E-008, -7.44812E-009
4, 0.00000, 0.29709, 0.0976454, 2.39226E-008, -7.30181E-009
5, 0.00000, 0.309379, 0.101689, 2.56919E-008, -8.00194E-009
6, 0.00000, 0.356932, 0.117323, 3.18657E-008, -1.10719E-008
7, 0.00000, 0.452455, 0.148714, 4.93797E-008, -1.82472E-008
8, 0.00000, 0.504794, 0.16592, 9.5426E-008, -1.77611E-008
9, 0.00000, 0.516972, 0.169921, -1.65554E-008, -3.42353E-008
10, 0.00000, 0.531937, 0.17484, -6.26311E-008, -4.20355E-008
11, 0.00000, 0.535687, 0.176081, -2.23556E-007, -6.14795E-008
12, 0.00000, 0.5315, 0.174696, -2.28965E-007, -6.15827E-008
13, 0.00000, 0.533804, 0.175451, -1.74441E-007, -5.58139E-008
14, 0.00000, 0.544322, 0.17891, -2.20287E-008, -3.85543E-008
15, 0.00000, 0.566999, 0.186364, 7.97416E-008, -2.82858E-008
16, 0.00000, 0.623014, 0.204774, 1.70391E-007, -2.44196E-008
17, 0.00000, 0.724374, 0.23809, 2.34823E-007, -3.30324E-008
18, 0.00000, 0.80668, 0.265139, 2.96006E-007, -4.08255E-008
19, 0.00000, 0.839082, 0.275791, 3.22415E-007, -4.39883E-008
20, 0.00000, 0.857819, 0.281951, 3.38311E-007, -4.58164E-008
21, 0.00000, 0.835891, 0.27475, 3.08227E-007, -4.51868E-008
22, 0.00000, 0.764809, 0.251381, 2.63904E-007, -3.67941E-008
23, 0.00000, 0.649083, 0.213347, 1.85954E-007, -2.63786E-008
24, 0.00000, 0.511027, 0.167967, 1.12724E-007, -1.63255E-008
25, 0.00000, 0.395475, 0.129987, 7.65805E-008, -8.31437E-009
26, 0.00000, 0.335133, 0.110156, 5.44056E-008, -5.95606E-009
27, 0.00000, 0.306854, 0.100859, 4.4691E-008, -5.12918E-009
28, 0.00000, 0.297087, 0.097649, 3.63941E-008, -5.57015E-009
29, 0.00000, 0.30938, 0.101689, 3.24525E-008, -7.05968E-009
