hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 189.359, -109.803, -190.261, -109.171, 0.471088, 219.623, -9.53697E-006, -2.0586E-005, -0.828129, 0.929529, 1.21667, 0.250911, -0.389902, -1.17776, 0.010893, 0.017907
2, 0.00000, 190.381, -110.279, -191.099, -109.798, 0.368052, 220.618, -7.93688E-006, -1.70209E-005, -0.698472, 0.783303, 1.02596, 0.212188, -0.328466, -0.993747, 0.0089197, 0.0152767
3, 0.00000, 190.864, -110.504, -191.495, -110.096, 0.318296, 221.087, -7.25295E-006, -1.54159E-005, -0.63812, 0.71533, 0.937244, 0.194103, -0.299903, -0.908006, 0.00803167, 0.0139895
4, 0.00000, 191.181, -110.615, -191.725, -110.308, 0.258528, 221.379, -6.98848E-006, -1.48384E-005, -0.61709, 0.691359, 0.906106, 0.187947, -0.289737, -0.878029, 0.00770986, 0.0135618
5, 0.00000, 191.035, -110.532, -191.593, -110.224, 0.262458, 221.23, -7.26756E-006, -1.55162E-005, -0.643148, 0.72054, 0.944282, 0.195847, -0.301949, -0.915003, 0.00808248, 0.014132
6, 0.00000, 190.545, -110.228, -191.13, -109.954, 0.256732, 220.719, -8.39262E-006, -1.81121E-005, -0.744032, 0.833433, 1.09209, 0.226485, -0.34915, -1.05812, 0.00948862, 0.0163103
7, 0.00000, 189.393, -109.577, -190.094, -109.294, 0.289158, 219.548, -1.07303E-005, -2.35392E-005, -0.948747, 1.06288, 1.39215, 0.288345, -0.445142, -1.34833, 0.012467, 0.0206464
8, 0.00000, 187.448, -108.876, -188.677, -108.013, 0.633751, 217.76, -1.19792E-005, -2.44389E-005, -0.930331, 1.11982, 1.43093, 0.243538, -0.502717, -1.35918, 0.0140945, 0.0202556
9, 0.00000, 194.31, -110.109, -192.708, -113.104, -1.55459, 223.546, -8.34157E-006, 1.75494E-006, 0.29327, 0.406213, 0.20464, -0.45704, -0.49789, 0.0513694, 0.00832172, -0.00229788
10, 0.00000, 197.132, -110.518, -194.302, -115.25, -2.53688, 225.902, -7.30038E-006, 1.11888E-005, 0.803914, 0.12985, -0.290266, -0.761159, -0.513699, 0.632219, 0.00735225, -0.0120988
11, 0.00000, 208.384, -112.12, -200.7, -123.858, -6.51867, 235.379, -3.60665E-006, 4.21117E-005, 2.80865, -0.95833, -2.243, -1.95823, -0.570566, 2.92721, 0.00852474, -0.0527599
12, 0.00000, 208.961, -112.208, -201.034, -124.298, -6.7188, 235.871, -3.41187E-006, 4.34706E-005, 2.90851, -1.01459, -2.34234, -2.01705, -0.57147, 3.04305, 0.00871008, -0.0548743
13, 0.00000, 204.761, -111.657, -198.672, -121.057, -5.18884, 232.337, -4.52847E-006, 3.3117E-005, 2.16013, -0.61712, -1.61969, -1.56494, -0.543135, 2.18826, 0.00721685, -0.0393136
14, 0.00000, 194.475, -110.009, -192.7, -113.283, -1.70503, 223.628, -8.68961E-006, 2.52562E-006, 0.344239, 0.407418, 0.180165, -0.501791, -0.52438, 0.0949463, 0.00866558, -0.00309906
15, 0.00000, 188.669, -108.824, -189.169, -109.034, 0.0424802, 218.661, -1.2204E-005, -1.87692E-005, -0.658779, 1.02652, 1.21545, 0.055736, -0.558074, -1.07921, 0.0136022, 0.0157147
16, 0.00000, 184.562, -107.72, -186.481, -106.16, 1.06477, 215.063, -1.57831E-005, -3.57495E-005, -1.33191, 1.50358, 1.96056, 0.397353, -0.632604, -1.89301, 0.0197383, 0.0278208
17, 0.00000, 182.766, -106.852, -185.003, -105.076, 1.21688, 213.328, -1.87107E-005, -4.32542E-005, -1.56186, 1.76578, 2.29949, 0.46368, -0.743175, -2.21832, 0.0242465, 0.0321133
18, 0.00000, 181.291, -106.13, -183.784, -104.187, 1.33747, 211.899, -2.1142E-005, -4.97094E-005, -1.75162, 1.98263, 2.57925, 0.517932, -0.834677, -2.48643, 0.0281904, 0.0355742
19, 0.00000, 180.704, -105.841, -183.3, -103.837, 1.38369, 211.33, -2.2104E-005, -5.24171E-005, -1.82727, 2.06919, 2.69067, 0.539415, -0.871168, -2.59311, 0.0298785, 0.0369216
20, 0.00000, 180.364, -105.672, -183.019, -103.634, 1.40969, 211, -2.26567E-005, -5.40088E-005, -1.87121, 2.11949, 2.75537, 0.55187, -0.892374, -2.65506, 0.0308767, 0.0377037
21, 0.00000, 181.055, -105.946, -183.532, -104.073, 1.3083, 211.637, -2.19346E-005, -5.17503E-005, -1.81826, 2.05729, 2.67661, 0.537797, -0.865798, -2.58022, 0.0293832, 0.036879
22, 0.00000, 182.042, -106.499, -184.406, -104.64, 1.27637, 212.628, -1.9903E-005, -4.64263E-005, -1.65481, 1.87197, 2.43648, 0.490289, -0.787947, -2.34964, 0.0261854, 0.0338036
23, 0.00000, 184.102, -107.497, -186.102, -105.881, 1.10441, 214.618, -1.6545E-005, -3.76444E-005, -1.39081, 1.57068, 2.04738, 0.414402, -0.660889, -1.97636, 0.0208659, 0.0289179
24, 0.00000, 186.508, -108.654, -188.085, -107.34, 0.891934, 216.949, -1.26742E-005, -2.81669E-005, -1.08267, 1.22024, 1.59314, 0.324668, -0.513103, -1.53971, 0.0153083, 0.0229674
25, 0.00000, 187.929, -109.464, -189.362, -108.149, 0.859485, 218.389, -9.72004E-006, -2.10935E-005, -0.831608, 0.937138, 1.22428, 0.249904, -0.394253, -1.18376, 0.0113056, 0.0178119
26, 0.00000, 189.062, -109.975, -190.275, -108.854, 0.731428, 219.48, -8.13638E-006, -1.7509E-005, -0.701324, 0.789365, 1.03202, 0.211459, -0.331863, -0.99845, 0.0093015, 0.0151352
27, 0.00000, 189.638, -110.223, -190.728, -109.217, 0.658509, 220.029, -7.40266E-006, -1.58097E-005, -0.640504, 0.72042, 0.94234, 0.193477, -0.302778, -0.911977, 0.00834412, 0.0138895
28, 0.00000, 190.23, -110.398, -191.131, -109.624, 0.523916, 220.557, -7.0961E-006, -1.5135E-005, -0.618884, 0.695175, 0.909927, 0.187483, -0.291894, -0.881013, 0.00794631, 0.0134904
29, 0.00000, 190.538, -110.419, -191.283, -109.866, 0.400944, 220.801, -7.32302E-006, -1.56192E-005, -0.644038, 0.72254, 0.946316, 0.195572, -0.303119, -0.916602, 0.00816436, 0.0141098
30, 0.00000, 189.604, -110.013, -190.541, -109.278, 0.518315, 219.906, -8.55933E-006, -1.84083E-005, -0.746058, 0.837888, 1.0966, 0.225903, -0.351701, -1.06159, 0.0097138, 0.0162076
31, 0.00000, 187.776, -109.196, -189.077, -108.138, 0.730232, 218.151, -1.10682E-005, -2.42244E-005, -0.953292, 1.07274, 1.40211, 0.287088, -0.450743, -1.35603, 0.0129968, 0.0204359
32, 0.00000, 187.397, -108.864, -188.643, -107.975, 0.649321, 217.715, -1.20119E-005, -2.44254E-005, -0.932134, 1.12101, 1.43296, 0.244513, -0.502873, -1.36138, 0.0140549, 0.0202855
33, 0.00000, 192.131, -109.729, -191.431, -111.479, -0.847622, 221.706, -9.54134E-006, -6.89331E-006, -0.137654, 0.65752, 0.637261, -0.209894, -0.499959, -0.446616, 0.00989316, 0.00588312
34, 0.00000, 195.481, -110.241, -193.338, -114.01, -1.98991, 224.505, -8.02301E-006, 5.82068E-006, 0.512012, 0.296682, 0.000394952, -0.591687, -0.512364, 0.295594, 0.00798038, -0.00640961
35, 0.00000, 199.838, -110.902, -195.831, -117.316, -3.49147, 228.169, -6.06937E-006, 2.19184E-005, 1.41917, -0.210847, -0.894123, -1.12415, -0.525572, 1.33736, 0.00659852, -0.0242765
36, 0.00000, 200.604, -111.039, -196.288, -117.888, -3.73988, 228.824, -5.71619E-006, 2.41025E-005, 1.55135, -0.288664, -1.02803, -1.19999, -0.524108, 1.4915, 0.00649572, -0.0269515
37, 0.00000, 197.641, -110.564, -194.568, -115.651, -2.73741, 226.316, -6.88294E-006, 1.51442E-005, 1.0219, 0.00938193, -0.503872, -0.889734, -0.518101, 0.881588, 0.00695391, -0.0163796
38, 0.00000, 192.369, -109.612, -191.441, -111.726, -1.04546, 221.834, -9.54152E-006, -3.02527E-006, 0.0669481, 0.570547, 0.459746, -0.343343, -0.526814, -0.226311, 0.00966203, 0.00213204
39, 0.00000, 187.008, -108.489, -188.169, -107.822, 0.541276, 217.252, -1.32024E-005, -2.52524E-005, -0.934699, 1.19452, 1.49743, 0.209778, -0.564973, -1.39968, 0.0154425, 0.0206305
40, 0.00000, 187.296, -108.391, -188.211, -108.095, 0.345156, 217.423, -1.49843E-005, -3.40149E-005, -1.3208, 1.47998, 1.93681, 0.400228, -0.619414, -1.87454, 0.0183941, 0.028343
41, 0.00000, 182.84, -106.87, -185.049, -105.128, 1.19804, 213.391, -1.86948E-005, -4.32039E-005, -1.56174, 1.76531, 2.29911, 0.463843, -0.742877, -2.21808, 0.0242043, 0.0321303
42, 0.00000, 181.291, -106.13, -183.783, -104.187, 1.3378, 211.899, -2.11581E-005, -4.96979E-005, -1.75166, 1.98269, 2.57935, 0.517942, -0.834705, -2.4865, 0.0281768, 0.0355666
43, 0.00000, 180.707, -105.842, -183.3, -103.838, 1.38415, 211.331, -2.21102E-005, -5.23353E-005, -1.82707, 2.06896, 2.69049, 0.539389, -0.871119, -2.59295, 0.0298098, 0.0369336
44, 0.00000, 180.366, -105.673, -183.019, -103.635, 1.41003, 211.001, -2.26615E-005, -5.39569E-005, -1.87109, 2.11935, 2.75526, 0.551854, -0.892344, -2.65496, 0.0308329, 0.0377108
45, 0.00000, 180.76, -105.868, -183.347, -103.871, 1.37869, 211.385, -2.19962E-005, -5.22494E-005, -1.82002, 2.0609, 2.67983, 0.537313, -0.867612, -2.58274, 0.029797, 0.0367771
46, 0.00000, 182.041, -106.499, -184.406, -104.64, 1.27606, 212.628, -1.98929E-005, -4.64616E-005, -1.65487, 1.87204, 2.4365, 0.49029, -0.787954, -2.34967, 0.0262171, 0.0338032
47, 0.00000, 184.102, -107.498, -186.103, -105.882, 1.1037, 214.619, -1.65145E-005, -3.76948E-005, -1.39075, 1.57062, 2.04717, 0.414361, -0.660826, -1.97621, 0.0209159, 0.0289244
48, 0.00000, 186.508, -108.654, -188.085, -107.34, 0.891934, 216.949, -1.2674E-005, -2.81669E-005, -1.08267, 1.22024, 1.59314, 0.324668, -0.513103, -1.53971, 0.0153084, 0.0229675
49, 0.00000, 188.481, -109.594, -189.709, -108.542, 0.710352, 218.865, -9.62613E-006, -2.084E-005, -0.830189, 0.934117, 1.22128, 0.250277, -0.392573, -1.18144, 0.0111053, 0.0178813
50, 0.00000, 189.496, -110.075, -190.545, -109.163, 0.613463, 219.853, -8.07613E-006, -1.73071E-005, -0.700302, 0.787289, 1.02997, 0.211676, -0.330732, -0.996844, 0.00914099, 0.0151867
51, 0.00000, 189.093, -110.096, -190.387, -108.826, 0.808343, 219.557, -7.46928E-006, -1.59679E-005, -0.641509, 0.72266, 0.94456, 0.193163, -0.304051, -0.913704, 0.00846998, 0.0138482
52, 0.00000, 189.256, -110.173, -190.521, -108.926, 0.793246, 219.717, -7.23627E-006, -1.53925E-005, -0.620664, 0.699078, 0.913877, 0.186974, -0.29412, -0.884065, 0.00814357, 0.0134056
53, 0.00000, 189.052, -110.076, -190.351, -108.801, 0.813064, 219.517, -7.54831E-006, -1.60694E-005, -0.646849, 0.728693, 0.952506, 0.194768, -0.30662, -0.921352, 0.00851046, 0.01396
54, 0.00000, 188.251, -109.696, -189.69, -108.311, 0.889271, 218.737, -8.77852E-006, -1.88406E-005, -0.748983, 0.844328, 1.1031, 0.225051, -0.35539, -1.06661, 0.0100486, 0.0160752
55, 0.00000, 189.019, -109.494, -189.859, -109.027, 0.393928, 219.224, -1.09121E-005, -2.38132E-005, -0.949927, 1.06527, 1.39459, 0.288105, -0.446405, -1.35005, 0.0126563, 0.0204857
56, 0.00000, 188.192, -109.084, -189.167, -108.527, 0.459515, 218.414, -1.2146E-005, -2.69158E-005, -1.0638, 1.19369, 1.56193, 0.321996, -0.500399, -1.51171, 0.0144135, 0.0229397
57, 0.00000, 188.863, -109.104, -189.482, -109.072, 0.16531, 218.935, -1.13427E-005, -1.9002E-005, -0.692399, 0.988966, 1.19983, 0.103651, -0.508869, -1.08969, 0.0127797, 0.0160785
58, 0.00000, 189.985, -109.245, -190.09, -109.929, -0.23747, 219.851, -1.08714E-005, -1.38891E-005, -0.455958, 0.864594, 0.974739, -0.0383611, -0.519664, -0.82417, 0.0117552, 0.0118267
59, 0.00000, 191.458, -109.505, -190.952, -111.024, -0.710624, 221.091, -1.01058E-005, -8.29281E-006, -0.193961, 0.71294, 0.71314, -0.188932, -0.519615, -0.522721, 0.0105422, 0.0070066
60, 0.00000, 191.526, -109.538, -191.008, -111.066, -0.716662, 221.158, -1.00026E-005, -8.05475E-006, -0.185416, 0.7031, 0.700412, -0.1914, -0.5154, -0.510474, 0.0104065, 0.00682839
61, 0.00000, 190.722, -109.376, -190.521, -110.476, -0.472496, 220.471, -1.04784E-005, -1.10365E-005, -0.325103, 0.78858, 0.843931, -0.113412, -0.519449, -0.673571, 0.0111007, 0.0094396
62, 0.00000, 189.01, -108.998, -189.46, -109.238, 0.0191867, 218.998, -1.16353E-005, -1.75788E-005, -0.617282, 0.975521, 1.15084, 0.0454647, -0.534811, -1.01825, 0.0128834, 0.0148475
63, 0.00000, 188.627, -108.816, -189.144, -109.004, 0.0551533, 218.626, -1.22292E-005, -1.89395E-005, -0.666082, 1.03094, 1.22289, 0.059833, -0.558228, -1.08767, 0.0136496, 0.0158454
