hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 189.456, -109.988, -190.508, -109.151, 0.59896, 219.859, 9.87174E-005, -0.000662707, -0.712133, 0.800148, 1.04687, 0.215194, -0.33597, -1.01289, 0.00123505, -0.00245604
2, 0.00000, 190.466, -110.435, -191.308, -109.785, 0.474078, 220.818, 7.94453E-005, -0.000543995, -0.600767, 0.674298, 0.882859, 0.182107, -0.282998, -0.854813, 0.000906489, -0.00159202
3, 0.00000, 190.944, -110.647, -191.686, -110.086, 0.414026, 221.271, 6.97853E-005, -0.000491848, -0.548901, 0.615781, 0.806556, 0.166638, -0.258369, -0.781123, 0.000713672, -0.00129662
4, 0.00000, 191.265, -110.753, -191.911, -110.303, 0.348066, 221.559, 6.79948E-005, -0.000470579, -0.53083, 0.595132, 0.779764, 0.161383, -0.249595, -0.755358, 0.000661412, -0.00115802
5, 0.00000, 191.124, -110.675, -191.787, -110.22, 0.355354, 221.418, 7.2829E-005, -0.00049144, -0.553232, 0.620251, 0.8126, 0.16815, -0.26012, -0.787141, 0.000751318, -0.00125937
6, 0.00000, 190.654, -110.393, -191.355, -109.955, 0.361227, 220.939, 8.9819E-005, -0.000571105, -0.639905, 0.717371, 0.939683, 0.194379, -0.300788, -0.910113, 0.00101118, -0.00163678
7, 0.00000, 189.538, -109.788, -190.382, -109.299, 0.419913, 219.831, 0.000124831, -0.000740858, -0.81566, 0.914698, 1.19758, 0.247247, -0.383509, -1.15933, 0.00159216, -0.00261061
8, 0.00000, 187.535, -109.104, -188.972, -107.962, 0.806182, 218.034, 7.57494E-005, -0.000778062, -0.739083, 0.928726, 1.17032, 0.173704, -0.43301, -1.09875, 0.00176976, -0.00367756
9, 0.00000, 194.392, -110.224, -192.846, -113.095, -1.46514, 223.67, -0.000436843, 0.000233625, 0.861128, 0.00441543, -0.427285, -0.747215, -0.433063, 0.74339, -0.000780747, -0.000589962
10, 0.00000, 197.215, -110.589, -194.379, -115.258, -2.47994, 225.968, -0.000619888, 0.000578373, 1.53876, -0.363162, -1.0855, -1.15064, -0.452743, 1.5157, -0.000516916, -0.00189431
11, 0.00000, 208.46, -112.003, -200.522, -123.932, -6.59739, 235.205, -0.00112081, 0.00157374, 4.15062, -1.7543, -3.61001, -2.72581, -0.547939, 4.49869, 0.00733429, -0.0185769
12, 0.00000, 209.035, -112.08, -200.843, -124.375, -6.80491, 235.684, -0.00113737, 0.00161214, 4.27691, -1.82216, -3.73302, -2.80204, -0.551853, 4.64395, 0.0079581, -0.0197553
13, 0.00000, 204.839, -111.6, -198.576, -121.11, -5.22435, 232.24, -0.000982987, 0.00130746, 3.30448, -1.31763, -2.80301, -2.20753, -0.505338, 3.53655, 0.00386309, -0.0113933
14, 0.00000, 194.562, -110.126, -192.841, -113.276, -1.61357, 223.754, -0.000472834, 0.000270739, 0.953151, -0.021225, -0.495626, -0.814054, -0.456699, 0.835971, -0.000826073, -0.000691946
15, 0.00000, 188.765, -109.044, -189.45, -108.991, 0.20938, 218.92, -9.03321E-005, -0.00052827, -0.326891, 0.745295, 0.806678, -0.0903703, -0.480438, -0.652635, 0.000650276, -0.00228917
16, 0.00000, 184.672, -108.02, -186.872, -106.091, 1.29174, 215.427, 0.000196659, -0.00117752, -1.14438, 1.29435, 1.68626, 0.33968, -0.545515, -1.62675, 0.00363291, -0.00728393
17, 0.00000, 182.898, -107.204, -185.463, -104.997, 1.48217, 213.757, 0.000255133, -0.00142762, -1.34139, 1.51995, 1.97733, 0.395844, -0.641005, -1.90558, 0.00506942, -0.0102149
18, 0.00000, 181.441, -106.526, -184.301, -104.099, 1.63436, 212.381, 0.000309074, -0.00164296, -1.50386, 1.70651, 2.21747, 0.441664, -0.720058, -2.13522, 0.00644721, -0.0129524
19, 0.00000, 180.862, -106.254, -183.839, -103.745, 1.69315, 211.834, 0.000333587, -0.00173276, -1.56858, 1.78095, 2.31307, 0.459765, -0.751591, -2.22653, 0.00709706, -0.0141869
20, 0.00000, 180.526, -106.095, -183.571, -103.541, 1.72646, 211.517, 0.000348468, -0.00178546, -1.60616, 1.82421, 2.36858, 0.470252, -0.769917, -2.27954, 0.00749627, -0.0149238
21, 0.00000, 181.222, -106.357, -184.07, -103.991, 1.61152, 212.142, 0.000326706, -0.00170535, -1.56084, 1.77059, 2.30092, 0.458478, -0.746891, -2.21547, 0.00680753, -0.0136029
22, 0.00000, 182.183, -106.873, -184.894, -104.556, 1.55713, 213.083, 0.000281567, -0.00153333, -1.42098, 1.6113, 2.09492, 0.418327, -0.679681, -2.01806, 0.00574358, -0.0115642
23, 0.00000, 184.217, -107.811, -186.511, -105.809, 1.34121, 214.999, 0.000210598, -0.00124098, -1.19486, 1.35209, 1.76083, 0.35413, -0.569936, -1.6982, 0.00396579, -0.00801194
24, 0.00000, 186.594, -108.898, -188.402, -107.283, 1.0773, 217.244, 0.000143715, -0.000925589, -0.93064, 1.05052, 1.37058, 0.27794, -0.442357, -1.32368, 0.00242249, -0.00478435
25, 0.00000, 187.972, -109.652, -189.602, -108.086, 1.01241, 218.606, 9.37068E-005, -0.000701282, -0.715156, 0.806955, 1.05356, 0.21418, -0.339865, -1.01809, 0.00146432, -0.00304072
26, 0.00000, 189.098, -110.133, -190.477, -108.8, 0.86057, 219.662, 7.43426E-005, -0.000581155, -0.603248, 0.679718, 0.888204, 0.181371, -0.286032, -0.858887, 0.00107649, -0.00220154
27, 0.00000, 189.672, -110.367, -190.913, -109.169, 0.775789, 220.196, 6.48895E-005, -0.000523593, -0.550986, 0.620345, 0.811057, 0.16601, -0.260941, -0.784574, 0.000870888, -0.00178094
28, 0.00000, 190.278, -110.537, -191.311, -109.59, 0.630202, 220.725, 6.42942E-005, -0.000494685, -0.532399, 0.598552, 0.783138, 0.160917, -0.251525, -0.757951, 0.000785657, -0.00151849
29, 0.00000, 190.608, -110.563, -191.474, -109.847, 0.502546, 220.983, 6.9598E-005, -0.000502224, -0.554001, 0.622035, 0.814389, 0.167875, -0.261167, -0.788531, 0.000778227, -0.00137916
30, 0.00000, 189.677, -110.18, -190.761, -109.25, 0.639412, 220.113, 8.42049E-005, -0.000596244, -0.641654, 0.721343, 0.943657, 0.193793, -0.303067, -0.913115, 0.00106406, -0.00202066
31, 0.00000, 187.861, -109.411, -189.357, -108.094, 0.889596, 218.413, 0.00011777, -0.000791024, -0.819605, 0.923513, 1.20635, 0.245978, -0.388517, -1.16601, 0.00177705, -0.0034826
32, 0.00000, 187.482, -109.092, -188.938, -107.923, 0.82268, 217.988, 7.42297E-005, -0.000778987, -0.741445, 0.930224, 1.17288, 0.175002, -0.433151, -1.10158, 0.00171151, -0.00364229
