hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.0700271, -0.045212, -0.0700157, -0.0453897, -0.070118, -0.0453691, -9.02499E-011, -1.49902E-010
2, 0.00000, -0.047297, -0.0385682, -0.0472998, -0.0385596, -0.0472933, -0.0385584, 1.36328E-010, -5.45122E-011
3, 0.00000, -0.0357707, -0.0352104, -0.0357441, -0.0352226, -0.0357568, -0.035246, 4.89116E-011, -7.25828E-011
4, 0.00000, -0.0140081, -0.0341053, -0.0139896, -0.0341182, -0.0140005, -0.034133, 1.66082E-011, -2.99172E-011
5, 0.00000, -0.0116028, -0.0356125, -0.0116113, -0.0356112, -0.0116086, -0.0356037, 5.37358E-011, -1.03209E-011
6, 0.00000, 0.00677571, -0.0411253, 0.00674954, -0.0411219, 0.00675834, -0.0410988, 1.06131E-010, -6.5999E-013
7, 0.00000, 0.0249739, -0.0520358, 0.0249777, -0.0520435, 0.0249713, -0.0520455, 1.47391E-010, -2.12338E-011
8, 0.00000, -0.170912, -0.0580434, -0.170836, -0.0580411, -0.17085, -0.0580749, 1.88681E-009, -9.19559E-010
9, 0.00000, 0.137425, -0.0594682, 0.137439, -0.0594661, 0.137435, -0.059478, 1.0133E-010, -2.96715E-010
10, 0.00000, 0.274265, -0.0611849, 0.27428, -0.0611776, 0.274279, -0.061195, -7.00221E-010, -1.04015E-009
11, 0.00000, 0.825712, -0.0614397, 0.825728, -0.0614494, 0.825726, -0.061504, -2.76138E-008, -5.94116E-009
12, 0.00000, 0.853377, -0.0611362, 0.853383, -0.0611469, 0.853389, -0.0611385, -2.98979E-008, -6.82549E-009
13, 0.00000, 0.64311, -0.0614176, 0.643111, -0.061422, 0.643115, -0.0614122, -1.36308E-008, -4.6079E-009
14, 0.00000, 0.155739, -0.0626229, 0.155722, -0.0626277, 0.155728, -0.0626106, 2.29805E-010, -4.50306E-010
15, 0.00000, -0.0962483, -0.0652265, -0.0962487, -0.0652272, -0.0962486, -0.0652271, 5.96701E-010, -3.09828E-010
