hour, t(sec), V1.re, V1.im, V2.re, V2.im, V3.re, V3.im, V4.re, V4.im, I1.re, I1.im, I2.re, I2.im, I3.re, I3.im, I4.re, I4.im
1, 0.00000, 187.687, -108.696, -188.693, -108.279, 0.404829, 217.987, -1.57545E-005, -1.05976E-005, -0.479066, 0.537149, 0.702765, 0.14495, -0.224869, -0.679898, 0.0169253, 0.00839749
2, 0.00000, 188.952, -109.342, -189.761, -109.034, 0.317167, 219.216, -1.32134E-005, -8.8284E-006, -0.403492, 0.452103, 0.591928, 0.122433, -0.18926, -0.573016, 0.0140381, 0.00730827
3, 0.00000, 189.546, -109.643, -190.261, -109.39, 0.273806, 219.793, -1.20475E-005, -8.02253E-006, -0.368432, 0.412685, 0.540501, 0.111945, -0.172748, -0.523363, 0.012727, 0.00675576
4, 0.00000, 189.868, -109.766, -190.5, -109.6, 0.21959, 220.088, -1.16302E-005, -7.7361E-006, -0.356232, 0.398817, 0.522496, 0.108375, -0.166892, -0.506047, 0.0122578, 0.00659124
5, 0.00000, 189.66, -109.644, -190.311, -109.483, 0.222258, 219.878, -1.21251E-005, -8.07775E-006, -0.371352, 0.415731, 0.544622, 0.112949, -0.173956, -0.527454, 0.0128106, 0.00685127
6, 0.00000, 188.911, -109.18, -189.611, -109.072, 0.212283, 219.114, -1.40632E-005, -9.41998E-006, -0.430169, 0.48146, 0.630607, 0.130758, -0.201354, -0.610612, 0.0149793, 0.00781356
7, 0.00000, 187.265, -108.215, -188.122, -108.147, 0.230731, 217.462, -1.80692E-005, -1.22445E-005, -0.550211, 0.615747, 0.805972, 0.16689, -0.257276, -0.779955, 0.0195841, 0.0095617
8, 0.00000, 185.5, -107.527, -186.811, -107, 0.515122, 215.845, -1.78937E-005, -1.05461E-005, -0.478895, 0.613044, 0.767396, 0.106459, -0.289986, -0.716249, 0.0193788, 0.00729186
9, 0.00000, 192.304, -108.608, -190.592, -112.102, -1.75876, 221.368, 5.10877E-006, 1.95698E-005, 0.77677, -0.107341, -0.481632, -0.617613, -0.29361, 0.725106, -0.00663657, -0.019721
10, 0.00000, 195.069, -108.929, -192.047, -114.234, -2.77867, 223.579, 1.41479E-005, 3.17984E-005, 1.31081, -0.395846, -0.999277, -0.9358, -0.309818, 1.33262, -0.0158579, -0.032773
11, 0.00000, 206.359, -110.37, -198.165, -122.92, -6.88475, 232.769, 4.69716E-005, 7.5464E-005, 3.35536, -1.47471, -2.9671, -2.17353, -0.39193, 3.66224, -0.0432995, -0.0894664
12, 0.00000, 206.955, -110.463, -198.505, -123.372, -7.08891, 233.266, 4.85208E-005, 7.74131E-005, 3.4528, -1.52641, -3.06149, -2.23277, -0.395541, 3.77414, -0.0442957, -0.0923817
13, 0.00000, 202.721, -109.959, -196.225, -120.092, -5.51458, 229.815, 3.68192E-005, 6.17513E-005, 2.6932, -1.1363, -2.33818, -1.76628, -0.356132, 2.91086, -0.0357068, -0.0700248
14, 0.00000, 192.358, -108.423, -190.462, -112.227, -1.92244, 221.323, 6.00211E-006, 2.1472E-005, 0.854901, -0.133093, -0.543084, -0.672258, -0.310132, 0.805543, -0.00768683, -0.0216643
15, 0.00000, 186.457, -107.258, -186.994, -107.9, -0.120207, 216.426, -1.26807E-005, -2.18149E-006, -0.143692, 0.457461, 0.466133, -0.104764, -0.322715, -0.350693, 0.0129548, 0.00017679
16, 0.00000, 182.111, -106.038, -184.172, -104.885, 0.921252, 212.696, -2.60166E-005, -1.80061E-005, -0.774701, 0.872738, 1.13717, 0.230669, -0.365786, -1.09684, 0.0293363, 0.0114345
17, 0.00000, 179.858, -104.856, -182.274, -103.569, 1.04205, 210.531, -3.08517E-005, -2.16502E-005, -0.911187, 1.02761, 1.33696, 0.269836, -0.430465, -1.28813, 0.0355464, 0.0123275
18, 0.00000, 178.161, -103.954, -180.63, -102.497, 1.20401, 208.725, -3.27072E-005, -1.67977E-005, -1.00646, 1.13591, 1.50065, 0.30196, -0.484622, -1.44639, 0.0231363, 0.0253095
19, 0.00000, 177.529, -103.647, -180.003, -102.117, 1.27394, 207.971, -3.0012E-005, -1.63064E-005, -1.0422, 1.17683, 1.55397, 0.312524, -0.506503, -1.50977, 0.0247403, 0.0367274
20, 0.00000, 177.164, -103.471, -179.653, -101.901, 1.31162, 207.547, -2.99394E-005, -1.64662E-005, -1.06269, 1.20036, 1.58478, 0.318615, -0.517576, -1.54176, 0.0254215, 0.0392509
21, 0.00000, 177.791, -103.703, -180.197, -102.307, 1.19155, 208.241, -3.11852E-005, -1.66947E-005, -1.04029, 1.17375, 1.55033, 0.312357, -0.503437, -1.50261, 0.0245785, 0.0331936
22, 0.00000, 178.993, -104.397, -181.482, -103.039, 1.10851, 209.652, -3.22421E-005, -1.99722E-005, -0.959827, 1.08289, 1.41816, 0.285734, -0.456869, -1.3656, 0.0307745, 0.0169584
23, 0.00000, 181.536, -105.736, -183.686, -104.548, 0.953386, 212.142, -2.72513E-005, -1.89136E-005, -0.809536, 0.91224, 1.18822, 0.240712, -0.382298, -1.14572, 0.0308627, 0.0116871
24, 0.00000, 184.544, -107.305, -186.228, -106.317, 0.779475, 215.045, -2.0908E-005, -1.42815E-005, -0.627777, 0.706367, 0.921734, 0.187981, -0.296136, -0.890084, 0.0230872, 0.0100177
25, 0.00000, 186.573, -108.501, -188.061, -107.451, 0.764846, 217.073, -1.59156E-005, -1.07129E-005, -0.48048, 0.540697, 0.706164, 0.144278, -0.226963, -0.682401, 0.0171943, 0.00813962
26, 0.00000, 187.926, -109.167, -189.182, -108.268, 0.652789, 218.375, -1.33458E-005, -8.93111E-006, -0.404641, 0.454906, 0.594611, 0.121932, -0.190896, -0.574989, 0.0142725, 0.00708172
27, 0.00000, 188.594, -109.483, -189.724, -108.677, 0.588194, 219.011, -1.21486E-005, -8.09512E-006, -0.369322, 0.414964, 0.542683, 0.111501, -0.174112, -0.524966, 0.0128992, 0.00659685
