hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.218419, -0.0941491, -0.218413, -0.0941908, -0.218423, -0.0941879, -1.35327E-010, 9.65225E-012
2, 0.00000, -0.172989, -0.0798629, -0.172989, -0.0798607, -0.172988, -0.0798601, -7.58613E-011, 1.59248E-011
3, 0.00000, -0.150774, -0.0730519, -0.150775, -0.0730666, -0.150787, -0.0730705, -5.08095E-011, 1.70676E-011
4, 0.00000, -0.125383, -0.0707473, -0.125382, -0.070757, -0.125389, -0.0707598, -2.54912E-011, 2.43571E-011
5, 0.00000, -0.127668, -0.0737414, -0.127666, -0.0737371, -0.127662, -0.0737355, -2.64635E-011, 2.7779E-011
6, 0.00000, -0.127209, -0.0851205, -0.127203, -0.0851056, -0.127187, -0.0851029, -1.90949E-011, 4.63867E-011
7, 0.00000, -0.144742, -0.107812, -0.144737, -0.107814, -0.144736, -0.107814, -1.68143E-011, 8.77211E-011
8, 0.00000, -0.370288, -0.120286, -0.370253, -0.120281, -0.370247, -0.12029, -5.66958E-010, -1.13287E-010
9, 0.00000, -0.159891, -0.123194, -0.159869, -0.123188, -0.159872, -0.123198, -7.96792E-012, 1.06397E-010
10, 0.00000, -0.0704414, -0.126767, -0.070413, -0.126752, -0.0704105, -0.126768, 5.45899E-012, 1.50955E-010
11, 0.00000, 0.31715, -0.12759, 0.317181, -0.127557, 0.317174, -0.127609, -9.39769E-010, 3.11046E-010
12, 0.00000, 0.338694, -0.126652, 0.338698, -0.126652, 0.338698, -0.126652, -1.03046E-009, 3.15978E-010
13, 0.00000, 0.189148, -0.127209, 0.189142, -0.127207, 0.189145, -0.127206, -4.88137E-010, 2.33676E-010
14, 0.00000, -0.160009, -0.129708, -0.160033, -0.129717, -0.160028, -0.129701, -2.33423E-012, 1.25014E-010
15, 0.00000, -0.348769, -0.135113, -0.348771, -0.135114, -0.34877, -0.135114, -4.18337E-010, -3.3879E-011
16, 0.00000, -0.485083, -0.148461, -0.485087, -0.148463, -0.485087, -0.148463, -1.1022E-009, -3.06428E-010
17, 0.00000, -0.558601, -0.172619, -0.558602, -0.17262, -0.5586, -0.17262, -1.53998E-009, -5.0073E-010
18, 0.00000, -0.612648, -0.190465, -0.618221, -0.192217, -0.618242, -0.192207, -1.35702E-009, 1.3864E-010
19, 0.00000, -0.631313, -0.19666, -0.640276, -0.199481, -0.641753, -0.199943, -1.01816E-009, 5.29995E-010
20, 0.00000, -0.641977, -0.200209, -0.651049, -0.203057, -0.655381, -0.204422, -9.27038E-010, 5.20451E-010
21, 0.00000, -0.59949, -0.196453, -0.607881, -0.199233, -0.608019, -0.199186, -9.09603E-010, 4.44191E-010
22, 0.00000, -0.587935, -0.182257, -0.587951, -0.182264, -0.587938, -0.18226, -1.73423E-009, -5.85367E-010
23, 0.00000, -0.504058, -0.154682, -0.504101, -0.154686, -0.504073, -0.154667, -1.20336E-009, -3.41055E-010
24, 0.00000, -0.403958, -0.121778, -0.403895, -0.121764, -0.403896, -0.121788, -7.31904E-010, -1.78968E-010
25, 0.00000, -0.383462, -0.094238, -0.383424, -0.0942303, -0.383425, -0.0942454, -7.10057E-010, -1.63677E-010
26, 0.00000, -0.326511, -0.0798538, -0.326429, -0.0798288, -0.326413, -0.0798668, -5.05076E-010, -1.10203E-010
27, 0.00000, -0.294238, -0.0731154, -0.2942, -0.0731037, -0.294193, -0.0731224, -3.96682E-010, -7.67306E-011
28, 0.00000, -0.237129, -0.0707847, -0.237101, -0.0707774, -0.237098, -0.0707917, -2.25753E-010, -3.46304E-011
29, 0.00000, -0.185992, -0.0737341, -0.185987, -0.0737214, -0.185983, -0.0737275, -1.0679E-010, 3.50312E-013
30, 0.00000, -0.237139, -0.0850474, -0.237136, -0.0850508, -0.237137, -0.0850508, -1.96662E-010, -1.73452E-011
31, 0.00000, -0.33137, -0.107819, -0.331394, -0.107823, -0.33139, -0.107812, -4.41694E-010, -7.4765E-011
32, 0.00000, -0.375487, -0.120286, -0.375489, -0.120288, -0.37549, -0.120288, -5.86433E-010, -1.15347E-010
33, 0.00000, -0.206736, -0.123193, -0.206708, -0.123186, -0.206709, -0.123198, -6.47474E-011, 8.02324E-011
34, 0.00000, -0.124744, -0.126761, -0.124741, -0.12676, -0.124739, -0.126758, 1.2449E-011, 1.31791E-010
35, 0.00000, -0.0477541, -0.127671, -0.0477296, -0.127651, -0.0477254, -0.127666, -5.12482E-012, 1.536E-010
36, 0.00000, -0.0210481, -0.126691, -0.0210183, -0.126664, -0.0210051, -0.126678, -2.8896E-011, 1.59307E-010
37, 0.00000, -0.117283, -0.127191, -0.117297, -0.127203, -0.1173, -0.127193, 1.78646E-011, 1.29914E-010
38, 0.00000, -0.274067, -0.12968, -0.274123, -0.129707, -0.274136, -0.129684, -1.74893E-010, 5.15688E-011
39, 0.00000, -0.407182, -0.135112, -0.407196, -0.135117, -0.407196, -0.135111, -6.82379E-010, -1.34259E-010
40, 0.00000, -0.176786, -0.14842, -0.176776, -0.148433, -0.176772, -0.148437, -2.45686E-011, 2.0054E-010
41, 0.00000, -0.550297, -0.17262, -0.550467, -0.172657, -0.550435, -0.172596, -1.45636E-009, -4.28398E-010
42, 0.00000, -0.612663, -0.19046, -0.618222, -0.192224, -0.618259, -0.19225, -1.3618E-009, 1.2733E-010
43, 0.00000, -0.631323, -0.196683, -0.640237, -0.19945, -0.641561, -0.199961, -1.06049E-009, 5.11979E-010
44, 0.00000, -0.641979, -0.200219, -0.651033, -0.203048, -0.655298, -0.204428, -9.45369E-010, 5.16274E-010
45, 0.00000, -0.629473, -0.196044, -0.638442, -0.198876, -0.639627, -0.199196, -1.00481E-009, 5.34181E-010
46, 0.00000, -0.587919, -0.182263, -0.588021, -0.182277, -0.587972, -0.182242, -1.72689E-009, -5.6322E-010
47, 0.00000, -0.504081, -0.154684, -0.504031, -0.15467, -0.504017, -0.154684, -1.21367E-009, -3.62047E-010
48, 0.00000, -0.403958, -0.121778, -0.403894, -0.121764, -0.403896, -0.121788, -7.31902E-010, -1.78989E-010
49, 0.00000, -0.320071, -0.0942353, -0.320077, -0.0942371, -0.320077, -0.0942373, -4.34576E-010, -8.0775E-011
50, 0.00000, -0.276337, -0.0798619, -0.27633, -0.0798602, -0.276328, -0.0798593, -3.18241E-010, -5.3111E-011
51, 0.00000, -0.357535, -0.0731106, -0.357493, -0.0731077, -0.357501, -0.0731238, -6.49874E-010, -1.35378E-010
52, 0.00000, -0.350578, -0.0707851, -0.350541, -0.0707748, -0.350526, -0.0707875, -6.26147E-010, -1.27758E-010
53, 0.00000, -0.359298, -0.0737228, -0.359307, -0.0737248, -0.359307, -0.0737204, -6.51177E-010, -1.28857E-010
54, 0.00000, -0.393714, -0.0850588, -0.393755, -0.0850674, -0.393759, -0.0850505, -7.7881E-010, -1.63373E-010
55, 0.00000, -0.188099, -0.107682, -0.188085, -0.107738, -0.188091, -0.107737, -6.19478E-011, 5.89643E-011
56, 0.00000, -0.219363, -0.120287, -0.219358, -0.120287, -0.219356, -0.120288, -1.02523E-010, 6.67088E-011
57, 0.00000, -0.319313, -0.12319, -0.319274, -0.123184, -0.319273, -0.123197, -3.50023E-010, -3.03758E-011
58, 0.00000, -0.300769, -0.12676, -0.300727, -0.126749, -0.300725, -0.126765, -2.74734E-010, 3.3474E-012
59, 0.00000, -0.255122, -0.127656, -0.255071, -0.127641, -0.255067, -0.127663, -1.49172E-010, 5.14744E-011
60, 0.00000, -0.25211, -0.126661, -0.252091, -0.126654, -0.252084, -0.126659, -1.42752E-010, 5.46708E-011
61, 0.00000, -0.277944, -0.127202, -0.277944, -0.127203, -0.277944, -0.127203, -2.04003E-010, 3.37187E-011
62, 0.00000, -0.333622, -0.129704, -0.333626, -0.129706, -0.333627, -0.129707, -3.76422E-010, -2.59667E-011
63, 0.00000, -0.35006, -0.135113, -0.350059, -0.135114, -0.350059, -0.135113, -4.23633E-010, -3.60203E-011
