hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
1, 0.00000, -0.32626, -0.107235, -0.326264, -0.107237, -0.326261, -0.107236, -8.72219E-010, -1.17768E-010
2, 0.00000, -0.276484, -0.090876, -0.276484, -0.0908758, -0.276484, -0.0908758, -6.11697E-010, -6.88839E-011
3, 0.00000, -0.253183, -0.083219, -0.25318, -0.0832176, -0.253174, -0.0832158, -5.07488E-010, -5.22544E-011
4, 0.00000, -0.24511, -0.0805652, -0.245109, -0.0805645, -0.245106, -0.0805636, -4.72901E-010, -4.60203E-011
5, 0.00000, -0.255228, -0.0838889, -0.25523, -0.0838895, -0.255231, -0.0838901, -5.14657E-010, -5.16884E-011
6, 0.00000, -0.294426, -0.0967731, -0.294433, -0.0967753, -0.29444, -0.0967777, -6.95169E-010, -7.92731E-011
7, 0.00000, -0.373271, -0.122688, -0.373273, -0.122689, -0.373273, -0.122689, -1.15632E-009, -1.70786E-010
8, 0.00000, -0.38265, -0.136892, -0.382642, -0.13689, -0.38264, -0.136889, -1.28498E-009, -2.2686E-010
9, 0.00000, -0.0790821, -0.140187, -0.0790809, -0.140185, -0.0790811, -0.140185, -2.28483E-010, -1.76286E-011
10, 0.00000, 0.0489473, -0.144248, 0.0489463, -0.144245, 0.0489462, -0.144244, -1.90511E-010, -1.01727E-011
11, 0.00000, 0.5919, -0.145249, 0.59189, -0.145239, 0.591893, -0.14525, -1.94956E-009, 1.10497E-010
12, 0.00000, 0.621247, -0.144125, 0.621244, -0.144125, 0.621245, -0.144125, -2.11441E-009, 1.336E-010
13, 0.00000, 0.412399, -0.144742, 0.412406, -0.144745, 0.412404, -0.144745, -1.0664E-009, 2.19333E-011
14, 0.00000, -0.0741282, -0.147597, -0.0741298, -0.1476, -0.0741295, -0.1476, -2.42939E-010, -1.87342E-011
15, 0.00000, -0.333882, -0.153747, -0.333886, -0.153749, -0.333886, -0.15375, -1.07322E-009, -1.77046E-010
16, 0.00000, -0.513976, -0.168935, -0.513983, -0.168937, -0.513984, -0.168939, -2.39732E-009, -5.68933E-010
17, 0.00000, -0.597599, -0.196421, -0.597606, -0.196423, -0.597607, -0.196424, -3.38334E-009, -9.59521E-010
18, 0.00000, -0.665525, -0.218748, -0.66544, -0.218722, -0.665463, -0.218717, -4.31689E-009, -1.33766E-009
19, 0.00000, -0.692252, -0.227527, -0.692241, -0.227532, -0.692202, -0.227515, -4.73568E-009, -1.46001E-009
20, 0.00000, -0.707701, -0.232608, -0.707702, -0.23261, -0.707689, -0.232607, -5.00298E-009, -1.54133E-009
21, 0.00000, -0.689576, -0.226654, -0.689636, -0.22667, -0.689682, -0.226691, -4.65495E-009, -1.40347E-009
22, 0.00000, -0.630962, -0.207387, -0.630984, -0.207394, -0.630975, -0.207392, -3.82547E-009, -1.13583E-009
23, 0.00000, -0.53551, -0.176014, -0.535526, -0.176019, -0.535517, -0.176017, -2.63045E-009, -6.5368E-010
24, 0.00000, -0.421621, -0.13858, -0.421603, -0.138574, -0.421603, -0.138575, -1.5427E-009, -2.97203E-010
25, 0.00000, -0.326279, -0.107242, -0.32627, -0.107239, -0.326269, -0.10724, -8.86302E-010, -1.3385E-010
26, 0.00000, -0.276532, -0.0908889, -0.276512, -0.0908804, -0.276506, -0.0908829, -6.21931E-010, -8.07339E-011
27, 0.00000, -0.253176, -0.0832132, -0.253166, -0.0832092, -0.253164, -0.0832108, -5.14249E-010, -5.95305E-011
28, 0.00000, -0.245112, -0.0805627, -0.245105, -0.0805599, -0.245104, -0.0805613, -4.7789E-010, -5.1355E-011
29, 0.00000, -0.255237, -0.0838924, -0.255238, -0.0838927, -0.255239, -0.0838931, -5.17318E-010, -5.43691E-011
30, 0.00000, -0.294474, -0.0967887, -0.294475, -0.096789, -0.294474, -0.0967889, -7.02785E-010, -8.75248E-011
31, 0.00000, -0.373267, -0.122687, -0.373274, -0.122689, -0.373273, -0.122689, -1.17528E-009, -1.9153E-010
32, 0.00000, -0.383063, -0.136877, -0.383068, -0.136879, -0.383069, -0.13688, -1.28661E-009, -2.25405E-010
33, 0.00000, -0.188913, -0.140188, -0.188909, -0.140185, -0.18891, -0.140185, -4.47247E-010, -4.9047E-011
34, 0.00000, -0.0270896, -0.144244, -0.0270895, -0.144244, -0.0270893, -0.144243, -1.93933E-010, -1.2686E-011
35, 0.00000, 0.209648, -0.145266, 0.209644, -0.145263, 0.209643, -0.145263, -4.14508E-010, -1.2761E-011
36, 0.00000, 0.24633, -0.144137, 0.246325, -0.144133, 0.246322, -0.144131, -5.01838E-010, -1.13486E-011
37, 0.00000, 0.104908, -0.144745, 0.104909, -0.144747, 0.10491, -0.144748, -2.35805E-010, -1.14047E-011
38, 0.00000, -0.145243, -0.147588, -0.145242, -0.14759, -0.145241, -0.147597, -3.63715E-010, -3.79935E-011
39, 0.00000, -0.401644, -0.153747, -0.401646, -0.153748, -0.401646, -0.15375, -1.4715E-009, -2.80255E-010
40, 0.00000, -0.51396, -0.168929, -0.513966, -0.168931, -0.51397, -0.168933, -2.32954E-009, -4.84591E-010
41, 0.00000, -0.597617, -0.196428, -0.597679, -0.196447, -0.597669, -0.196447, -3.37311E-009, -9.38907E-010
42, 0.00000, -0.665523, -0.218747, -0.665485, -0.218735, -0.665501, -0.218738, -4.31105E-009, -1.32417E-009
43, 0.00000, -0.692263, -0.227534, -0.692197, -0.227517, -0.692152, -0.227496, -4.74613E-009, -1.48365E-009
44, 0.00000, -0.707709, -0.232611, -0.707682, -0.232605, -0.707663, -0.232596, -5.008E-009, -1.55294E-009
45, 0.00000, -0.689591, -0.226659, -0.689626, -0.226668, -0.689657, -0.226681, -4.67819E-009, -1.41841E-009
46, 0.00000, -0.630959, -0.207386, -0.631, -0.207399, -0.630982, -0.207395, -3.82295E-009, -1.13044E-009
47, 0.00000, -0.535517, -0.176016, -0.535503, -0.176012, -0.535498, -0.17601, -2.63433E-009, -6.61789E-010
48, 0.00000, -0.421621, -0.13858, -0.421603, -0.138574, -0.421603, -0.138575, -1.5427E-009, -2.97211E-010
49, 0.00000, -0.326257, -0.107235, -0.326263, -0.107237, -0.326264, -0.107238, -8.79825E-010, -1.2579E-010
50, 0.00000, -0.276494, -0.0908792, -0.276489, -0.0908776, -0.276488, -0.0908773, -6.17601E-010, -7.52266E-011
51, 0.00000, -0.253162, -0.0832106, -0.253155, -0.0832083, -0.253156, -0.0832084, -5.16689E-010, -6.1861E-011
