hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar)
1, 0.00000, 0, 0, 0, 0
2, 0.00000, 0, 0, 0, 0
3, 0.00000, 0, 0, 0, 0
4, 0.00000, 0, 0, 0, 0
5, 0.00000, 0, 0, 0, 0
6, 0.00000, 0, 0, 0, 0
7, 0.00000, 0, 0, 0, 0
8, 0.00000, -0.0179559, -4.1454E-007, -6.43411E-012, -7.99123E-010
9, 0.00000, -0.184405, -5.27292E-007, -4.11841E-009, 3.22889E-009
10, 0.00000, -0.258891, -1.40078E-006, -7.79788E-009, 1.00861E-008
11, 0.00000, -0.548645, -4.48813E-005, -2.80981E-008, 5.64919E-008
12, 0.00000, -0.562389, -1.79146E-006, -2.91851E-008, 5.93326E-008
13, 0.00000, -0.452555, 5.35681E-006, -2.05074E-008, 3.85701E-008
14, 0.00000, -0.199, 6.99014E-007, -4.7902E-009, 3.97691E-009
15, 0.00000, -0.0710555, -3.17612E-008, -5.73151E-010, -2.05378E-009
16, 0.00000, 0, 0, 0, 0
17, 0.00000, 0, 0, 0, 0
18, 0.00000, 0, 0, 0, 0
19, 0.00000, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0
25, 0.00000, 0, 0, 0, 0
26, 0.00000, 0, 0, 0, 0
27, 0.00000, 0, 0, 0, 0
28, 0.00000, 0, 0, 0, 0
29, 0.00000, 0, 0, 0, 0
30, 0.00000, 0, 0, 0, 0
31, 0.00000, 0, 0, 0, 0
32, 0.00000, -0.0177132, 2.36054E-009, -7.14957E-012, -7.89155E-010
33, 0.00000, -0.126105, -6.11349E-007, -1.94313E-009, -3.03054E-010
34, 0.00000, -0.218528, -6.19434E-008, -5.69625E-009, 5.91313E-009
35, 0.00000, -0.345834, 2.86781E-006, -1.33079E-008, 2.16349E-008
36, 0.00000, -0.363468, -1.60755E-006, -1.44692E-008, 2.43809E-008
37, 0.00000, -0.289406, -5.83341E-007, -9.68006E-009, 1.38767E-008
38, 0.00000, -0.16125, -1.16202E-006, -3.22088E-009, 1.20418E-009
39, 0.00000, -0.0350935, 4.60633E-009, -9.12199E-011, -1.56289E-009
40, 0.00000, 0, 0, 0, 0
41, 0.00000, 0, 0, 0, 0
42, 0.00000, 0, 0, 0, 0
43, 0.00000, 0, 0, 0, 0
44, 0.00000, 0, 0, 0, 0
45, 0.00000, 0, 0, 0, 0
46, 0.00000, 0, 0, 0, 0
47, 0.00000, 0, 0, 0, 0
48, 0.00000, 0, 0, 0, 0
49, 0.00000, 0, 0, 0, 0
50, 0.00000, 0, 0, 0, 0
51, 0.00000, 0, 0, 0, 0
52, 0.00000, 0, 0, 0, 0
53, 0.00000, 0, 0, 0, 0
54, 0.00000, 0, 0, 0, 0
55, 0.00000, 0, 0, 0, 0
56, 0.00000, 0, 0, 0, 0
57, 0.00000, -0.0524547, -1.04306E-006, -2.88796E-010, -1.62475E-009
58, 0.00000, -0.087883, -8.65774E-007, -9.24952E-010, -1.6112E-009
59, 0.00000, -0.123822, -1.52761E-006, -1.88828E-009, -6.26387E-010
