Hour,Storage_Op
1,0.041
2,0.042
3,0.043
4,0.054
5,0.058
6,0.079
7,0.110
8,-0.017
9,-0.020
10,-0.020
11,-0.020
12,-0.020
13,-0.020
14,-0.020
15,0.000
16,0.000
17,0.000
18,0.000
19,0.000
20,0.000
21,-0.001
22,0.000
23,-0.020
24,-0.020
25,-0.058
26,-0.050
27,-0.043
28,-0.013
29,0.023
30,0.013
31,-0.002
32,0.000
33,-0.001
34,0.000
35,-0.075
36,-0.075
37,-0.072
38,-0.058
39,-0.026
40,0.165
41,-0.015
42,-0.020
43,-0.020
44,-0.020
45,-0.020
46,-0.020
47,-0.020
48,-0.020
49,0.000
50,0.000
51,-0.081
52,-0.081
53,-0.081
54,-0.081
55,0.084
56,0.088
57,-0.009
58,-0.020
59,-0.020
60,-0.020
61,0.000
62,0.000
63,0.000
64,0.000
65,0.000
66,-0.001
67,0.000
68,0.000
69,0.000
70,0.000
71,0.000
72,0.000
73,-0.020
74,-0.020
75,-0.020
76,-0.020
77,-0.020
78,0.000
79,0.000
80,0.000
81,0.000
82,0.000
83,0.000
84,0.000
85,0.000
86,0.000
87,-0.238
88,-0.231
89,-0.069
90,0.101
91,0.295
92,0.000
93,-0.020
94,-0.020
95,-0.020
96,-0.020
97,0.000
98,-0.020
99,-0.020
100,-0.020
101,-0.020
102,-0.020
103,0.000
104,0.000
105,0.000
106,0.000
107,-0.257
108,-0.259
109,-0.252
110,-0.024
111,0.040
112,0.164
113,0.206
114,0.156
115,-0.020
116,-0.020
117,-0.020
118,-0.020
119,-0.020
120,-0.020
121,0.000
122,0.000
123,0.000
124,0.000
125,0.000
126,0.000
127,0.000
128,0.000
129,0.000
130,0.000
131,-0.020
132,-0.020
133,-0.020
134,-0.020
135,-0.020
136,-0.020
137,0.000
138,0.000
139,-0.001
140,0.000
141,0.000
142,0.000
143,0.000
144,0.000
145,0.000
146,-0.001
147,0.000
148,-0.001
149,-0.214
150,-0.217
151,-0.217
152,-0.181
153,-0.105
154,-0.076
155,-0.070
156,-0.046
157,-0.026
158,-0.014
159,0.031
160,0.057
161,0.063
162,0.082
163,0.271
164,0.251
165,-0.001
166,0.000
167,0.000
168,0.000
169,-0.737
170,-0.687
171,-0.623
172,-0.590
173,-0.703
174,-0.570
175,0.204
176,-0.260
177,-0.028
178,0.485
179,0.485
180,0.479
181,0.531
182,0.541
183,0.295
184,0.249
185,0.194
186,-0.010
187,-0.020
188,-0.002
189,-0.001
190,-0.020
191,-0.020
192,-0.020
193,-0.974
194,-0.702
195,-0.748
196,-0.689
197,-0.455
198,-0.342
199,-0.020
200,-0.020
201,0.049
202,0.659
203,0.519
204,0.523
205,0.754
206,0.300
207,0.142
208,0.031
209,0.019
210,0.100
211,0.103
212,-0.008
213,-0.020
214,-0.020
215,-0.020
216,-0.001
217,-0.638
218,-0.641
219,-0.654
220,-0.693
221,-0.698
222,-0.586
223,-0.020
224,0.245
225,0.334
226,0.222
227,0.084
228,0.080
229,0.035
230,-0.007
231,-0.005
232,0.103
233,0.542
234,0.540
235,0.541
236,0.454
237,-0.020
238,-0.002
239,-0.001
240,-0.001
241,-0.002
242,-0.002
243,-0.273
244,-0.281
245,-0.297
246,-0.282
247,-0.037
248,0.143
249,0.391
250,0.375
251,-0.003
252,-0.271
253,-0.270
254,-0.275
255,-0.271
256,-0.065
257,0.067
258,0.271
259,0.281
260,0.255
261,-0.020
262,-0.020
263,-0.020
264,-0.020
265,-0.021
266,-0.012
267,-0.709
268,-1.000
269,-0.767
270,-0.243
271,0.449
