Hour,Temperature
1,-11.10
2,-10.20
3,-9.40
4,-8.50
5,-9.00
6,-9.40
7,-9.90
8,-9.30
9,-6.54
10,-5.08
11,1.97
12,4.42
13,4.78
14,0.20
15,-2.38
16,-3.80
17,-4.40
18,-4.90
19,-5.50
20,-5.80
21,-6.10
22,-6.40
23,-6.30
24,-6.10
25,-6.00
26,-5.80
27,-5.70
28,-5.50
29,-5.60
30,-5.60
31,-5.70
32,-5.13
33,-3.06
34,-1.34
35,1.74
36,2.61
37,2.34
38,0.80
39,-1.05
40,-1.30
41,-1.20
42,-1.10
43,-1.00
44,-0.90
45,-0.70
46,-0.60
47,-0.70
48,-0.70
49,-0.80
50,-1.00
51,-1.10
52,-1.30
53,-0.80
54,-0.40
55,0.10
56,0.41
57,1.21
58,1.95
59,2.34
60,2.43
61,2.19
62,1.73
63,1.67
64,0.70
65,0.80
66,0.80
67,0.90
68,0.80
69,0.80
70,0.70
71,0.60
72,0.60
73,0.50
74,0.70
75,0.90
76,1.10
77,1.10
78,1.00
79,1.00
80,1.44
81,3.06
82,4.38
83,6.76
84,7.35
85,6.94
86,4.85
87,2.60
88,1.80
89,1.60
90,1.50
91,1.30
92,1.20
93,1.00
94,0.90
95,1.20
96,1.40
97,1.70
98,1.90
99,2.10
100,2.30
101,2.20
102,2.20
103,2.10
104,2.47
105,3.98
106,5.21
107,10.41
108,15.69
109,16.02
110,7.40
111,4.67
112,3.10
113,2.90
114,2.70
115,2.50
116,2.10
117,1.80
118,1.40
119,1.30
120,1.30
121,1.20
122,0.40
123,-0.40
124,-1.20
125,-1.00
126,-0.70
127,-0.50
128,-0.04
129,1.61
130,2.94
131,12.18
132,15.59
133,18.04
134,7.46
135,4.01
136,1.40
137,0.60
138,-0.20
139,-1.00
140,-1.30
141,-1.70
142,-2.00
143,-2.50
144,-2.90
145,-3.40
146,-3.10
147,-2.70
148,-2.40
149,-1.80
150,-1.30
151,-0.70
152,0.03
153,2.31
154,3.03
155,5.04
156,5.28
157,4.58
158,3.11
159,1.35
160,1.00
161,1.00
162,0.90
163,0.90
164,0.80
165,0.60
166,0.50
167,0.00
168,-0.40
169,-0.90
170,-0.70
171,-0.50
172,-0.30
173,-0.40
174,-0.40
175,-0.50
176,0.47
177,3.24
178,5.29
179,9.14
180,6.31
181,5.28
182,3.37
183,1.94
184,0.70
185,0.60
186,0.60
187,0.50
188,0.40
189,0.40
190,0.30
191,0.30
192,0.40
193,0.40
194,-0.20
195,-0.70
196,-1.30
197,-1.20
198,-1.20
199,-1.10
200,0.04
201,2.39
202,3.56
203,5.52
204,5.90
205,5.64
206,4.05
207,2.68
208,1.40
209,1.20
210,0.90
211,0.70
212,0.60
213,0.60
214,0.50
215,0.30
216,0.00
217,-0.20
218,-0.30
219,-0.30
220,-0.40
221,-0.40
222,-0.50
223,-0.50
224,0.30
225,1.52
226,2.76
227,3.43
228,7.34
229,6.59
230,4.56
231,2.08
232,1.30
233,1.10
234,0.90
235,0.70
236,0.70
237,0.80
238,0.80
239,0.60
240,0.40
241,0.20
242,0.20
243,0.10
244,0.10
245,-0.10
246,-0.30
247,-0.50
248,0.02
249,2.27
250,4.09
251,6.46
252,6.73
253,5.61
254,3.42
255,1.56
256,0.10
257,-0.50
258,-1.20
259,-1.80
260,-1.90
261,-2.00
262,-2.10
263,-3.00
264,-4.00
265,-4.90
266,-5.20
267,-5.40
268,-5.70
269,-5.80
270,-5.90
271,-6.00
272,-3.54
273,1.92
274,6.27
275,25.47
276,27.62
277,25.02
278,6.90
279,2.58
280,-0.90
281,-1.90
282,-2.80
283,-3.80
284,-4.40
285,-5.00
286,-5.60
287,-5.80
288,-6.10
289,-6.30
290,-6.90
291,-7.40
292,-8.00
293,-8.10
294,-8.30
295,-8.40
296,-5.98
297,-0.63
298,3.53
299,21.98
300,24.17
301,22.10
302,5.54
303,1.63
304,-1.90
305,-3.20
306,-4.40
307,-5.70
308,-6.70
309,-7.70
310,-8.70
311,-7.80
312,-6.80
313,-5.90
314,-5.50
315,-5.00
316,-4.60
317,-4.50
318,-4.50
319,-4.40
320,-3.75
321,-2.45
322,-1.50
323,-0.51
324,0.10
325,0.20
326,-0.13
327,-0.62
328,-0.90
329,-1.10
330,-1.20
331,-1.40
332,-1.50
333,-1.70
334,-1.80
335,-1.90
336,-1.90
337,-2.00
338,-2.10
339,-2.20
340,-2.30
341,-2.30
342,-2.40
343,-2.40
344,-2.08
345,-1.27
346,-0.59
347,0.10
348,0.26
349,0.08
350,-0.61
351,-1.52
352,-2.20
353,-2.40
354,-2.50
355,-2.70
356,-2.70
357,-2.60
358,-2.60
359,-2.60
360,-2.50
361,-2.50
362,-2.40
363,-2.40
364,-2.30
365,-2.20
366,-2.10
367,-2.00
368,-1.53
369,0.58
370,3.08
371,4.38
372,4.39
373,3.44
374,1.73
375,0.24
376,-1.00
377,-1.40
378,-1.90
379,-2.30
380,-2.50
381,-2.70
382,-2.90
383,-2.60
384,-2.40
385,-2.10
386,-2.00
387,-1.80
388,-1.70
389,-1.60
390,-1.60
391,-1.50
392,-0.70
393,0.46
394,1.55
395,2.28
396,2.84
397,2.90
398,3.21
399,3.41
400,3.70
401,3.80
402,3.90
403,4.00
404,3.00
405,2.00
406,1.00
407,1.00
408,1.00
409,1.00
410,1.10
411,1.10
412,1.20
413,1.00
414,0.90
415,0.70
416,1.37
417,2.88
418,2.42
419,2.99
420,6.51
421,5.88
422,3.69
423,1.80
424,0.00
425,0.20
426,0.30
427,0.50
428,0.40
429,0.30
430,0.20
431,0.00
432,-0.10
433,-0.30
434,-0.50
435,-0.80
436,-1.00
437,-1.30
438,-1.60
439,-1.90
440,-1.61
441,0.21
442,1.99
443,3.10
444,5.93
445,4.54
446,2.64
447,-0.20
448,-1.70
449,-1.80
450,-2.00
451,-2.10
452,-2.10
453,-2.20
454,-2.20
455,-2.20
456,-2.30
457,-2.30
458,-2.90
459,-3.40
460,-4.00
461,-3.70
462,-3.40
463,-3.10
464,-2.03
465,0.10
466,5.54
467,4.74
468,2.55
469,-0.56
470,-1.00
471,-1.46
472,-2.00
473,-1.90
474,-1.80
475,-1.70
476,-1.10
477,-0.50
478,0.10
479,0.30
480,0.40
481,0.60
482,0.60
483,0.50
484,0.50
485,-0.30
486,-1.10
487,-1.90
488,-1.88
489,-0.19
490,1.62
491,2.54
492,-0.77
493,-1.13
494,-0.45
495,-2.69
496,-4.50
497,-5.10
498,-5.70
499,-6.30
500,-6.40
501,-6.40
502,-6.50
503,-6.70
504,-6.80
505,-7.00
506,-7.40
507,-7.70
508,-8.10
509,-8.40
510,-8.80
511,-9.10
512,-7.84
513,-6.26
514,-3.86
515,0.91
516,1.88
517,3.14
518,-1.13
519,-4.28
520,-5.80
521,-6.10
522,-6.40
523,-6.70
524,-6.70
525,-6.70
526,-6.70
527,-6.70
528,-6.60
529,-6.60
530,-6.50
531,-6.40
532,-6.30
533,-6.20
534,-6.20
535,-6.10
536,-5.90
537,-5.41
538,-5.02
539,-4.53
540,-0.79
541,-1.83
542,-3.21
543,-6.03
544,-6.90
545,-7.90
546,-8.90
547,-9.90
548,-10.90
549,-12.00
550,-13.00
551,-13.70
552,-14.40
553,-15.10
554,-16.30
555,-17.50
556,-18.70
557,-17.30
558,-16.00
559,-14.60
560,-13.10
561,-9.79
562,-6.65
563,-1.75
564,2.05
565,1.90
566,-1.34
567,-6.22
